initial_state_id,R,eta,shift_type,scenario_id,operating_loss,nominal_probability,worst_probability,probability_shift,worst_probability_ESS,divergence_used
7,100,0,MAX_INCREASE,1,0,0.01,0.01,0,100,0
7,100,0,MAX_DECREASE,1,0,0.01,0.01,0,100,0
7,100,0.001,MAX_INCREASE,35,859.078133056312,0.01,0.0131464265445105,0.00314642654451045,99.9000999000999,0.001
7,100,0.001,MAX_DECREASE,1,0,0.01,0.00996821791369181,-3.17820863081873e-05,99.9000999000999,0.001
7,100,0.01,MAX_INCREASE,35,859.07846788461,0.01,0.0199498743710662,0.0099498743710662,99.009900990099,0.01
7,100,0.01,MAX_DECREASE,1,0,0.01,0.00989949621847408,-0.000100503781525922,99.009900990099,0.01
7,100,0.05,MAX_INCREASE,35,859.078185572672,0.01,0.032248595461287,0.022248595461287,95.2380952380952,0.0500000000000001
7,100,0.05,MAX_DECREASE,1,0,0.01,0.00977526671251225,-0.000224733287487748,95.2380952380952,0.0500000000000001
7,500,0,MAX_INCREASE,1,0,0.002,0.002,0,500.000000000001,0
7,500,0,MAX_DECREASE,1,0,0.002,0.002,0,500.000000000001,0
7,500,0.001,MAX_INCREASE,224,45936.7545879684,0.002,0.0032561784943093,0.0012561784943093,499.5004995005,0.001
7,500,0.001,MAX_DECREASE,1,0,0.002,0.00199603271339081,-3.96728660918963e-06,499.5004995005,0.001
7,500,0.01,MAX_INCREASE,224,45936.7545879684,0.002,0.0059723860217194,0.0039723860217194,495.049504950494,0.01
7,500,0.01,MAX_DECREASE,1,0,0.002,0.0019874543409548,-1.25456590451952e-05,495.049504950494,0.01
7,500,0.05,MAX_INCREASE,224,45936.7545879684,0.002,0.0108858837862696,0.00888588378626957,476.190476190476,0.05
7,500,0.05,MAX_DECREASE,1,0,0.002,0.00197190506534834,-2.8094934651664e-05,476.190476190476,0.05
7,2000,0,MAX_INCREASE,35,859.078049623756,0.0005,0.0005,4.33680868994202e-19,1999.99999999998,4.25481935223635e-31
7,2000,0,MAX_DECREASE,1,0,0.0005,0.0005,3.25260651745651e-19,1999.99999999998,4.25481935223635e-31
7,2000,0.01,MAX_INCREASE,508,135531.501738724,0.0005,0.00258868018048077,0.00208868018048077,1980.19801980197,0.00999999999999974
7,2000,0.01,MAX_DECREASE,1,0,0.0005,0.000498345726876366,-1.65427312363419e-06,1980.19801980197,0.00999999999999974
19,100,0,MAX_INCREASE,1,69071.6751406991,0.01,0.01,0,100,0
19,100,0,MAX_DECREASE,1,69071.6751406991,0.01,0.01,0,100,0
19,100,0.001,MAX_INCREASE,64,484302.978044169,0.01,0.0129093636340921,0.00290936363409212,99.9000999000998,0.001
19,100,0.001,MAX_DECREASE,6,0,0.01,0.00993752054270567,-6.24794572943264e-05,99.9000999000998,0.001
19,100,0.01,MAX_INCREASE,64,484302.978044169,0.01,0.0192003015990868,0.00920030159908676,99.0099009900991,0.01
19,100,0.01,MAX_DECREASE,6,0,0.01,0.00980241981392939,-0.000197580186070606,99.0099009900991,0.01
