group,N,shortage_kg_mean,shortage_kg_median,shortage_kg_q25,shortage_kg_q75,shortage_kg_q90,shortage_kg_q95,shortage_kg_q99,shortage_kg_max,inventory_at_first_shortage_kg_mean,inventory_at_first_shortage_kg_median,inventory_at_first_shortage_kg_q25,inventory_at_first_shortage_kg_q75,inventory_at_first_shortage_kg_q90,inventory_at_first_shortage_kg_q95,inventory_at_first_shortage_kg_q99,inventory_at_first_shortage_kg_max,inventory_growth_after_shortage_kg_mean,inventory_growth_after_shortage_kg_median,inventory_growth_after_shortage_kg_q25,inventory_growth_after_shortage_kg_q75,inventory_growth_after_shortage_kg_q90,inventory_growth_after_shortage_kg_q95,inventory_growth_after_shortage_kg_q99,inventory_growth_after_shortage_kg_max,final_surplus_kg_mean,final_surplus_kg_median,final_surplus_kg_q25,final_surplus_kg_q75,final_surplus_kg_q90,final_surplus_kg_q95,final_surplus_kg_q99,final_surplus_kg_max,positive_inventory_growth_fraction
ordinary_shortage_and_terminal_adequate,326,32.7082611347,32.9756968385,17.6878808395,45.3894379183,55.3772357747,62.1426482955,80.4763943218,111.654629209,239.447217959,228.352481134,162.772958721,302.134475204,371.306343625,371.306343625,452.415415487,466.545412343,118.984062619,105.105,85.0264687911,159.941984259,193.227339772,218.749823365,247.615848126,308.577814226,234.266590787,205.904251609,139.868515789,316.378128652,389.93540719,464.590894012,536.273936506,579.808589607,0.98773006135
same_and_final_surplus_gt50,321,32.5657181818,32.2251627806,17.6878808395,44.6744495452,55.2441902757,62.7440352854,80.5288112291,111.654629209,238.717446132,227.962481134,162.478143683,302.134475204,371.306343625,371.306343625,452.415415487,466.545412343,118.941746638,105.105,84.7593860897,159.941984259,193.677359868,218.802191419,247.792821998,308.577814226,237.358132428,209.43110868,146.344628363,317.61133199,391.359959499,466.481212106,536.85969585,579.808589607,0.98753894081
