ordinary_shortage,terminal_adequate,N,fraction_of_stage7,mean_inventory_kg,mean_margin_kg,mean_cost_yuan
False,False,276,0.0450685826257,272.193322918,-2.5042733256,72002.9756189
False,True,5325,0.869529719138,174.753967859,165.356208626,65789.5419588
True,False,197,0.0321685173089,413.414455136,-20.8638612203,87150.4050665
True,True,326,0.0532331809275,371.902685051,234.266590787,86454.4208317
