a0,loc0,lfw0,quantile_level,path_code,a_W1,a_W2,a_W3,loc_W1,loc_W2,loc_W3,lfw_W1,lfw_W2,lfw_W3,path_probability,grid_max_wind_mps,grid_cumulative_excess_mps,road_max_wind_mps,road_cumulative_excess_mps,selected_grid_max,selected_grid_excess,selected_road_max,selected_road_excess,pareto_grid_max,pareto_grid_excess,pareto_road_max,pareto_road_excess,pareto_only_output
2,1,0,0.95,19256757,3,5,6,4,1,4,1,3,2,2.7e-14,55.2436058969182,1074.22085335331,55.2436058969182,1013.63103256282,1,1,1,1,0,0,0,1,1
2,1,0,0.95,25054401,3,5,6,1,4,1,2,1,3,2.592e-15,55.4927759888396,749.956076245614,55.4927759888396,513.578602373054,1,1,1,1,1,0,1,0,1
2,1,0,0.95,17485905,3,5,6,1,4,1,2,2,2,1.0368e-13,55.2436058969182,1370.28440229782,55.2436058969182,1276.17248433463,1,1,1,1,0,0,0,1,1
2,1,0,0.95,17480602,4,6,6,1,1,1,2,2,2,4.43232e-11,55.2436058969182,1893.89320018547,55.2436058969182,1810.42742502458,1,1,1,1,0,1,0,1,1
2,1,0,0.95,17485906,4,5,6,1,4,1,2,2,2,4.8384e-13,55.2436058969182,1597.22039719926,55.2436058969182,1429.7425959028,1,1,1,1,0,1,0,1,1
2,1,0,0.95,17486218,4,6,6,1,4,1,2,2,2,2.736e-12,55.2436058969182,1861.40479149843,55.2436058969182,1767.47024951188,1,1,1,1,0,1,0,1,1
2,1,0,0.95,23296611,3,5,6,4,1,-2,2,1,3,5.76e-16,42.8919946985263,645.614720569056,42.8919946985263,370.190944580329,1,1,1,1,1,1,1,1,1
2,1,0,0.95,23880675,3,5,6,4,1,-1,2,1,3,1.44e-15,51.9667788761672,838.805694867216,51.9667788761672,619.379165631724,1,1,1,1,1,0,1,0,1
2,1,0,0.95,26800995,3,5,6,4,1,4,2,1,3,7.2e-16,50.8813148382754,543.414116622344,50.8813148382754,294.479906589286,1,1,1,1,1,0,1,0,1
2,1,0,0.95,23882547,3,5,6,4,2,-1,2,1,3,1.44e-15,51.9667788761672,873.122171719039,51.9667788761672,658.310949987845,1,1,1,1,1,1,1,1,1
2,1,0,0.95,27386931,3,5,6,4,2,5,2,1,3,1.8e-15,54.5213928208875,1019.35853144201,54.5213928208875,835.179098929995,1,1,1,1,1,1,1,1,1
2,1,0,0.95,24468483,3,5,6,4,3,0,2,1,3,3.168e-15,54.4752973178521,1024.44061932342,54.4752973178521,854.548908219187,1,1,1,1,0,1,0,1,1
2,1,0,0.95,26812227,3,5,6,4,7,4,2,1,3,7.2e-16,50.8813148382754,388.83043496594,50.8813148382754,230.169660008569,1,1,1,1,1,0,1,0,1
2,1,0,0.95,27396291,3,5,6,4,7,5,2,1,3,1.8e-15,54.5213928208875,830.458372933781,54.5213928208875,731.937067993158,1,1,1,1,1,0,1,0,1
2,1,0,0.95,17480307,3,5,6,4,1,1,2,2,2,1.0368e-13,55.2436058969182,1395.6178066511,55.2436058969182,1312.73135844848,1,1,1,1,0,0,0,1,1
2,1,0,0.95,19232499,3,5,6,4,1,4,2,2,2,2.88e-14,55.2436058969182,1363.12939796406,55.2436058969182,1269.77418293579,1,1,1,1,0,1,0,1,1
