a0,loc0,lfw0,quantile_level,summary_count,local_before_count,archive_before_count,reexported_count,reexported_minus_summary,local_before_minus_summary,archive_before_minus_summary,reexport_matches_summary,local_before_matches_summary,archive_before_matches_summary,local_after_count,archive_after_count,local_after_matches_summary,archive_after_matches_summary
2,1,0,0.95,29,0,0,29,0,-29,-29,1,0,0,29,29,1,1
2,1,0,0.99,29,0,0,29,0,-29,-29,1,0,0,29,29,1,1
2,1,0,0.995,29,0,0,29,0,-29,-29,1,0,0,29,29,1,1
2,2,0,0.95,24,0,0,24,0,-24,-24,1,0,0,24,24,1,1
2,2,0,0.99,24,0,0,24,0,-24,-24,1,0,0,24,24,1,1
2,2,0,0.995,24,0,0,24,0,-24,-24,1,0,0,24,24,1,1
2,3,0,0.95,19,0,0,19,0,-19,-19,1,0,0,19,19,1,1
2,3,0,0.99,19,0,0,19,0,-19,-19,1,0,0,19,19,1,1
2,3,0,0.995,19,0,0,19,0,-19,-19,1,0,0,19,19,1,1
2,4,0,0.95,12,12,12,12,0,0,0,1,1,1,12,12,1,1
2,4,0,0.99,12,12,12,12,0,0,0,1,1,1,12,12,1,1
2,4,0,0.995,12,12,12,12,0,0,0,1,1,1,12,12,1,1
2,5,0,0.95,31,31,31,31,0,0,0,1,1,1,31,31,1,1
2,5,0,0.99,31,31,31,31,0,0,0,1,1,1,31,31,1,1
2,5,0,0.995,31,31,31,31,0,0,0,1,1,1,31,31,1,1
2,6,0,0.95,47,47,47,47,0,0,0,1,1,1,47,47,1,1
2,6,0,0.99,47,47,47,47,0,0,0,1,1,1,47,47,1,1
2,6,0,0.995,47,47,47,47,0,0,0,1,1,1,47,47,1,1
2,7,0,0.95,32,32,32,32,0,0,0,1,1,1,32,32,1,1
2,7,0,0.99,32,32,32,32,0,0,0,1,1,1,32,32,1,1
2,7,0,0.995,32,32,32,32,0,0,0,1,1,1,32,32,1,1
3,1,0,0.95,28,28,28,28,0,0,0,1,1,1,28,28,1,1
3,1,0,0.99,28,28,28,28,0,0,0,1,1,1,28,28,1,1
3,1,0,0.995,28,28,28,28,0,0,0,1,1,1,28,28,1,1
3,2,0,0.95,28,28,28,28,0,0,0,1,1,1,28,28,1,1
3,2,0,0.99,28,28,28,28,0,0,0,1,1,1,28,28,1,1
3,2,0,0.995,28,28,28,28,0,0,0,1,1,1,28,28,1,1
3,3,0,0.95,25,25,25,25,0,0,0,1,1,1,25,25,1,1
3,3,0,0.99,25,25,25,25,0,0,0,1,1,1,25,25,1,1
3,3,0,0.995,25,25,25,25,0,0,0,1,1,1,25,25,1,1
3,4,0,0.95,19,19,19,19,0,0,0,1,1,1,19,19,1,1
3,4,0,0.99,19,19,19,19,0,0,0,1,1,1,19,19,1,1
3,4,0,0.995,19,19,19,19,0,0,0,1,1,1,19,19,1,1
3,5,0,0.95,30,30,30,30,0,0,0,1,1,1,30,30,1,1
3,5,0,0.99,30,30,30,30,0,0,0,1,1,1,30,30,1,1
3,5,0,0.995,29,29,29,29,0,0,0,1,1,1,29,29,1,1
3,6,0,0.95,37,37,37,37,0,0,0,1,1,1,37,37,1,1
3,6,0,0.99,37,37,37,37,0,0,0,1,1,1,37,37,1,1
3,6,0,0.995,37,37,37,37,0,0,0,1,1,1,37,37,1,1
3,7,0,0.95,24,24,24,24,0,0,0,1,1,1,24,24,1,1
3,7,0,0.99,24,24,24,24,0,0,0,1,1,1,24,24,1,1
3,7,0,0.995,24,24,24,24,0,0,0,1,1,1,24,24,1,1
4,1,0,0.95,23,23,23,23,0,0,0,1,1,1,23,23,1,1
4,1,0,0.99,23,23,23,23,0,0,0,1,1,1,23,23,1,1
4,1,0,0.995,23,23,23,23,0,0,0,1,1,1,23,23,1,1
4,2,0,0.95,30,30,30,30,0,0,0,1,1,1,30,30,1,1
4,2,0,0.99,30,30,30,30,0,0,0,1,1,1,30,30,1,1
4,2,0,0.995,30,30,30,30,0,0,0,1,1,1,30,30,1,1
4,3,0,0.95,20,20,20,20,0,0,0,1,1,1,20,20,1,1
4,3,0,0.99,20,20,20,20,0,0,0,1,1,1,20,20,1,1
4,3,0,0.995,20,20,20,20,0,0,0,1,1,1,20,20,1,1
4,4,0,0.95,12,12,12,12,0,0,0,1,1,1,12,12,1,1
4,4,0,0.99,12,12,12,12,0,0,0,1,1,1,12,12,1,1
4,4,0,0.995,12,12,12,12,0,0,0,1,1,1,12,12,1,1
4,5,0,0.95,27,27,27,27,0,0,0,1,1,1,27,27,1,1
4,5,0,0.99,27,27,27,27,0,0,0,1,1,1,27,27,1,1
4,5,0,0.995,26,26,26,26,0,0,0,1,1,1,26,26,1,1
4,6,0,0.95,26,26,26,26,0,0,0,1,1,1,26,26,1,1
4,6,0,0.99,24,24,24,24,0,0,0,1,1,1,24,24,1,1
4,6,0,0.995,24,24,24,24,0,0,0,1,1,1,24,24,1,1
4,7,0,0.95,21,21,21,21,0,0,0,1,1,1,21,21,1,1
4,7,0,0.99,21,21,21,21,0,0,0,1,1,1,21,21,1,1
4,7,0,0.995,21,21,21,21,0,0,0,1,1,1,21,21,1,1
5,1,0,0.95,23,23,23,23,0,0,0,1,1,1,23,23,1,1
5,1,0,0.99,23,23,23,23,0,0,0,1,1,1,23,23,1,1
5,1,0,0.995,23,23,23,23,0,0,0,1,1,1,23,23,1,1
5,2,0,0.95,29,29,29,29,0,0,0,1,1,1,29,29,1,1
5,2,0,0.99,29,29,29,29,0,0,0,1,1,1,29,29,1,1
5,2,0,0.995,28,28,28,28,0,0,0,1,1,1,28,28,1,1
5,3,0,0.95,15,15,15,15,0,0,0,1,1,1,15,15,1,1
5,3,0,0.99,15,15,15,15,0,0,0,1,1,1,15,15,1,1
5,3,0,0.995,14,14,14,14,0,0,0,1,1,1,14,14,1,1
5,4,0,0.95,11,11,11,11,0,0,0,1,1,1,11,11,1,1
5,4,0,0.99,11,11,11,11,0,0,0,1,1,1,11,11,1,1
5,4,0,0.995,11,11,11,11,0,0,0,1,1,1,11,11,1,1
5,5,0,0.95,24,24,24,24,0,0,0,1,1,1,24,24,1,1
5,5,0,0.99,24,24,24,24,0,0,0,1,1,1,24,24,1,1
5,5,0,0.995,24,24,24,24,0,0,0,1,1,1,24,24,1,1
5,6,0,0.95,25,25,25,25,0,0,0,1,1,1,25,25,1,1
5,6,0,0.99,25,25,25,25,0,0,0,1,1,1,25,25,1,1
5,6,0,0.995,25,25,25,25,0,0,0,1,1,1,25,25,1,1
5,7,0,0.95,20,20,20,20,0,0,0,1,1,1,20,20,1,1
5,7,0,0.99,20,20,20,20,0,0,0,1,1,1,20,20,1,1
5,7,0,0.995,20,20,20,20,0,0,0,1,1,1,20,20,1,1
6,1,0,0.95,23,23,23,23,0,0,0,1,1,1,23,23,1,1
6,1,0,0.99,11,11,11,11,0,0,0,1,1,1,11,11,1,1
6,1,0,0.995,9,9,9,9,0,0,0,1,1,1,9,9,1,1
6,2,0,0.95,28,28,28,28,0,0,0,1,1,1,28,28,1,1
6,2,0,0.99,15,15,15,15,0,0,0,1,1,1,15,15,1,1
6,2,0,0.995,13,13,13,13,0,0,0,1,1,1,13,13,1,1
6,3,0,0.95,21,21,21,21,0,0,0,1,1,1,21,21,1,1
6,3,0,0.99,12,12,12,12,0,0,0,1,1,1,12,12,1,1
6,3,0,0.995,11,11,11,11,0,0,0,1,1,1,11,11,1,1
6,4,0,0.95,13,13,13,13,0,0,0,1,1,1,13,13,1,1
6,4,0,0.99,10,10,10,10,0,0,0,1,1,1,10,10,1,1
6,4,0,0.995,9,9,9,9,0,0,0,1,1,1,9,9,1,1
6,5,0,0.95,24,24,24,24,0,0,0,1,1,1,24,24,1,1
6,5,0,0.99,14,14,14,14,0,0,0,1,1,1,14,14,1,1
6,5,0,0.995,12,12,12,12,0,0,0,1,1,1,12,12,1,1
6,6,0,0.95,30,30,30,30,0,0,0,1,1,1,30,30,1,1
6,6,0,0.99,17,17,17,17,0,0,0,1,1,1,17,17,1,1
6,6,0,0.995,10,10,10,10,0,0,0,1,1,1,10,10,1,1
6,7,0,0.95,28,28,28,28,0,0,0,1,1,1,28,28,1,1
6,7,0,0.99,20,20,20,20,0,0,0,1,1,1,20,20,1,1
6,7,0,0.995,15,15,15,15,0,0,0,1,1,1,15,15,1,1
