state_id,a,loc,lf,P_a1,P_lf8,P_stage7,probability_sum,proxy_definition,expected_terminal_target_proxy_site1_kg,conditional_target_given_stage7_site1_kg,expected_terminal_target_proxy_site2_kg,conditional_target_given_stage7_site2_kg,expected_terminal_target_proxy_site3_kg,conditional_target_given_stage7_site3_kg,expected_terminal_target_proxy_site4_kg,conditional_target_given_stage7_site4_kg,expected_terminal_target_proxy_total_kg,conditional_target_given_stage7_total_kg
1,1,1,1,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
2,1,1,2,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
3,1,1,3,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
4,1,1,4,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
5,1,1,5,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
6,1,1,6,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
7,1,1,7,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
8,1,1,8,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
9,1,2,1,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
10,1,2,2,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
11,1,2,3,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
12,1,2,4,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
13,1,2,5,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
14,1,2,6,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
15,1,2,7,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
16,1,2,8,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
17,1,3,1,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
18,1,3,2,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
19,1,3,3,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
20,1,3,4,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
21,1,3,5,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
22,1,3,6,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
23,1,3,7,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
24,1,3,8,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
