record_type,path_id,path_group,stage,state_id,global_hour,origin_site,destination_site,flow_kg,ex_post_origin_target_kg,ex_post_destination_target_kg,proxy_origin_target_kg,proxy_destination_target_kg,ex_post_aligned_kg,information_proxy_aligned_kg,ex_post_non_aligned_kg,conservative_expost_nonaligned_but_information_aligned_kg,strict_flow_row_reversal,alignment_scope,group,path_count_with_HTT,flow_row_count,total_HTT_kg,ex_post_aligned_HTT_kg,ex_post_alignment_fraction,information_proxy_aligned_HTT_kg,information_proxy_alignment_fraction,strict_reversal_path_count,strict_reversal_flow_row_count,proxy_limit
FLOW,467,mixed,4,214,25,2,3,4.10036497137,132.558988567,40.9131822127,48.6567954331,22.9469140891,0,4.10036497137,4.10036497137,4.10036497137,True,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,467,mixed,4,214,31,2,4,13.7148725477,132.558988567,81.8263755451,48.6567954331,54.3445013045,0,0,13.7148725477,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,469,other,3,85,17,2,3,1.03349081966,0,0,1.59362567105,1.07547910667,0,0,1.03349081966,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,471,other,5,78,36,3,2,1.41158058929,0,0,0.821854656921,1.08012962388,0,0,1.41158058929,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,477,pure_quantity,5,93,33,2,3,0.260281234517,47.7705448833,22.9113388566,1.39569970541,0.928304794574,0,0,0.260281234517,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,477,pure_quantity,6,70,41,2,3,3.95158900082,47.7705448833,22.9113388566,1.41225587555,1.06259642812,0,0,3.95158900082,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,479,positive_target_adequate,5,69,33,2,3,1.48411940164,19.6383954592,21.0048007503,1.89832022962,1.31193566991,0,0,1.48411940164,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,479,positive_target_adequate,6,142,41,2,3,0.718258576169,19.6383954592,21.0048007503,18.2961025799,13.2136444654,0,0,0.718258576169,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,479,positive_target_adequate,6,142,41,2,4,5.16739834276,19.6383954592,55.6417675651,18.2961025799,36.2873427795,5.16739834276,0,0,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,481,other,3,69,17,2,3,0.617513454709,0,0,1.89832022962,1.31193566991,0,0,0.617513454709,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,482,other,4,140,25,2,4,30.8751808442,0,0,27.8092748743,39.6540974862,0,4.97698370061,30.8751808442,4.97698370061,True,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,482,other,4,140,25,3,1,22.9068260144,0,0,15.1154469446,67.0732817604,0,0.609665812357,22.9068260144,0.609665812357,True,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,482,other,5,69,33,4,2,7.38080581702,0,0,3.19027014707,1.89832022962,0,0,7.38080581702,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,482,other,6,110,41,2,3,6.00646797503,0,0,0.449278795204,0.295739664314,0,0,6.00646797503,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,484,pure_location,2,124,9,3,1,38.3129099656,34.3670602262,184.298449791,17.1124359028,75.6395928269,3.94584973939,0,34.3670602262,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,484,pure_location,2,124,14,2,1,49.5214496123,82.4559747849,184.298449791,31.5879774875,75.6395928269,0,0,49.5214496123,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,484,pure_location,2,124,16,3,1,8.41241787245,34.3670602262,184.298449791,17.1124359028,75.6395928269,0,0,8.41241787245,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,484,pure_location,3,125,17,1,2,11.671543089,184.298449791,82.4559747849,70.9719684947,29.4975087587,11.671543089,0,0,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,484,pure_location,3,125,17,1,3,17.3275969028,184.298449791,34.3670602262,70.9719684947,16.4290419124,17.3275969028,15.0772470813,0,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,484,pure_location,3,125,17,1,4,12.3861088169,184.298449791,85.6444457484,70.9719684947,43.3769892772,12.3861088169,0,0,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,484,pure_location,4,198,30,1,4,13.6601441002,184.298449791,85.6444457484,146.996039797,87.3789361494,0,0,13.6601441002,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,484,pure_location,4,198,30,2,4,23.4585941124,82.4559747849,85.6444457484,52.4474618184,87.3789361494,0,0,23.4585941124,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,485,other,4,86,32,2,3,6.44132847649,0,0,0.695844108908,0.670291948209,0,0,6.44132847649,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
