case_id,decision_label,eta,design,top_k,kappa,TerminalLOH_total,inventory_change_from_baseline,first_stage_cost,first_stage_cost_change,nominal_risk,nominal_risk_change,J_base,J_base_change,nominal_shortage_mean_kg,nominal_service_rate,capacity_binding_count
20,EXTREME_ENHANCED,0.01,R1_MAX,1,0.05,693.468740452331,0.0,1386.93748090466,0.0,13916.4637289148,0.0,15303.4012098195,0.0,4.58915065267975,0.987303787401083,3
0,FULL_CAPACITY,0.01,R1_MAX,1,NaN,750,56.53125954766904,1500,113.0625190953399,13845.8439395641,-70.61978935069965,15345.8439395641,42.4427297446,4.5646120975734,0.98735306176486,4
21,BASELINE_CHI2,0.01,R2_TOPK_5PCT,2,0,693.468740452331,0.0,1386.93748090466,0.0,13916.4637289148,0.0,15303.4012098195,0.0,4.58915065267975,0.987303787401083,3
22,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,2,0.001,693.468740452331,0.0,1386.93748090466,0.0,13916.4637289148,0.0,15303.4012098195,0.0,4.58915065267975,0.987303787401083,3
23,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,2,0.005,693.468740452331,0.0,1386.93748090466,0.0,13916.4637289148,0.0,15303.4012098195,0.0,4.58915065267975,0.987303787401083,3
24,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,2,0.01,693.468740452331,0.0,1386.93748090466,0.0,13916.4637289148,0.0,15303.4012098195,0.0,4.58915065267975,0.987303787401083,3
25,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,2,0.05,693.468740452331,0.0,1386.93748090466,0.0,13916.4637289148,0.0,15303.4012098195,0.0,4.58915065267975,0.987303787401083,3
0,FULL_CAPACITY,0.01,R2_TOPK_5PCT,2,NaN,750,56.53125954766904,1500,113.0625190953399,13845.8439395641,-70.61978935069965,15345.8439395641,42.4427297446,4.5646120975734,0.98735306176486,4
26,BASELINE_CHI2,0.01,R2_TOPK_10PCT,3,0,693.468740452331,0.0,1386.93748090466,0.0,13916.4637289148,0.0,15303.4012098195,0.0,4.58915065267975,0.987303787401083,3
27,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,3,0.001,693.468740452331,0.0,1386.93748090466,0.0,13916.4637289148,0.0,15303.4012098195,0.0,4.58915065267975,0.987303787401083,3
28,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,3,0.005,693.468740452331,0.0,1386.93748090466,0.0,13916.4637289148,0.0,15303.4012098195,0.0,4.58915065267975,0.987303787401083,3
29,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,3,0.01,693.468740452331,0.0,1386.93748090466,0.0,13916.4637289148,0.0,15303.4012098195,0.0,4.58915065267975,0.987303787401083,3
30,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,3,0.05,693.468740452331,0.0,1386.93748090466,0.0,13916.4637289148,0.0,15303.4012098195,0.0,4.58915065267975,0.987303787401083,3
0,FULL_CAPACITY,0.01,R2_TOPK_10PCT,3,NaN,750,56.53125954766904,1500,113.0625190953399,13845.8439395641,-70.61978935069965,15345.8439395641,42.4427297446,4.5646120975734,0.98735306176486,4
