case_id,decision_label,eta,design,top_k,kappa,TerminalLOH_total,inventory_change_from_baseline,first_stage_cost,first_stage_cost_change,nominal_risk,nominal_risk_change,J_base,J_base_change,nominal_shortage_mean_kg,nominal_service_rate,capacity_binding_count
1,BASELINE_SAA,0,R1_MAX,1,0,676.431279491585,0.0,1352.86255898317,0.0,10092.0150377861,0.0,11444.8775967693,0.0,4.60246206438826,0.987277179106841,1
2,EXTREME_ENHANCED,0,R1_MAX,1,0.001,676.431279491585,0.0,1352.86255898317,0.0,10092.0150377861,0.0,11444.8775967693,0.0,4.60246206438826,0.987277179106841,1
3,EXTREME_ENHANCED,0,R1_MAX,1,0.005,676.431279491585,0.0,1352.86255898317,0.0,10092.0150377861,0.0,11444.8775967693,0.0,4.60246206438826,0.987277179106841,1
4,EXTREME_ENHANCED,0,R1_MAX,1,0.01,676.431279491585,0.0,1352.86255898317,0.0,10092.0150377861,0.0,11444.8775967693,0.0,4.60246206438826,0.987277179106841,1
5,EXTREME_ENHANCED,0,R1_MAX,1,0.05,676.431279491585,0.0,1352.86255898317,0.0,10092.0150377861,0.0,11444.8775967693,0.0,4.60246206438826,0.987277179106841,1
0,FULL_CAPACITY,0,R1_MAX,1,NaN,750,73.56872050841503,1500,147.13744101683005,10015.9395484092,-76.07548937689899,11515.9395484092,71.06195163990014,4.5646120975734,0.98735306176486,4
6,BASELINE_SAA,0,R2_TOPK_5PCT,2,0,676.431279491585,0.0,1352.86255898317,0.0,10092.0150377861,0.0,11444.8775967693,0.0,4.60246206438826,0.987277179106841,1
7,EXTREME_ENHANCED,0,R2_TOPK_5PCT,2,0.001,676.431279491585,0.0,1352.86255898317,0.0,10092.0150377861,0.0,11444.8775967693,0.0,4.60246206438826,0.987277179106841,1
8,EXTREME_ENHANCED,0,R2_TOPK_5PCT,2,0.005,676.431279491585,0.0,1352.86255898317,0.0,10092.0150377861,0.0,11444.8775967693,0.0,4.60246206438826,0.987277179106841,1
9,EXTREME_ENHANCED,0,R2_TOPK_5PCT,2,0.01,676.431279491585,0.0,1352.86255898317,0.0,10092.0150377861,0.0,11444.8775967693,0.0,4.60246206438826,0.987277179106841,1
10,EXTREME_ENHANCED,0,R2_TOPK_5PCT,2,0.05,676.431279491585,0.0,1352.86255898317,0.0,10092.0150377861,0.0,11444.8775967693,0.0,4.60246206438826,0.987277179106841,1
0,FULL_CAPACITY,0,R2_TOPK_5PCT,2,NaN,750,73.56872050841503,1500,147.13744101683005,10015.9395484092,-76.07548937689899,11515.9395484092,71.06195163990014,4.5646120975734,0.98735306176486,4
11,BASELINE_SAA,0,R2_TOPK_10PCT,3,0,676.431279491585,0.0,1352.86255898317,0.0,10092.0150377861,0.0,11444.8775967693,0.0,4.60246206438826,0.987277179106841,1
12,EXTREME_ENHANCED,0,R2_TOPK_10PCT,3,0.001,676.431279491585,0.0,1352.86255898317,0.0,10092.0150377861,0.0,11444.8775967693,0.0,4.60246206438826,0.987277179106841,1
13,EXTREME_ENHANCED,0,R2_TOPK_10PCT,3,0.005,676.431279491585,0.0,1352.86255898317,0.0,10092.0150377861,0.0,11444.8775967693,0.0,4.60246206438826,0.987277179106841,1
14,EXTREME_ENHANCED,0,R2_TOPK_10PCT,3,0.01,676.431279491585,0.0,1352.86255898317,0.0,10092.0150377861,0.0,11444.8775967693,0.0,4.60246206438826,0.987277179106841,1
15,EXTREME_ENHANCED,0,R2_TOPK_10PCT,3,0.05,676.431279491585,0.0,1352.86255898317,0.0,10092.0150377861,0.0,11444.8775967693,0.0,4.60246206438826,0.987277179106841,1
0,FULL_CAPACITY,0,R2_TOPK_10PCT,3,NaN,750,73.56872050841503,1500,147.13744101683005,10015.9395484092,-76.07548937689899,11515.9395484092,71.06195163990014,4.5646120975734,0.98735306176486,4
16,BASELINE_CHI2,0.01,R1_MAX,1,0,693.468740452331,0.0,1386.93748090466,0.0,13916.4637289148,0.0,15303.4012098195,0.0,4.58915065267975,0.987303787401083,3
17,EXTREME_ENHANCED,0.01,R1_MAX,1,0.001,693.468740452331,0.0,1386.93748090466,0.0,13916.4637289148,0.0,15303.4012098195,0.0,4.58915065267975,0.987303787401083,3
18,EXTREME_ENHANCED,0.01,R1_MAX,1,0.005,693.468740452331,0.0,1386.93748090466,0.0,13916.4637289148,0.0,15303.4012098195,0.0,4.58915065267975,0.987303787401083,3
19,EXTREME_ENHANCED,0.01,R1_MAX,1,0.01,693.468740452331,0.0,1386.93748090466,0.0,13916.4637289148,0.0,15303.4012098195,0.0,4.58915065267975,0.987303787401083,3
