case_id,eta,design,risk_type,top_k,kappa,beta_ext,T1,T2,T3,T4,TerminalLOH_total,capacity_binding_count,first_stage_cost,nominal_risk,J_base,extreme_risk,enhanced_objective,nominal_risk_error,extreme_risk_error,objective_error,nominal_demand_balance_error,nominal_capacity_violation,extreme_demand_balance_error,extreme_capacity_violation,nominal_objective_reconstruction_error,extreme_objective_reconstruction_error,nominal_loss_mean,nominal_loss_q90,nominal_loss_q95,nominal_loss_q99,nominal_loss_max,extreme_loss_mean,extreme_loss_q90,extreme_loss_q95,extreme_loss_q99,extreme_loss_max,nominal_shortage_mean_kg,nominal_shortage_q95_kg,nominal_shortage_max_kg,extreme_shortage_mean_kg,extreme_shortage_q95_kg,extreme_shortage_max_kg,nominal_service_rate,extreme_service_rate,nominal_zero_shortage_share,extreme_zero_shortage_share,nominal_unreachable_demand_mean_kg,extreme_unreachable_demand_mean_kg,nominal_unreachable_demand_share,extreme_unreachable_demand_share,active_path_ids,active_replica_rows,maximum_mechanical_residual,fixed_audit_pass,fixed_audit_runtime_sec,decision_label
1,0,R1_MAX,R1_MAX,1,0,0,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,11444.8775967693,899141.407567379,11444.8775967693,5.45696821063757e-12,1.16415321826935e-10,3.63797880709171e-11,1.77635683940025e-15,5.11590769747272e-13,0,2.8421709430404e-14,4.38094139099121e-06,3.97861003875732e-06,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,4.60246206438826,29.4574912036658,301.121021193028,264.37997335087,409.404576821319,449.226740855904,0.987277179106841,0.545181121216744,0.866866666666667,0,4.46457373010029,257.619701364076,0.0338833376620116,0.458456029080241,617,95,4.38094139099121e-06,1,6.9519171,BASELINE_SAA
2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,11444.8775967693,899141.407567379,11456.322474366,5.45696821063757e-12,1.16415321826935e-10,6.73026079311967e-11,1.77635683940025e-15,5.11590769747272e-13,0,2.8421709430404e-14,4.38094139099121e-06,3.97861003875732e-06,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,4.60246206438826,29.4574912036658,301.121021193028,264.37997335087,409.404576821319,449.226740855904,0.987277179106841,0.545181121216744,0.866866666666667,0,4.46457373010029,257.619701364076,0.0338833376620116,0.458456029080241,617,95,4.38094139099121e-06,1,7.0310262,EXTREME_ENHANCED
3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,11444.8775967693,899141.407567379,11502.1019847531,5.45696821063757e-12,1.16415321826935e-10,9.09494701772928e-12,1.77635683940025e-15,5.11590769747272e-13,0,2.8421709430404e-14,4.38094139099121e-06,3.97861003875732e-06,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,4.60246206438826,29.4574912036658,301.121021193028,264.37997335087,409.404576821319,449.226740855904,0.987277179106841,0.545181121216744,0.866866666666667,0,4.46457373010029,257.619701364076,0.0338833376620116,0.458456029080241,617,95,4.38094139099121e-06,1,7.8061157,EXTREME_ENHANCED
4,0,R1_MAX,R1_MAX,1,0.01,0.000127286737107718,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,11444.8775967693,899141.407567379,11559.326372737,5.45696821063757e-12,1.16415321826935e-10,4.36557456851006e-11,1.77635683940025e-15,5.11590769747272e-13,0,2.8421709430404e-14,4.38094139099121e-06,3.97861003875732e-06,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,4.60246206438826,29.4574912036658,301.121021193028,264.37997335087,409.404576821319,449.226740855904,0.987277179106841,0.545181121216744,0.866866666666667,0,4.46457373010029,257.619701364076,0.0338833376620116,0.458456029080241,617,95,4.38094139099121e-06,1,7.2622372,EXTREME_ENHANCED
5,0,R1_MAX,R1_MAX,1,0.05,0.00063643368553859,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,11444.8775967693,899141.407567379,12017.1214766077,5.45696821063757e-12,1.16415321826935e-10,7.27595761418343e-11,1.77635683940025e-15,5.11590769747272e-13,0,2.8421709430404e-14,4.38094139099121e-06,3.97861003875732e-06,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,4.60246206438826,29.4574912036658,301.121021193028,264.37997335087,409.404576821319,449.226740855904,0.987277179106841,0.545181121216744,0.866866666666667,0,4.46457373010029,257.619701364076,0.0338833376620116,0.458456029080241,617,95,4.38094139099121e-06,1,8.1259026,EXTREME_ENHANCED
6,0,R2_TOPK_5PCT,R2_TOPK,2,0,0,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,11444.8775967693,879011.626917991,11444.8775967693,5.45696821063757e-12,4.65661287307739e-10,3.63797880709171e-11,1.77635683940025e-15,5.11590769747272e-13,0,2.8421709430404e-14,4.38094139099121e-06,3.97861003875732e-06,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,4.60246206438826,29.4574912036658,301.121021193028,264.37997335087,409.404576821319,449.226740855904,0.987277179106841,0.545181121216744,0.866866666666667,0,4.46457373010029,257.619701364076,0.0338833376620116,0.458456029080241,617;605,95;42,4.38094139099121e-06,1,7.2609171,BASELINE_SAA
7,0,R2_TOPK_5PCT,R2_TOPK,2,0.001,1.30201663394346e-05,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,11444.8775967693,879011.626917991,11456.322474366,5.45696821063757e-12,4.65661287307739e-10,6.73026079311967e-11,1.77635683940025e-15,5.11590769747272e-13,0,2.8421709430404e-14,4.38094139099121e-06,3.97861003875732e-06,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,4.60246206438826,29.4574912036658,301.121021193028,264.37997335087,409.404576821319,449.226740855904,0.987277179106841,0.545181121216744,0.866866666666667,0,4.46457373010029,257.619701364076,0.0338833376620116,0.458456029080241,617;605,95;42,4.38094139099121e-06,1,8.2337146,EXTREME_ENHANCED
8,0,R2_TOPK_5PCT,R2_TOPK,2,0.005,6.5100831697173e-05,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,11444.8775967693,879011.626917991,11502.1019847531,5.45696821063757e-12,4.65661287307739e-10,9.09494701772928e-12,1.77635683940025e-15,5.11590769747272e-13,0,2.8421709430404e-14,4.38094139099121e-06,3.97861003875732e-06,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,4.60246206438826,29.4574912036658,301.121021193028,264.37997335087,409.404576821319,449.226740855904,0.987277179106841,0.545181121216744,0.866866666666667,0,4.46457373010029,257.619701364076,0.0338833376620116,0.458456029080241,617;605,95;42,4.38094139099121e-06,1,7.2280348,EXTREME_ENHANCED
9,0,R2_TOPK_5PCT,R2_TOPK,2,0.01,0.000130201663394346,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,11444.8775967693,879011.626917991,11559.326372737,5.45696821063757e-12,4.65661287307739e-10,4.36557456851006e-11,1.77635683940025e-15,5.11590769747272e-13,0,2.8421709430404e-14,4.38094139099121e-06,3.97861003875732e-06,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,4.60246206438826,29.4574912036658,301.121021193028,264.37997335087,409.404576821319,449.226740855904,0.987277179106841,0.545181121216744,0.866866666666667,0,4.46457373010029,257.619701364076,0.0338833376620116,0.458456029080241,617;605,95;42,4.38094139099121e-06,1,7.60965,EXTREME_ENHANCED
10,0,R2_TOPK_5PCT,R2_TOPK,2,0.05,0.00065100831697173,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,11444.8775967693,879011.626917991,12017.1214766077,5.45696821063757e-12,4.65661287307739e-10,7.27595761418343e-11,1.77635683940025e-15,5.11590769747272e-13,0,2.8421709430404e-14,4.38094139099121e-06,3.97861003875732e-06,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,4.60246206438826,29.4574912036658,301.121021193028,264.37997335087,409.404576821319,449.226740855904,0.987277179106841,0.545181121216744,0.866866666666667,0,4.46457373010029,257.619701364076,0.0338833376620116,0.458456029080241,617;605,95;42,4.38094139099121e-06,1,7.2252656,EXTREME_ENHANCED
