unique_path_id,support_out_path_rank,initial_state_id,replica_count,a0,loc0,lfw0,a1,loc1,lfw1,a2,loc2,lfw2,a3,loc3,lfw3,path_probability
594,471,19,5,4,5,0,2,2,2,4,4,1,6,1,3,2.08e-15
595,472,19,5,4,5,0,2,7,2,4,4,1,6,1,3,2.08e-15
599,473,19,5,4,5,0,6,2,2,4,4,1,6,1,3,2.08e-15
600,474,19,5,4,5,0,6,2,2,4,4,2,6,1,2,8.32e-14
601,475,19,5,4,5,0,6,2,2,4,5,1,6,2,3,8e-16
602,476,19,5,4,5,0,6,2,2,4,5,1,6,8,3,1e-15
603,477,19,5,4,5,0,6,2,2,4,5,2,6,2,2,3.2e-14
604,478,19,5,4,5,0,6,2,2,5,4,2,6,1,2,2.9952e-12
605,479,19,5,4,5,0,6,2,2,6,4,2,6,1,2,1.201408e-10
607,480,19,5,4,5,0,6,3,2,4,6,1,6,3,3,2e-15
608,481,19,5,4,5,0,6,4,2,4,1,1,6,0,3,1.936e-14
609,482,19,5,4,5,0,6,4,2,4,1,2,6,1,2,6.336e-13
610,483,19,5,4,5,0,6,4,2,4,1,2,6,4,2,1.76e-13
611,484,19,5,4,5,0,6,4,2,4,1,3,6,4,2,1.65e-13
612,485,19,5,4,5,0,6,4,2,4,2,1,6,5,3,1.1e-14
614,486,19,5,4,5,0,6,4,2,4,3,1,6,0,3,1.936e-14
615,487,19,5,4,5,0,6,4,2,5,1,2,6,1,2,2.28096e-11
616,488,19,5,4,5,0,6,4,2,5,1,2,6,4,2,6.336e-12
617,489,19,5,4,5,0,6,4,2,6,1,2,6,1,2,9.149184e-10
618,490,19,5,4,5,0,6,4,2,6,1,2,6,4,2,2.54144e-10
619,491,19,5,4,5,0,6,5,2,4,2,1,6,-1,3,2.88e-15
620,492,19,5,4,5,0,6,5,2,4,2,1,6,0,3,7.2e-15
621,493,19,5,4,5,0,6,5,2,4,2,1,6,5,3,3.6e-15
622,494,19,5,4,5,0,6,5,2,4,2,2,6,5,2,1.44e-13
623,495,19,5,4,5,0,6,5,2,4,3,1,6,0,3,7.2e-15
624,496,19,5,4,5,0,6,5,2,5,2,1,6,5,3,1.296e-13
625,497,19,5,4,5,0,6,7,2,4,4,1,6,1,3,2.08e-15
