case_id,site_id,TerminalLOH,capacity,capacity_slack,capacity_binding,decision_label,eta,design,risk_type,top_k,kappa,beta_ext
1,1,294.589913536808,300,5.41008646319199,0,BASELINE_SAA,0,R1_MAX,R1_MAX,1,0,0
1,2,138.832065024684,200,61.167934975316,0,BASELINE_SAA,0,R1_MAX,R1_MAX,1,0,0
1,3,93.0093009300931,100,6.9906990699069,0,BASELINE_SAA,0,R1_MAX,R1_MAX,1,0,0
1,4,150,150,0,1,BASELINE_SAA,0,R1_MAX,R1_MAX,1,0,0
2,1,294.589913536808,300,5.41008646319199,0,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
2,2,138.832065024684,200,61.167934975316,0,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
2,3,93.0093009300931,100,6.9906990699069,0,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
2,4,150,150,0,1,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
3,1,294.589913536808,300,5.41008646319199,0,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
3,2,138.832065024684,200,61.167934975316,0,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
3,3,93.0093009300931,100,6.9906990699069,0,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
3,4,150,150,0,1,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
4,1,294.589913536808,300,5.41008646319199,0,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.01,0.000127286737107718
4,2,138.832065024684,200,61.167934975316,0,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.01,0.000127286737107718
4,3,93.0093009300931,100,6.9906990699069,0,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.01,0.000127286737107718
4,4,150,150,0,1,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.01,0.000127286737107718
5,1,294.589913536808,300,5.41008646319199,0,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.05,0.00063643368553859
5,2,138.832065024684,200,61.167934975316,0,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.05,0.00063643368553859
5,3,93.0093009300931,100,6.9906990699069,0,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.05,0.00063643368553859
5,4,150,150,0,1,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.05,0.00063643368553859
6,1,294.589913536808,300,5.41008646319199,0,BASELINE_SAA,0,R2_TOPK_5PCT,R2_TOPK,2,0,0
6,2,138.832065024684,200,61.167934975316,0,BASELINE_SAA,0,R2_TOPK_5PCT,R2_TOPK,2,0,0
6,3,93.0093009300931,100,6.9906990699069,0,BASELINE_SAA,0,R2_TOPK_5PCT,R2_TOPK,2,0,0
6,4,150,150,0,1,BASELINE_SAA,0,R2_TOPK_5PCT,R2_TOPK,2,0,0
7,1,294.589913536808,300,5.41008646319199,0,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.001,1.30201663394346e-05
7,2,138.832065024684,200,61.167934975316,0,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.001,1.30201663394346e-05
7,3,93.0093009300931,100,6.9906990699069,0,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.001,1.30201663394346e-05
7,4,150,150,0,1,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.001,1.30201663394346e-05
8,1,294.589913536808,300,5.41008646319199,0,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.005,6.5100831697173e-05
8,2,138.832065024684,200,61.167934975316,0,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.005,6.5100831697173e-05
8,3,93.0093009300931,100,6.9906990699069,0,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.005,6.5100831697173e-05
8,4,150,150,0,1,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.005,6.5100831697173e-05
9,1,294.589913536808,300,5.41008646319199,0,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.01,0.000130201663394346
9,2,138.832065024684,200,61.167934975316,0,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.01,0.000130201663394346
9,3,93.0093009300931,100,6.9906990699069,0,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.01,0.000130201663394346
9,4,150,150,0,1,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.01,0.000130201663394346
10,1,294.589913536808,300,5.41008646319199,0,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.05,0.00065100831697173
10,2,138.832065024684,200,61.167934975316,0,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.05,0.00065100831697173
10,3,93.0093009300931,100,6.9906990699069,0,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.05,0.00065100831697173
10,4,150,150,0,1,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.05,0.00065100831697173
11,1,294.589913536808,300,5.41008646319199,0,BASELINE_SAA,0,R2_TOPK_10PCT,R2_TOPK,3,0,0
11,2,138.832065024684,200,61.167934975316,0,BASELINE_SAA,0,R2_TOPK_10PCT,R2_TOPK,3,0,0
11,3,93.0093009300931,100,6.9906990699069,0,BASELINE_SAA,0,R2_TOPK_10PCT,R2_TOPK,3,0,0
11,4,150,150,0,1,BASELINE_SAA,0,R2_TOPK_10PCT,R2_TOPK,3,0,0
12,1,294.589913536808,300,5.41008646319199,0,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.001,1.31222842564295e-05
12,2,138.832065024684,200,61.167934975316,0,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.001,1.31222842564295e-05
12,3,93.0093009300931,100,6.9906990699069,0,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.001,1.31222842564295e-05
12,4,150,150,0,1,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.001,1.31222842564295e-05
13,1,294.589913536808,300,5.41008646319199,0,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.005,6.56114212821473e-05
