eta,design,risk_type,top_k,R_ext_baseline,R_ext_FULL_CAPACITY,recoverable_risk_amount,recoverable_risk_fraction,irreducible_risk_fraction,baseline_extreme_shortage_mean_kg,FULL_CAPACITY_extreme_shortage_mean_kg,baseline_zero_shortage_share,FULL_CAPACITY_zero_shortage_share
0,R1_MAX,R1_MAX,1,899141.407567379,899141.407567379,0.0,0.0,1.0,264.37997335087,261.512060296939,0,0
0,R2_TOPK_5PCT,R2_TOPK,2,879011.626917991,879011.626917991,0.0,0.0,1.0,264.37997335087,261.512060296939,0,0
0,R2_TOPK_10PCT,R2_TOPK,3,872171.138280415,872171.138280415,0.0,0.0,1.0,264.37997335087,261.512060296939,0,0
0.01,R1_MAX,R1_MAX,1,899141.407567379,899141.407567379,0.0,0.0,1.0,263.555224233366,261.512060296939,0,0
0.01,R2_TOPK_5PCT,R2_TOPK,2,879011.626917991,879011.626917991,0.0,0.0,1.0,263.555224233366,261.512060296939,0,0
0.01,R2_TOPK_10PCT,R2_TOPK,3,872171.138280415,872171.138280415,0.0,0.0,1.0,263.555224233366,261.512060296939,0,0
