case_id,eta,design,risk_type,top_k,kappa,J_base_at_baseline,R_ext_at_baseline,beta_ext,scale_status
1,0,R1_MAX,R1_MAX,1,0,11444.8775967693,899141.407567379,0,BEHAVIOR_TEST_NOT_CALIBRATED
2,0,R1_MAX,R1_MAX,1,0.001,11444.8775967693,899141.407567379,1.27286737107718e-05,BEHAVIOR_TEST_NOT_CALIBRATED
3,0,R1_MAX,R1_MAX,1,0.005,11444.8775967693,899141.407567379,6.3643368553859e-05,BEHAVIOR_TEST_NOT_CALIBRATED
4,0,R1_MAX,R1_MAX,1,0.01,11444.8775967693,899141.407567379,0.000127286737107718,BEHAVIOR_TEST_NOT_CALIBRATED
5,0,R1_MAX,R1_MAX,1,0.05,11444.8775967693,899141.407567379,0.00063643368553859,BEHAVIOR_TEST_NOT_CALIBRATED
6,0,R2_TOPK_5PCT,R2_TOPK,2,0,11444.8775967693,879011.626917991,0,BEHAVIOR_TEST_NOT_CALIBRATED
7,0,R2_TOPK_5PCT,R2_TOPK,2,0.001,11444.8775967693,879011.626917991,1.30201663394346e-05,BEHAVIOR_TEST_NOT_CALIBRATED
8,0,R2_TOPK_5PCT,R2_TOPK,2,0.005,11444.8775967693,879011.626917991,6.5100831697173e-05,BEHAVIOR_TEST_NOT_CALIBRATED
9,0,R2_TOPK_5PCT,R2_TOPK,2,0.01,11444.8775967693,879011.626917991,0.000130201663394346,BEHAVIOR_TEST_NOT_CALIBRATED
10,0,R2_TOPK_5PCT,R2_TOPK,2,0.05,11444.8775967693,879011.626917991,0.00065100831697173,BEHAVIOR_TEST_NOT_CALIBRATED
11,0,R2_TOPK_10PCT,R2_TOPK,3,0,11444.8775967693,872171.138280415,0,BEHAVIOR_TEST_NOT_CALIBRATED
12,0,R2_TOPK_10PCT,R2_TOPK,3,0.001,11444.8775967693,872171.138280415,1.31222842564295e-05,BEHAVIOR_TEST_NOT_CALIBRATED
13,0,R2_TOPK_10PCT,R2_TOPK,3,0.005,11444.8775967693,872171.138280415,6.56114212821473e-05,BEHAVIOR_TEST_NOT_CALIBRATED
14,0,R2_TOPK_10PCT,R2_TOPK,3,0.01,11444.8775967693,872171.138280415,0.000131222842564295,BEHAVIOR_TEST_NOT_CALIBRATED
15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,11444.8775967693,872171.138280415,0.000656114212821473,BEHAVIOR_TEST_NOT_CALIBRATED
16,0.01,R1_MAX,R1_MAX,1,0,15303.4012098245,899141.407567379,0,BEHAVIOR_TEST_NOT_CALIBRATED
17,0.01,R1_MAX,R1_MAX,1,0.001,15303.4012098245,899141.407567379,1.70200160742543e-05,BEHAVIOR_TEST_NOT_CALIBRATED
18,0.01,R1_MAX,R1_MAX,1,0.005,15303.4012098245,899141.407567379,8.51000803712716e-05,BEHAVIOR_TEST_NOT_CALIBRATED
19,0.01,R1_MAX,R1_MAX,1,0.01,15303.4012098245,899141.407567379,0.000170200160742543,BEHAVIOR_TEST_NOT_CALIBRATED
20,0.01,R1_MAX,R1_MAX,1,0.05,15303.4012098245,899141.407567379,0.000851000803712716,BEHAVIOR_TEST_NOT_CALIBRATED
21,0.01,R2_TOPK_5PCT,R2_TOPK,2,0,15303.4012098245,879011.626917991,0,BEHAVIOR_TEST_NOT_CALIBRATED
22,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.001,15303.4012098245,879011.626917991,1.74097824661109e-05,BEHAVIOR_TEST_NOT_CALIBRATED
23,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.005,15303.4012098245,879011.626917991,8.70489123305545e-05,BEHAVIOR_TEST_NOT_CALIBRATED
24,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.01,15303.4012098245,879011.626917991,0.000174097824661109,BEHAVIOR_TEST_NOT_CALIBRATED
25,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.05,15303.4012098245,879011.626917991,0.000870489123305545,BEHAVIOR_TEST_NOT_CALIBRATED
26,0.01,R2_TOPK_10PCT,R2_TOPK,3,0,15303.4012098245,872171.138280415,0,BEHAVIOR_TEST_NOT_CALIBRATED
27,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.001,15303.4012098245,872171.138280415,1.75463283960495e-05,BEHAVIOR_TEST_NOT_CALIBRATED
28,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.005,15303.4012098245,872171.138280415,8.77316419802474e-05,BEHAVIOR_TEST_NOT_CALIBRATED
29,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.01,15303.4012098245,872171.138280415,0.000175463283960495,BEHAVIOR_TEST_NOT_CALIBRATED
30,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.05,15303.4012098245,872171.138280415,0.000877316419802474,BEHAVIOR_TEST_NOT_CALIBRATED
