case_id,eta,design,risk_type,top_k,kappa,domain,loss_mean,loss_q90,loss_q95,loss_q99,loss_max,shortage_mean_kg,shortage_q95_kg,shortage_max_kg,shortage_W1_mean_kg,shortage_W2_mean_kg,shortage_W3_mean_kg,service_rate_mean,zero_shortage_share,unreachable_demand_mean_kg,unreachable_demand_share,total_demand_mean_kg
1,0,R1_MAX,R1_MAX,1,0,NOMINAL,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,4.60246206438826,29.4574912036658,301.121021193028,0.127413741374137,1.62249652237951,2.85255180063461,0.987277179106841,0.866866666666667,4.46457373010029,0.0338833376620116,131.763103583085
1,0,R1_MAX,R1_MAX,1,0,EXTREME,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,264.37997335087,409.404576821319,449.226740855904,78.4200743306654,85.0632740041681,100.896625016037,0.545181121216744,0,257.619701364076,0.458456029080241,561.928920164743
2,0,R1_MAX,R1_MAX,1,0.001,NOMINAL,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,4.60246206438826,29.4574912036658,301.121021193028,0.127413741374137,1.62249652237951,2.85255180063461,0.987277179106841,0.866866666666667,4.46457373010029,0.0338833376620116,131.763103583085
2,0,R1_MAX,R1_MAX,1,0.001,EXTREME,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,264.37997335087,409.404576821319,449.226740855904,78.4200743306654,85.0632740041681,100.896625016037,0.545181121216744,0,257.619701364076,0.458456029080241,561.928920164743
3,0,R1_MAX,R1_MAX,1,0.005,NOMINAL,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,4.60246206438826,29.4574912036658,301.121021193028,0.127413741374137,1.62249652237951,2.85255180063461,0.987277179106841,0.866866666666667,4.46457373010029,0.0338833376620116,131.763103583085
3,0,R1_MAX,R1_MAX,1,0.005,EXTREME,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,264.37997335087,409.404576821319,449.226740855904,78.4200743306654,85.0632740041681,100.896625016037,0.545181121216744,0,257.619701364076,0.458456029080241,561.928920164743
4,0,R1_MAX,R1_MAX,1,0.01,NOMINAL,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,4.60246206438826,29.4574912036658,301.121021193028,0.127413741374137,1.62249652237951,2.85255180063461,0.987277179106841,0.866866666666667,4.46457373010029,0.0338833376620116,131.763103583085
4,0,R1_MAX,R1_MAX,1,0.01,EXTREME,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,264.37997335087,409.404576821319,449.226740855904,78.4200743306654,85.0632740041681,100.896625016037,0.545181121216744,0,257.619701364076,0.458456029080241,561.928920164743
5,0,R1_MAX,R1_MAX,1,0.05,NOMINAL,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,4.60246206438826,29.4574912036658,301.121021193028,0.127413741374137,1.62249652237951,2.85255180063461,0.987277179106841,0.866866666666667,4.46457373010029,0.0338833376620116,131.763103583085
5,0,R1_MAX,R1_MAX,1,0.05,EXTREME,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,264.37997335087,409.404576821319,449.226740855904,78.4200743306654,85.0632740041681,100.896625016037,0.545181121216744,0,257.619701364076,0.458456029080241,561.928920164743
6,0,R2_TOPK_5PCT,R2_TOPK,2,0,NOMINAL,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,4.60246206438826,29.4574912036658,301.121021193028,0.127413741374137,1.62249652237951,2.85255180063461,0.987277179106841,0.866866666666667,4.46457373010029,0.0338833376620116,131.763103583085
6,0,R2_TOPK_5PCT,R2_TOPK,2,0,EXTREME,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,264.37997335087,409.404576821319,449.226740855904,78.4200743306654,85.0632740041681,100.896625016037,0.545181121216744,0,257.619701364076,0.458456029080241,561.928920164743
7,0,R2_TOPK_5PCT,R2_TOPK,2,0.001,NOMINAL,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,4.60246206438826,29.4574912036658,301.121021193028,0.127413741374137,1.62249652237951,2.85255180063461,0.987277179106841,0.866866666666667,4.46457373010029,0.0338833376620116,131.763103583085
7,0,R2_TOPK_5PCT,R2_TOPK,2,0.001,EXTREME,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,264.37997335087,409.404576821319,449.226740855904,78.4200743306654,85.0632740041681,100.896625016037,0.545181121216744,0,257.619701364076,0.458456029080241,561.928920164743
8,0,R2_TOPK_5PCT,R2_TOPK,2,0.005,NOMINAL,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,4.60246206438826,29.4574912036658,301.121021193028,0.127413741374137,1.62249652237951,2.85255180063461,0.987277179106841,0.866866666666667,4.46457373010029,0.0338833376620116,131.763103583085
8,0,R2_TOPK_5PCT,R2_TOPK,2,0.005,EXTREME,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,264.37997335087,409.404576821319,449.226740855904,78.4200743306654,85.0632740041681,100.896625016037,0.545181121216744,0,257.619701364076,0.458456029080241,561.928920164743
9,0,R2_TOPK_5PCT,R2_TOPK,2,0.01,NOMINAL,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,4.60246206438826,29.4574912036658,301.121021193028,0.127413741374137,1.62249652237951,2.85255180063461,0.987277179106841,0.866866666666667,4.46457373010029,0.0338833376620116,131.763103583085
9,0,R2_TOPK_5PCT,R2_TOPK,2,0.01,EXTREME,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,264.37997335087,409.404576821319,449.226740855904,78.4200743306654,85.0632740041681,100.896625016037,0.545181121216744,0,257.619701364076,0.458456029080241,561.928920164743
10,0,R2_TOPK_5PCT,R2_TOPK,2,0.05,NOMINAL,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,4.60246206438826,29.4574912036658,301.121021193028,0.127413741374137,1.62249652237951,2.85255180063461,0.987277179106841,0.866866666666667,4.46457373010029,0.0338833376620116,131.763103583085
10,0,R2_TOPK_5PCT,R2_TOPK,2,0.05,EXTREME,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,264.37997335087,409.404576821319,449.226740855904,78.4200743306654,85.0632740041681,100.896625016037,0.545181121216744,0,257.619701364076,0.458456029080241,561.928920164743
11,0,R2_TOPK_10PCT,R2_TOPK,3,0,NOMINAL,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,4.60246206438826,29.4574912036658,301.121021193028,0.127413741374137,1.62249652237951,2.85255180063461,0.987277179106841,0.866866666666667,4.46457373010029,0.0338833376620116,131.763103583085
11,0,R2_TOPK_10PCT,R2_TOPK,3,0,EXTREME,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,264.37997335087,409.404576821319,449.226740855904,78.4200743306654,85.0632740041681,100.896625016037,0.545181121216744,0,257.619701364076,0.458456029080241,561.928920164743
12,0,R2_TOPK_10PCT,R2_TOPK,3,0.001,NOMINAL,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,4.60246206438826,29.4574912036658,301.121021193028,0.127413741374137,1.62249652237951,2.85255180063461,0.987277179106841,0.866866666666667,4.46457373010029,0.0338833376620116,131.763103583085
12,0,R2_TOPK_10PCT,R2_TOPK,3,0.001,EXTREME,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,264.37997335087,409.404576821319,449.226740855904,78.4200743306654,85.0632740041681,100.896625016037,0.545181121216744,0,257.619701364076,0.458456029080241,561.928920164743
13,0,R2_TOPK_10PCT,R2_TOPK,3,0.005,NOMINAL,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,4.60246206438826,29.4574912036658,301.121021193028,0.127413741374137,1.62249652237951,2.85255180063461,0.987277179106841,0.866866666666667,4.46457373010029,0.0338833376620116,131.763103583085
13,0,R2_TOPK_10PCT,R2_TOPK,3,0.005,EXTREME,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,264.37997335087,409.404576821319,449.226740855904,78.4200743306654,85.0632740041681,100.896625016037,0.545181121216744,0,257.619701364076,0.458456029080241,561.928920164743
14,0,R2_TOPK_10PCT,R2_TOPK,3,0.01,NOMINAL,10092.0150377861,21145.4552788299,61314.2770955281,188736.506145148,605348.344020294,4.60246206438826,29.4574912036658,301.121021193028,0.127413741374137,1.62249652237951,2.85255180063461,0.987277179106841,0.866866666666667,4.46457373010029,0.0338833376620116,131.763103583085
14,0,R2_TOPK_10PCT,R2_TOPK,3,0.01,EXTREME,531165.711611702,784161.562633729,820195.36161099,858881.846268602,899141.407567379,264.37997335087,409.404576821319,449.226740855904,78.4200743306654,85.0632740041681,100.896625016037,0.545181121216744,0,257.619701364076,0.458456029080241,561.928920164743
