iteration,cut_count,lower_bound,upper_bound,absolute_gap,relative_gap,master_T1,master_T2,master_T3,master_T4,case_id,eta,design,risk_type,top_k,kappa,beta_ext
1,0,11444.8775967691,11444.8775967691,0,0,294.589913536808,138.832065024684,93.0093009300931,150,1,0,R1_MAX,R1_MAX,1,0,0
1,4,11398.2748621876,11456.3224743661,58.0476121784868,0.00506686262614993,288.396432574072,0,0,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
2,5,11410.3250993241,11456.3224743661,45.9973750419867,0.00401502097596393,300,0,45.7436352645927,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
3,6,11414.7841574035,11456.3224743661,41.5383169625438,0.0036257985104284,300,62.2974891664908,3.42582162180013,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
4,7,11418.0239254244,11456.3224743661,38.2985489416624,0.00334300549127844,300,51.1930619843586,27.411384752471,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
5,8,11430.2961278801,11456.3224743661,26.0263464859308,0.00227178892215768,300,109.214251058104,18.5496525429843,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
6,9,11430.9297315955,11456.3224743661,25.3927427705767,0.00221648289207936,300,41.6242210320882,88.4197129271008,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
7,10,11435.5563157036,11456.3224743661,20.7661586624963,0.00181263740689574,300,94.414358954843,54.2755625031413,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
8,11,11440.4018038031,11456.3224743661,15.9206705629222,0.0013896842200929,300,149.663695598398,18.5542959634461,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
9,12,11440.6796887845,11456.3224743661,15.6427855815291,0.00136542818313035,300,128.915817912472,40.3346648578415,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
10,13,11442.9776247229,11456.3224743661,13.3448496431338,0.00116484584586314,300,78.2304547334313,100,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
11,14,11446.1565403226,11456.3224743661,10.1659340434799,0.000887364515639859,300,114.526003258116,76.5161539452863,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
12,15,11448.9817860825,11456.3224743661,7.34068828359523,0.000640754334562447,300,146.78349527308,55.6450001156268,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
13,16,11450.6385359416,11456.3224743661,5.68393842440855,0.000496139877096387,300,131.842660345134,77.1391205474716,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
14,17,11452.7026143517,11456.3224743661,3.61986001431251,0.000315970506452841,300,144.053469083456,73.2054717079566,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
15,18,11453.1560514358,11456.3224743661,3.16642293024051,0.000276390869524274,300,133.993814476968,85.0368741897467,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
