case_id,eta,design,risk_type,top_k,kappa,beta_ext,J_base_at_baseline,R_ext_at_baseline,T1,T2,T3,T4,TerminalLOH_total,capacity_binding_count,first_stage_cost,nominal_risk,extreme_risk,enhanced_objective,lower_bound,upper_bound,absolute_gap,relative_gap,iterations,cut_count,master_solver_calls,recourse_solver_calls,runtime_sec,objective_reconstruction_error,nominal_cut_max_violation,extreme_cut_max_violation,nominal_demand_balance_error,nominal_capacity_violation,extreme_demand_balance_error,extreme_capacity_violation,maximum_mechanical_residual,mechanical_pass,solver_status,active_path_ids,active_replica_rows
1,0,R1_MAX,R1_MAX,1,0,0,11444.8775967693,899141.407567379,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,899141.407567379,11444.8775967693,11444.8775967691,11444.8775967691,0,0,1,0,0,2,5.8712165,0,0,0,9.41469124882133e-14,3.97903932025656e-13,0,2.8421709430404e-14,3.97903932025656e-13,1,OPTIMAL,617,95
2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05,11444.8775967693,899141.407567379,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,899141.407567379,11456.3224743661,11456.3224743616,11456.3224743661,4.42378222942352e-09,3.86143305526001e-13,27,30,27,30,139.7181637,0,5.45696821063757e-12,0,1.77635683940025e-15,5.11590769747272e-13,1.77635683940025e-15,5.11590769747272e-13,5.45696821063757e-12,1,OPTIMAL,617,95
3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05,11444.8775967693,899141.407567379,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,899141.407567379,11502.1019847531,11502.1019847487,11502.1019847531,4.42378222942352e-09,3.84606416747788e-13,27,30,27,30,140.3651352,0,5.45696821063757e-12,0,1.77635683940025e-15,5.11590769747272e-13,1.77635683940025e-15,5.11590769747272e-13,5.45696821063757e-12,1,OPTIMAL,617,95
4,0,R1_MAX,R1_MAX,1,0.01,0.000127286737107718,11444.8775967693,899141.407567379,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,899141.407567379,11559.326372737,11559.3263688717,11559.326372737,3.86524152418133e-06,3.34382938896649e-10,26,29,26,29,133.7778799,0,5.45696821063757e-12,0,1.77635683940025e-15,5.11590769747272e-13,1.77635683940025e-15,5.11590769747272e-13,5.45696821063757e-12,1,OPTIMAL,617,95
5,0,R1_MAX,R1_MAX,1,0.05,0.00063643368553859,11444.8775967693,899141.407567379,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,899141.407567379,12017.1214766078,12017.1214727425,12017.1214766078,3.86524152418133e-06,3.21644541224395e-10,26,29,26,29,137.581438,0,5.45696821063757e-12,0,1.77635683940025e-15,5.11590769747272e-13,1.77635683940025e-15,5.11590769747272e-13,5.45696821063757e-12,1,OPTIMAL,617,95
6,0,R2_TOPK_5PCT,R2_TOPK,2,0,0,11444.8775967693,879011.626917991,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,879011.626917991,11444.8775967693,11444.8775967691,11444.8775967691,0,0,1,0,0,2,6.0742199,0,0,0,9.41469124882133e-14,3.97903932025656e-13,0,2.8421709430404e-14,3.97903932025656e-13,1,OPTIMAL,617;605,95;42
7,0,R2_TOPK_5PCT,R2_TOPK,2,0.001,1.30201663394346e-05,11444.8775967693,879011.626917991,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,879011.626917991,11456.3224743661,11456.3224743616,11456.3224743661,4.42560121882707e-09,3.86302081556234e-13,23,26,23,26,121.4779894,0,3.63797880709171e-12,0,1.77635683940025e-15,5.11590769747272e-13,1.77635683940025e-15,5.11590769747272e-13,3.63797880709171e-12,1,OPTIMAL,617;605,95;42
8,0,R2_TOPK_5PCT,R2_TOPK,2,0.005,6.5100831697173e-05,11444.8775967693,879011.626917991,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,879011.626917991,11502.1019847531,11502.1019847487,11502.1019847531,4.42560121882707e-09,3.84764560833622e-13,23,26,23,26,122.5886284,0,3.63797880709171e-12,0,1.77635683940025e-15,5.11590769747272e-13,1.77635683940025e-15,5.11590769747272e-13,3.63797880709171e-12,1,OPTIMAL,617;605,95;42
9,0,R2_TOPK_5PCT,R2_TOPK,2,0.01,0.000130201663394346,11444.8775967693,879011.626917991,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,879011.626917991,11559.326372737,11559.3263688717,11559.326372737,3.86523970519193e-06,3.34382781535454e-10,25,28,25,28,132.2054264,0,5.45696821063757e-12,0,1.77635683940025e-15,5.11590769747272e-13,1.77635683940025e-15,5.11590769747272e-13,5.45696821063757e-12,1,OPTIMAL,617;605,95;42
10,0,R2_TOPK_5PCT,R2_TOPK,2,0.05,0.00065100831697173,11444.8775967693,879011.626917991,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,879011.626917991,12017.1214766078,12017.1214727425,12017.1214766078,3.86523970519193e-06,3.21644389857913e-10,25,28,25,28,129.7455326,0,5.45696821063757e-12,0,1.77635683940025e-15,5.11590769747272e-13,1.77635683940025e-15,5.11590769747272e-13,5.45696821063757e-12,1,OPTIMAL,617;605,95;42
