case_id,decision_label,eta,design,risk_type,top_k,kappa,R_ext,R_ext_FULL_CAPACITY,Headroom,R_ext_baseline,recoverable_denominator,ClosedRatio,extreme_shortage_mean_kg,FULL_CAPACITY_shortage_mean_kg,capacity_binding_count
1,BASELINE_SAA,0,R1_MAX,R1_MAX,1,0,899141.407567379,899141.407567379,0.0,899141.407567379,0.0,nan,264.37997335087,261.512060296939,1
2,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.001,899141.407567379,899141.407567379,0.0,899141.407567379,0.0,nan,264.37997335087,261.512060296939,1
3,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.005,899141.407567379,899141.407567379,0.0,899141.407567379,0.0,nan,264.37997335087,261.512060296939,1
4,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.01,899141.407567379,899141.407567379,0.0,899141.407567379,0.0,nan,264.37997335087,261.512060296939,1
5,EXTREME_ENHANCED,0,R1_MAX,R1_MAX,1,0.05,899141.407567379,899141.407567379,0.0,899141.407567379,0.0,nan,264.37997335087,261.512060296939,1
0,FULL_CAPACITY,0,R1_MAX,R1_MAX,1,NaN,899141.407567379,899141.407567379,0.0,899141.407567379,0.0,nan,261.512060296939,261.512060296939,4
6,BASELINE_SAA,0,R2_TOPK_5PCT,R2_TOPK,2,0,879011.626917991,879011.626917991,0.0,879011.626917991,0.0,nan,264.37997335087,261.512060296939,1
7,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.001,879011.626917991,879011.626917991,0.0,879011.626917991,0.0,nan,264.37997335087,261.512060296939,1
8,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.005,879011.626917991,879011.626917991,0.0,879011.626917991,0.0,nan,264.37997335087,261.512060296939,1
9,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.01,879011.626917991,879011.626917991,0.0,879011.626917991,0.0,nan,264.37997335087,261.512060296939,1
10,EXTREME_ENHANCED,0,R2_TOPK_5PCT,R2_TOPK,2,0.05,879011.626917991,879011.626917991,0.0,879011.626917991,0.0,nan,264.37997335087,261.512060296939,1
0,FULL_CAPACITY,0,R2_TOPK_5PCT,R2_TOPK,2,NaN,879011.626917991,879011.626917991,0.0,879011.626917991,0.0,nan,261.512060296939,261.512060296939,4
11,BASELINE_SAA,0,R2_TOPK_10PCT,R2_TOPK,3,0,872171.138280415,872171.138280415,0.0,872171.138280415,0.0,nan,264.37997335087,261.512060296939,1
12,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.001,872171.138280415,872171.138280415,0.0,872171.138280415,0.0,nan,264.37997335087,261.512060296939,1
13,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.005,872171.138280415,872171.138280415,0.0,872171.138280415,0.0,nan,264.37997335087,261.512060296939,1
14,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.01,872171.138280415,872171.138280415,0.0,872171.138280415,0.0,nan,264.37997335087,261.512060296939,1
15,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,872171.138280415,872171.138280415,0.0,872171.138280415,0.0,nan,264.37997335087,261.512060296939,1
0,FULL_CAPACITY,0,R2_TOPK_10PCT,R2_TOPK,3,NaN,872171.138280415,872171.138280415,0.0,872171.138280415,0.0,nan,261.512060296939,261.512060296939,4
16,BASELINE_CHI2,0.01,R1_MAX,R1_MAX,1,0,899141.407567379,899141.407567379,0.0,899141.407567379,0.0,nan,263.555224233366,261.512060296939,3
17,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.001,899141.407567379,899141.407567379,0.0,899141.407567379,0.0,nan,263.555224233366,261.512060296939,3
18,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.005,899141.407567379,899141.407567379,0.0,899141.407567379,0.0,nan,263.555224233366,261.512060296939,3
19,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.01,899141.407567379,899141.407567379,0.0,899141.407567379,0.0,nan,263.555224233366,261.512060296939,3
20,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.05,899141.407567379,899141.407567379,0.0,899141.407567379,0.0,nan,263.555224233366,261.512060296939,3
0,FULL_CAPACITY,0.01,R1_MAX,R1_MAX,1,NaN,899141.407567379,899141.407567379,0.0,899141.407567379,0.0,nan,261.512060296939,261.512060296939,4
21,BASELINE_CHI2,0.01,R2_TOPK_5PCT,R2_TOPK,2,0,879011.626917991,879011.626917991,0.0,879011.626917991,0.0,nan,263.555224233366,261.512060296939,3
22,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.001,879011.626917991,879011.626917991,0.0,879011.626917991,0.0,nan,263.555224233366,261.512060296939,3
23,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.005,879011.626917991,879011.626917991,0.0,879011.626917991,0.0,nan,263.555224233366,261.512060296939,3
24,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.01,879011.626917991,879011.626917991,0.0,879011.626917991,0.0,nan,263.555224233366,261.512060296939,3
25,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.05,879011.626917991,879011.626917991,0.0,879011.626917991,0.0,nan,263.555224233366,261.512060296939,3
0,FULL_CAPACITY,0.01,R2_TOPK_5PCT,R2_TOPK,2,NaN,879011.626917991,879011.626917991,0.0,879011.626917991,0.0,nan,261.512060296939,261.512060296939,4
26,BASELINE_CHI2,0.01,R2_TOPK_10PCT,R2_TOPK,3,0,872171.138280415,872171.138280415,0.0,872171.138280415,0.0,nan,263.555224233366,261.512060296939,3
27,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.001,872171.138280415,872171.138280415,0.0,872171.138280415,0.0,nan,263.555224233366,261.512060296939,3
28,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.005,872171.138280415,872171.138280415,0.0,872171.138280415,0.0,nan,263.555224233366,261.512060296939,3
