mode,fixed_value_mps,lower_mps,mode_mps,upper_mps,distribution,project_computational_limit,official_or_physical_upper_bound,upper_bound_interpretation,joint_sampling_definition
M0_FIXED,55.5,55.5,55.5,55.5,fixed,0,0,formal current representative value,"not applicable"
M1_A6_TRIANGULAR,NaN,51,55.5,60,triangular,1,0,project-defined computational sensitivity interval,"one q per path-resistance scenario, shared across W1-W3"
