a0,loc0,lfw0,seed_id,base_seed,record_group,record_count,metric,M0_mean,M1_mean,paired_difference_mean,paired_absolute_difference_mean,paired_difference_q05,paired_difference_median,paired_difference_q95,maximum_absolute_difference,nonzero_difference_share
5,4,0,1,20260723,all_records,2000,Dtotal,341.05474183782,341.060196928784,0.00545509096364185,0.0436407277091346,0,0,0,45.8227640945913,0.002
5,4,0,1,20260723,all_records,2000,fullLoss,0.0905,0.0905,0,0,0,0,0,0,0
5,4,0,1,20260723,all_records,2000,A0Share,0.142176767676768,0.14222095959596,4.41919191919192e-05,0.000261363636363636,0,0,0,0.121212121212121,0.0075
5,4,0,1,20260723,all_records,2000,reachableShare,0.857823232323233,0.857779040404041,-4.41919191919192e-05,0.000261363636363636,0,0,0,0.121212121212121,0.0075
5,4,0,1,20260723,all_records,2000,CScenarioMean,21.3679207119931,21.3708992005851,0.00297848859200178,0.00743152441027094,0,0,0,4.13008250003329,0.0145
5,4,0,1,20260723,all_records,2000,W3Failed,10.0335,10.0355,0.002,0.018,0,0,0,6,0.0075
5,4,0,1,20260723,all_records,2000,W3Closed,5.4405,5.446,0.0055,0.0235,0,0,0,5,0.009
5,4,0,1,20260723,contains_a6,31,Dtotal,416.78654668986,417.138488042353,0.351941352493023,2.81553081994417,-10.9101819272836,0,3.27305457818511,45.8227640945913,0.129032258064516
5,4,0,1,20260723,contains_a6,31,fullLoss,0.0967741935483871,0.0967741935483871,0,0,0,0,0,0,0
5,4,0,1,20260723,contains_a6,31,A0Share,0.353698273053112,0.356549364613881,0.00285109156076898,0.0168621700879765,-0.0454545454545455,0,0.0732323232323232,0.121212121212121,0.483870967741935
5,4,0,1,20260723,contains_a6,31,reachableShare,0.646301726946888,0.643450635386119,-0.00285109156076898,0.0168621700879765,-0.0732323232323233,0,0.0454545454545454,0.121212121212121,0.483870967741935
5,4,0,1,20260723,contains_a6,31,CScenarioMean,21.8732619932087,22.0654225475314,0.192160554322696,0.479453187759416,-0.97354230665519,0.00103510072554513,1.81574538862069,4.13008250003329,0.935483870967742
5,4,0,1,20260723,contains_a6,31,W3Failed,19.5483870967742,19.6774193548387,0.129032258064516,1.16129032258065,-3,0,4,6,0.483870967741935
5,4,0,1,20260723,contains_a6,31,W3Closed,15.258064516129,15.6129032258065,0.354838709677419,1.51612903225806,-5,0,4,5,0.580645161290323
5,4,0,1,20260723,no_a6,1969,Dtotal,339.862417840657,339.862417840657,0,0,0,0,0,0,0
5,4,0,1,20260723,no_a6,1969,fullLoss,0.090401218892839,0.090401218892839,0,0,0,0,0,0,0
5,4,0,1,20260723,no_a6,1969,A0Share,0.138846566220868,0.138846566220868,0,0,0,0,0,0,0
5,4,0,1,20260723,no_a6,1969,reachableShare,0.861153433779133,0.861153433779133,0,0,0,0,0,0,0
