candidate,stage,site,Pmax_kW,P_EL_kWh,mean_Pmax_utilization,max_P_EL_kW,hours_ge90pct,hours_ge95pct,hours_ge99pct,production_kg,begin_inventory_kg,end_inventory_kg,ordinary_shortage_kg,HTT_in_kg,HTT_out_kg,tank_headroom_kg,tank_capacity_hits,near_tank_capacity_hours,P_EL_std_kW
ARM-B1011,1,1,375,2625,0.875,375,7,7,7,51.1875,58.0445570448695,94.3928559615926,0,0,0,205.607144038407,0,0,132.582521472478
ARM-B1011,1,2,200,1200,0.75,200,6,6,6,23.4,50.3081379386248,61.0621752057055,0,0,0,138.937824794294,0,0,92.5820099772551
ARM-B1011,1,3,150,900,0.75,150,6,6,6,17.55,25.2621334423093,38.8476415005701,0,0,0,61.1523584994299,0,0,69.4365074829414
ARM-B1011,1,4,187.5,1312.5,0.875,187.5,7,7,7,25.59375,33.0235808462428,51.0560584666148,0,0,0,148.943941533385,0,0,66.2912607362388
ARM-B1011,2,1,375,0,0,0,0,0,0,0,94.3928559615926,71.9199378844091,0,0,0,228.080062115591,0,0,0
ARM-B1011,2,2,200,0,0,0,0,0,0,0,61.0621752057055,46.4037901125378,0,0,0,153.596209887462,0,0,0
ARM-B1011,2,3,150,0,0,0,0,0,0,0,38.8476415005701,29.7729194459291,0,0,0,70.2270805540709,0,0,0
ARM-B1011,2,4,187.5,0,0,0,0,0,0,0,51.0560584666148,37.769077760896,0,0,0,162.230922239104,0,0,0
ARM-B1011,3,1,375,375,0.125,375,1,1,1,7.3125,71.9199378844091,61.5445570448695,0,0,0,238.45544295513,0,0,132.582521472478
ARM-B1011,3,2,200,200,0.125,200,1,1,1,3.9,46.4037901125378,41.6081379386248,0,0,0,158.391862061375,0,0,70.7106781186548
ARM-B1011,3,3,150,0,0,0,0,0,0,0,29.7729194459291,19.8121334423093,0,0,0,80.1878665576907,0,0,0
ARM-B1011,3,4,187.5,187.5,0.125,187.5,1,1,1,3.65625,37.769077760896,32.2735808462428,0,0,0,167.726419153757,0,0,66.2912607362388
ARM-B1011,4,1,375,0,0,0,0,0,0,0,61.5445570448695,46.7053559615926,0,0,0,253.294644038407,0,0,0
ARM-B1011,4,2,200,0,0,0,0,0,0,0,41.6081379386248,28.9621752057055,0,0,0,171.037824794294,0,0,0
ARM-B1011,4,3,150,0,0,0,0,0,0,0,19.8121334423093,15.8476415005701,0,0,0,84.1523584994299,0,0,0
ARM-B1011,4,4,187.5,0,0,0,0,0,0,0,32.2735808462428,24.7123084666148,0,0,0,175.287691533385,0,0,0
ARM-B1011,5,1,375,0,0,0,0,0,0,0,46.7053559615926,24.2324378844091,0,0,0,275.767562115591,0,0,0
ARM-B1011,5,2,200,0,0,0,0,0,0,0,28.9621752057055,14.3037901125378,0,0,0,185.696209887462,0,0,0
ARM-B1011,5,3,150,0,0,0,0,0,0,0,15.8476415005701,6.77291944592908,0,0,0,93.2270805540709,0,0,0
ARM-B1011,5,4,187.5,0,0,0,0,0,0,0,24.7123084666148,11.425327760896,0,0,0,188.574672239104,0,0,0
ARM-B1011,6,1,375,0,0,0,0,0,0,0,24.2324378844091,6.54455704486947,0,0,0,293.455442955131,0,0,0
ARM-B1011,6,2,200,0,0,0,0,0,0,0,14.3037901125378,2.42027138093408,0,0,3.18786655769067,197.579728619066,0,0,0
ARM-B1011,6,3,150,0,0,0,0,0,0,0,6.77291944592908,0,0,3.18786655769067,0,100,0,0,0
ARM-B1011,6,4,187.5,0,0,0,0,0,0,0,11.425327760896,2.27358084624278,0,0,0,197.726419153757,0,0,0
