candidate,stage,hour_in_stage,global_hour,site,bus,Pmax_kW,P_EL_kW,Pmax_utilization,production_kg,begin_inventory_kg,inventory_pre_HTT_kg,end_inventory_kg,tank_capacity_kg,tank_headroom_kg,ordinary_demand_kg,ordinary_served_kg,ordinary_shortage_kg,HTT_in_kg,HTT_out_kg,site_voltage_pu,P_EL_ge90pct,P_EL_ge99pct,tank_binding
ARM-B1011,1,1,1,1,24,375,375,1,7.3125,58.0445570448695,64.4261159480516,64.4261159480516,300,235.573884051948,0.930941096817874,0.930941096817874,0,0,0,0.972739924145544,1,1,0
ARM-B1011,1,2,2,1,24,375,375,1,7.3125,64.4261159480516,71.2731453996427,71.2731453996427,300,228.726854600357,0.465470548408937,0.465470548408937,0,0,0,0.973950324028769,1,1,0
ARM-B1011,1,3,3,1,24,375,375,1,7.3125,71.2731453996427,78.1201748512338,78.1201748512338,300,221.879825148766,0.465470548408937,0.465470548408937,0,0,0,0.974346263959294,1,1,0
ARM-B1011,1,4,4,1,24,375,375,1,7.3125,78.1201748512338,84.9672043028248,84.9672043028248,300,215.032795697175,0.465470548408937,0.465470548408937,0,0,0,0.974749232695837,1,1,0
ARM-B1011,1,5,5,1,24,375,375,1,7.3125,84.9672043028248,91.348763206007,91.348763206007,300,208.651236793993,0.930941096817874,0.930941096817874,0,0,0,0.974993809121132,1,1,0
ARM-B1011,1,6,6,1,24,375,375,1,7.3125,91.348763206007,96.7993810123712,96.7993810123712,300,203.200618987629,1.86188219363575,1.86188219363575,0,0,0,0.975554670810662,1,1,0
ARM-B1011,1,7,7,1,24,375,375,1,7.3125,96.7993810123712,99.7923143231363,99.7923143231363,300,200.207685676864,4.31956668923494,4.31956668923494,0,0,0,0.977265669018808,1,1,0
ARM-B1011,1,8,8,1,24,375,0,0,0,99.7923143231363,94.3928559615926,94.3928559615926,300,205.607144038407,5.39945836154367,5.39945836154367,0,0,0,0.981383220932609,0,0,0
ARM-B1011,1,1,1,2,14,200,200,1,3.9,50.3081379386248,53.8975789324136,53.8975789324136,200,146.102421067586,0.31055900621118,0.31055900621118,0,0,0,0.916640665370325,1,1,0
ARM-B1011,1,2,2,2,14,200,200,1,3.9,53.8975789324136,57.4870199262024,57.4870199262024,200,142.512980073798,0.31055900621118,0.31055900621118,0,0,0,0.920361865064869,1,1,0
ARM-B1011,1,3,3,2,14,200,200,1,3.9,57.4870199262024,61.0764609199912,61.0764609199912,200,138.923539080009,0.31055900621118,0.31055900621118,0,0,0,0.921576864839781,1,1,0
ARM-B1011,1,4,4,2,14,200,200,1,3.9,61.0764609199912,64.3553429075689,64.3553429075689,200,135.644657092431,0.62111801242236,0.62111801242236,0,0,0,0.922812297035334,1,1,0
ARM-B1011,1,5,5,2,14,200,200,1,3.9,64.3553429075689,67.0131068827241,67.0131068827241,200,132.986893117276,1.24223602484472,1.24223602484472,0,0,0,0.923561568740517,1,1,0
ARM-B1011,1,6,6,2,14,200,200,1,3.9,67.0131068827241,67.882050982103,67.882050982103,200,132.117949017897,3.03105590062112,3.03105590062112,0,0,0,0.925278212789564,1,1,0
ARM-B1011,1,7,7,2,14,200,0,0,0,67.882050982103,64.0932311063266,64.0932311063266,200,135.906768893673,3.7888198757764,3.7888198757764,0,0,0,0.944484063186709,0,0,0
ARM-B1011,1,8,8,2,14,200,0,0,0,64.0932311063266,61.0621752057055,61.0621752057055,200,138.937824794294,3.03105590062112,3.03105590062112,0,0,0,0.944979438785021,0,0,0
