terminal_state,state_label,path_count,path_share_all_10000,mean_delta_production_kg,mean_delta_htt_kg,mean_delta_ordinary_shortage_kg,ordinary_shortage_worse_path_count,mean_delta_final_inventory_kg,mean_delta_operating_cost_yuan,mean_delta_reported_objective_yuan,mean_delta_terminal_loh_kg,mean_delta_terminal_gap_kg,global_mean_inventory_contribution_kg,global_mean_operating_cost_contribution_yuan,global_mean_shortage_contribution_kg
0,NO_TERMINAL_HIT,3947,0.3947,7.5209130920565235,5.288707651628135,0.026101702624508165,17,7.547014794681038,415.6385744780925,415.6385744780925,,,2.978806739460605,164.0525453465034,0.010302342025893373
1,state1,354,0.0354,22.072914863234015,11.225363972853962,0.01901020335488133,1,22.091925066588793,1057.4952673843425,1057.4952673843425,112.16669662640483,0.0,0.7820541473572435,37.435332465405736,0.000672961198762799
2,state2,681,0.0681,21.34128938575967,11.039112403384797,0.0,0,21.341289385759552,1026.033116501715,1026.033116501715,110.46572133048271,0.0,1.4533418071702267,69.8728552337669,0.0
3,state3,706,0.0706,21.07312647705933,10.415637988581658,0.09359654174313693,6,21.166723018802365,1030.1847753383286,1030.1847753383286,79.48533710376267,0.0,1.4943706451274472,72.73104513888602,0.006607915847065468
4,state4,716,0.0716,23.991452399010072,13.34029637601299,0.1317093699768922,7,24.12316176898686,1193.5211129122777,1193.5211129122777,67.64313058466357,0.0,1.7272183826594592,85.45611168451923,0.009430390890345482
5,state5,644,0.0644,24.768682047008035,15.828656614400217,0.08988283181789566,7,24.858564878825835,1277.495637490037,1277.495637490037,30.275751947490868,0.0,1.600891578196384,82.2707190543585,0.00578845436907248
6,state6,445,0.0445,26.950436771573433,15.766054371656459,0.030340480715871917,1,26.98077725228918,1349.7406098813328,1349.7406098813328,0.7136787584260913,0.0,1.200644587726868,60.06345713971937,0.0013501513918563002
7,state7,1023,0.1023,27.74881105275306,18.474793009444088,0.17343487850845987,17,27.922245931261454,1470.3558465448218,1470.3558465448218,0.0,0.0,2.8564457587680496,150.41740310153557,0.017742388071415444
8,state8,81,0.0081,10.855694418822337,6.111308801471872,1.3345401072387328,10,12.190234526061019,819.3647416992341,19273.802482220188,33.821570963407964,9.227218870260488,0.09874089966109431,6.636854407763796,0.010809774868633737
9,state9,133,0.0133,11.112346791990824,4.08297360177699,0.6978679439312915,12,11.810214735922104,653.0279932466111,10038.308208108174,23.18415292267596,4.69264010743078,0.15707585598776408,8.68527231017993,0.009281643654286176
10,state10,131,0.0131,13.726308210461157,6.256852310922807,0.7704798976768519,10,14.496788108138057,812.8620332789241,12480.790375960503,33.00330037840195,5.833964171340785,0.18990792421660857,10.648492635953907,0.010093286659566759
11,state11,139,0.0139,9.08605948138946,2.9771751310178027,0.922867412525828,16,10.00892689391528,610.194407573518,14977.572749920517,40.91403055283808,7.183689171173508,0.1391240838254224,8.481702265271899,0.01282785703410901
12,state12,117,0.0117,13.055596576578658,7.240823122271048,1.9331118843073218,24,14.988708460886045,1028.5469926957485,35070.18422811832,56.69554301098105,17.020818617711285,0.17536788899236677,12.033999814540259,0.022617409046395663
13,state13,89,0.0089,13.75716233576461,7.093098586011214,1.9339319791127307,19,15.69109431487738,1078.1552322025539,9776.58317652324,114.55694084819699,4.349213972160347,0.13965073940240866,9.59558156660273,0.017211994614103304
14,state14,188,0.0188,15.487495046615056,10.997209631944253,1.711353434843995,38,17.198848481459056,1154.5599328108487,9882.926402234401,113.73862191230226,4.364183234711769,0.32333835145143036,21.705726736843946,0.0321734445750671
15,state15,34,0.0034,1.6195362247625855,-2.882334177583935,0.8111057807924403,3,2.4306420055550575,139.06376509597678,12430.141475547203,9.271508473710014,6.145538855225502,0.008264182818887196,0.472816801326321,0.002757759654694297
16,state16,78,0.0078,1.6915829212968605,-7.475869864251136,1.2551694100413238,11,2.946752331338222,118.65406589878953,16736.85944107276,13.092858494840016,8.309102687587098,0.022984668184438128,0.9255017140105584,0.009790321398322326
17,state17,78,0.0078,2.978058008355166,-6.204643596984254,0.8264584889982525,7,3.8045164973534087,96.77279522671546,20621.13677253451,16.365232420983013,10.262181988653829,0.029675228679356586,0.7548278027683806,0.006446376214186369
18,state18,55,0.0055,2.480026666734962,-4.1785813660462034,1.2472209194698678,9,3.7272475862048693,254.9861228267712,37271.72783931315,25.63892749504802,18.508370858243165,0.020499861724126784,1.4024236755472417,0.006859715057084273
19,state19,44,0.0044,4.10182664594059,-1.9461790108181782,1.8972983436576185,9,5.999124989598312,471.7028973970815,31934.919592486203,31.54685849085695,15.731608347544581,0.026396149954232572,2.075492748547158,0.00834811271209352
20,state20,37,0.0037,2.298925315299105,-0.32530188061915516,0.6775735244139323,4,2.9764988397130803,177.11423809829205,39437.744493018356,64.45333375058298,19.630315127459994,0.011013045706938396,0.6553226809636806,0.0025070220403315495
21,state21,124,0.0124,2.5385775770592915,-1.268069601139833,1.9895233587655603,31,4.528100935824871,421.31665629125234,8737.308692153343,29.184689306981,4.157996017931049,0.0561484516042284,5.224326538011528,0.024670089648692942
22,state22,9,0.0009,0.3046942541304563,-10.857278977898964,1.5988233662304465,2,1.9035176203610087,69.74555617687899,738.4741299248627,2.186942339303073,0.33436428687424247,0.0017131658583249077,0.06277100055919109,0.0014389410296074018
23,state23,20,0.002,0.0,-15.088770302959867,2.361615491763451,6,2.3616154917635015,36.421600611313806,21064.50277279823,14.744289918767095,10.51404058609343,0.004723230983527003,0.07284320122262761,0.004723230983526902
24,state24,28,0.0028,1.5668265808860318,-9.80011163552383,1.5946519429573915,6,3.1614785238434036,67.20925954728929,19065.70444564187,13.107881389150066,9.499247593047302,0.00885213986676153,0.18818592673241,0.0044650254402806965
25,state25,24,0.0024,0.6602923000963349,-14.82231023136729,1.4546342548080833,3,2.1149265549044665,-149.24965329233797,19760.807943261138,14.160795398638015,9.955028798276777,0.00507582373177072,-0.35819916790161116,0.0034911222115394
26,state26,22,0.0022,-0.5149372744473133,-16.285730251773774,0.678404284565045,2,0.16346701011772521,-342.3964109842456,-5294.264579449619,1.7442552007196355e-05,-2.475934084232674,0.00035962742225899546,-0.7532721041653404,0.0014924894260430989
27,state27,9,0.0009,0.0,-0.5123060724595084,0.0,0,2.1474180458527472e-13,-108.70137344096737,3425.555064204464,4.507950817730034,1.7671282188226198,1.9326762412674724e-16,-0.09783123609687064,0.0
28,state28,40,0.004,0.33873920420560066,-12.041220342004735,0.06365691330850005,2,0.4023961175141707,-371.17875460274536,11186.662299262573,11.047259887741006,5.778920526932677,0.0016095844700566829,-1.4847150184109814,0.0002546276532340002
31,state31,1,0.0001,0.0,-3.7702960629126068,0.0,0,0.0,41.0766206844055,10472.700849289977,5.2158121143030485,5.215812114302906,0.0,0.00410766206844055,0.0
33,state33,1,0.0001,0.0,8.684105598930998,0.0,0,0.0,300.725855386896,17213.037221189996,8.456155682900999,8.4561556829009,0.0,0.0300725855386896,0.0
35,state35,2,0.0002,2.468072963228508,-24.176600222578706,0.0,0,2.468072963228508,-530.6520280161494,-2741.3111796507,2.602827066766622e-06,-1.1053295758173984,0.0004936145926457016,-0.10613040560322988,0.0
