path_id,terminal_state,terminal_state_k,a,loc,lf,saa_terminal_loh_target,dro_terminal_loh_target,delta_terminal_loh_target,saa_final_inventory,dro_final_inventory,delta_final_inventory,saa_terminal_gap,dro_terminal_gap,delta_terminal_gap,delta_production,delta_htt,delta_ordinary_shortage,delta_operating_cost,input_output_difference_compression_kg
2,19.0,207.0,4.0,5.0,7.0,511.414777841421,542.961636332278,31.54685849085695,432.296131703121,440.909553944889,8.613422241768035,79.1186461382995,102.052082387389,22.93343624908951,8.613422241767012,19.923682321631894,0.0,776.7456069553009,22.933436249088913
3,4.0,87.0,2.0,4.0,7.0,0.0,67.6431305846633,67.6431305846633,361.659748190202,382.998409272046,21.33866108184401,0.0,0.0,0.0,21.338661081845032,9.014056694756597,0.0,1002.975680097099,46.30446950281929
4,2.0,71.0,2.0,2.0,7.0,0.0,110.465721330482,110.465721330482,366.720027057769,408.937407220862,42.21738016309297,0.0,0.0,0.0,42.21738016309399,26.5947481620149,0.0,2055.737498059001,68.24834116738903
5,7.0,111.0,2.0,7.0,7.0,0.0,0.0,0.0,336.12244050644,373.752867500735,37.63042699429502,0.0,0.0,0.0,37.630426994294,26.907808764157497,0.0,2221.520963975401,-37.63042699429502
7,2.0,71.0,2.0,2.0,7.0,0.0,110.465721330482,110.465721330482,380.080610240543,417.569718201873,37.48910796132998,0.0,0.0,0.0,37.489107961328955,23.7445012570948,0.0,1739.7698108629993,72.97661336915202
8,19.0,207.0,4.0,5.0,7.0,511.414777841421,542.961636332278,31.54685849085695,511.598280672679,511.598280672679,0.0,3.27305457818921,32.9985934814255,29.72553890323629,0.0,-13.551316718889211,0.0,-408.27875191719795,31.54685849085695
11,5.0,95.0,2.0,5.0,7.0,0.0,30.2757519474911,30.2757519474911,329.441487908338,349.566306807588,20.124818899249988,0.0,0.0,0.0,20.124818899249988,29.4323435986066,0.0,1636.5898783847988,10.15093304824111
12,7.0,111.0,2.0,7.0,7.0,0.0,0.0,0.0,354.580912636635,382.998409272046,28.417496635411,0.0,0.0,0.0,28.41749663541202,14.5069583772977,0.0,1476.6351886484008,-28.417496635411
13,12.0,151.0,3.0,5.0,7.0,325.668930529416,382.364473540397,56.695543010981,369.931959909685,417.866488777937,47.93452886825196,4.09597167461425,19.0498171782772,14.953845503662947,47.93452886825196,21.039936593105498,0.0,1817.4559115713,8.761014142729039
15,9.0,127.0,3.0,2.0,7.0,382.129122003109,405.313274925785,23.18415292267599,408.040963340209,443.954172036276,35.913208696067045,13.2864253629649,14.8950129096148,1.6085875466499004,35.91320869606602,16.575571092009397,0.0,1561.2903514460995,-12.729055773391053
17,6.0,103.0,2.0,6.0,7.0,0.0,0.71367875842609,0.71367875842609,361.453052000918,382.998409272046,21.54535727112801,0.0,0.0,0.0,21.54535727112801,17.488758998654,0.0,1284.2646296781986,-20.83167851270192
18,11.0,143.0,3.0,4.0,7.0,355.126421733082,396.04045228592,40.91403055283803,371.823039124384,412.074375157579,40.251336033195,0.0,0.0,0.0,40.251336033194036,31.9381080337258,0.0,2295.320919751699,0.6626945196430256
