metric,scope,saa_mean,dro_mean,n,mean_delta,median_delta,q5_delta,q25_delta,q75_delta,q95_delta,min_delta,max_delta,dro_higher_count,dro_higher_share,equal_count,equal_share,dro_lower_count,dro_lower_share,direction_label,dro_improvement_or_increase_share
production_kg,all_10000,293.4030921987991,308.6737255166805,10000,15.270633317884727,10.164053832114007,0.0,0.0,29.393631913942983,43.224297377951984,-9.633103391832947,79.01864979089697,5384,0.5384,4606,0.4606,10,0.001,DRO increase share,0.5384
htt_kg,all_10000,32.00619207995522,40.769225863393515,10000,8.763033783438605,6.142503049732699,-9.348468864654702,0.0,17.1457427955172,30.088436034223804,-62.61469977597629,67.9380067162664,6296,0.6296,2173,0.2173,1531,0.1531,DRO increase share,0.6296
ordinary_shortage_kg,all_10000,12.252059739547533,12.49621458726373,10000,0.24415484771620968,0.0,0.0,0.0,0.0,0.0,-6.25515740283501,20.407745879208804,280,0.028,9718,0.9718,2,0.0002,DRO improvement share,0.0002
final_inventory_kg,all_10000,348.4430973204953,363.9578854860998,10000,15.514788165600883,11.295134625180026,0.0,0.0,29.39363191394301,43.25845957272503,-9.63310339183397,79.01864979089703,5600,0.56,4397,0.4397,3,0.0003,DRO increase share,0.56
operating_cost_yuan,all_10000,12261.041750216373,13070.197393523234,10000,809.1556433069687,773.6093792443007,-217.671159316483,0.0,1476.6351886484008,2266.7071708754793,-1944.4825149075987,5285.671758180702,6532,0.6532,2173,0.2173,1295,0.1295,DRO increase share,0.6532
reported_objective_yuan,all_10000,19418.144140139077,22600.32069106678,10000,3182.176550927905,978.7017240402502,-110.03992334117993,0.0,1643.5924308178496,21160.09357642399,-47540.907780938294,128848.902726751,6828,0.6828,2173,0.2173,999,0.0999,DRO increase share,0.6828
terminal_gap_kg,terminal_hit_6053,5.91202906816748,7.872231370844609,6053,1.9602023026771147,0.0,0.0,0.0,0.0,16.365232420981982,-23.553650181142388,64.45333375058179,811,0.133983148851809,5132,0.8478440442755658,110,0.018172806872625145,DRO improvement share,0.018172806872625145
