path_id,inventory_gain_rank,inventory_gain_percentile_from_top,gain_band,terminal_hit,terminal_state,terminal_state_k,high_gap_state_top7_flag,delta_final_inventory,delta_production,delta_htt,delta_ordinary_shortage,delta_operating_cost,saa_ordinary_shortage,dro_ordinary_shortage,saa_terminal_loh_target,dro_terminal_loh_target,delta_terminal_loh_target,saa_terminal_gap,dro_terminal_gap,delta_terminal_gap
3437,1,0.0001,top_1_percent,1,7.0,111.0,False,79.01864979089703,79.01864979089697,10.429671440025999,0.0,2899.412068332098,49.7931791629814,49.7931791629814,0.0,0.0,0.0,0.0,0.0,0.0
1015,2,0.0002,top_1_percent,1,2.0,71.0,False,76.72548296573098,76.72548296573103,21.0570187749227,0.0,2557.840917543399,49.7931791629814,49.7931791629814,0.0,110.465721330482,110.465721330482,0.0,0.0,0.0
9896,3,0.0003,top_1_percent,1,2.0,71.0,False,73.85385564146804,73.85385564146799,28.6086373742757,0.0,3016.2566149160994,49.7931791629814,49.7931791629814,0.0,110.465721330482,110.465721330482,0.0,0.0,0.0
1948,4,0.0004,top_1_percent,1,1.0,63.0,False,73.607391088253,73.607391088253,21.371191571365596,0.0,2884.115841409599,49.7931791629814,49.7931791629814,0.0,112.166696626405,112.166696626405,0.0,0.0,0.0
9037,5,0.0005,top_1_percent,1,7.0,111.0,False,73.44219429475197,73.44219429475203,18.7650607442988,0.0,2912.9160151443975,49.7931791629814,49.7931791629814,0.0,0.0,0.0,0.0,0.0,0.0
8295,6,0.0006,top_1_percent,1,6.0,103.0,False,71.72291036465703,71.72291036465799,3.3885786175929056,0.0,1861.1086039237016,56.538008369035,56.538008369035,0.0,0.71367875842609,0.71367875842609,0.0,0.0,0.0
2979,7,0.0007,top_1_percent,1,7.0,111.0,False,69.07922817946303,69.07922817946303,3.3885786175929056,0.0,1816.8698589127016,56.538008369035,56.538008369035,0.0,0.0,0.0,0.0,0.0,0.0
7408,8,0.0008,top_1_percent,1,7.0,111.0,False,67.24347093507401,67.24347093507401,-10.102653975253098,0.0,1988.188830617899,56.538008369035,56.538008369035,0.0,0.0,0.0,0.0,0.0,0.0
8895,9,0.0009,top_1_percent,1,1.0,63.0,False,66.99353866752398,66.99353866752404,-7.108079026504399,0.0,1832.364569480298,49.7931791629814,49.7931791629814,0.0,112.166696626405,112.166696626405,0.0,0.0,0.0
6760,10,0.001,top_1_percent,1,1.0,63.0,False,64.85491743774503,64.854917437744,-7.990521953868303,0.0,1719.7397268502973,56.538008369035,56.538008369035,0.0,112.166696626405,112.166696626405,0.0,0.0,0.0
7227,11,0.0011,top_1_percent,1,2.0,71.0,False,63.90107744821199,63.90107744821199,9.308853331876804,0.0,2064.895691555401,56.538008369035,56.538008369035,0.0,110.465721330482,110.465721330482,0.0,0.0,0.0
2383,12,0.0012,top_1_percent,1,7.0,111.0,False,63.378306358292946,63.378306358293,2.4653236111198,0.0,1616.7168456364998,56.538008369035,56.538008369035,0.0,0.0,0.0,0.0,0.0,0.0
2698,13,0.0013,top_1_percent,1,14.0,167.0,False,63.17426178608099,63.17426178608201,9.308853331876804,0.0,2049.074121451402,56.538008369035,56.538008369035,185.745847312004,299.484469224306,113.738621912302,0.0,0.0,0.0
9020,14,0.0014,top_1_percent,1,12.0,151.0,False,62.880168848013,62.880168848013,29.959201966259702,0.0,2783.554206561599,49.7931791629814,49.7931791629814,325.668930529416,382.364473540397,56.695543010981,0.0,2.95258187803694,2.95258187803694
5903,15,0.0015,top_1_percent,1,6.0,103.0,False,60.184153935399024,60.18415393539897,-8.080860413451703,0.0,773.6407047993016,22.2686838686158,22.2686838686158,0.0,0.71367875842609,0.71367875842609,0.0,0.0,0.0
6559,16,0.0016,top_1_percent,0,,,False,60.184153935399024,60.18415393539897,-8.080860413451703,0.0,799.6339096779993,22.2686838686158,22.2686838686158,,,,,,
4713,17,0.0017,top_1_percent,1,7.0,111.0,False,60.088122315431974,60.08812231543101,-5.169101609526699,0.0,1901.9248238065993,56.538008369035,56.538008369035,0.0,0.0,0.0,0.0,0.0,0.0
82,18,0.0018,top_1_percent,1,6.0,103.0,False,59.396444680881984,59.39644468088102,26.307034188949398,0.0,2329.6971244857996,0.0,0.0,0.0,0.71367875842609,0.71367875842609,0.0,0.0,0.0
148,19,0.0019,top_1_percent,1,7.0,111.0,False,59.396444680881984,59.39644468088102,26.106422253066295,0.0,2018.5277676552996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,20,0.002,top_1_percent,1,6.0,103.0,False,59.396444680881984,59.39644468088102,26.106422253066295,0.0,2018.5277676552996,0.0,0.0,0.0,0.71367875842609,0.71367875842609,0.0,0.0,0.0
566,21,0.0021,top_1_percent,1,3.0,79.0,False,59.396444680881984,59.39644468088102,26.307034188949398,0.0,2329.6971244857996,0.0,0.0,0.0,79.4853371037635,79.4853371037635,0.0,0.0,0.0
796,22,0.0022,top_1_percent,1,5.0,95.0,False,59.396444680881984,59.39644468088102,26.106422253066295,0.0,2018.5277676552996,0.0,0.0,0.0,30.2757519474911,30.2757519474911,0.0,0.0,0.0
1113,23,0.0023,top_1_percent,0,,,False,59.396444680881984,59.39644468088102,26.307034188949398,0.0,2329.6971244857996,0.0,0.0,,,,,,
1289,24,0.0024,top_1_percent,1,7.0,111.0,False,59.396444680881984,59.39644468088102,26.307034188949398,0.0,2329.6971244857996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1588,25,0.0025,top_1_percent,1,5.0,95.0,False,59.396444680881984,59.39644468088102,26.106422253066295,0.0,2018.5277676552996,0.0,0.0,0.0,30.2757519474911,30.2757519474911,0.0,0.0,0.0
1743,26,0.0026,top_1_percent,1,3.0,79.0,False,59.396444680881984,59.39644468088102,26.307034188949398,0.0,2329.6971244857996,0.0,0.0,0.0,79.4853371037635,79.4853371037635,0.0,0.0,0.0
