stage,active_path_count,active_path_fraction,mean_production_kg,mean_begin_inventory_kg,mean_end_inventory_kg,mean_shortage_kg,mean_HTT_kg
1,10000,1,113.88,166.638409272,241.507481134,0,0
2,8922,0.8922,8.71748712959,241.507481134,190.731962333,0,0.498137943216
3,7905,0.7905,28.4346031256,191.729924398,175.155791549,0.487329957157,2.51781735562
4,5854,0.5854,71.9998733306,178.475319922,212.919930708,1.45566559296,5.27865098985
5,2581,0.2581,27.8154352114,230.08066874,200.927725178,2.52462715791,5.67268698711
6,474,0.0474,41.4536904032,217.467405897,215.864216672,2.43918630345,9.21702604753
