metric,scope,N,mean,median,q25,q75,q95,q99,std,ci95_low,ci95_high
total_H2_production,all_10000_paths,10000,195.428090389,177.723772619,122.655,226.058944228,449.049524916,587.494067206,99.709954092,193.473775288,197.382405489
actual_operating_cost,all_10000_paths,10000,56192.3696759,58228.7647362,49613.7064926,77299.8426255,98829.1622353,110053.971647,24188.9090894,55718.2670578,56666.4722941
total_HTT,all_10000_paths,10000,7.42590312804,0,0,2.4025212153,51.1966140479,97.1962046481,19.8485422984,7.036871699,7.81493455709
