global_hour,site,active_path_count,mean_production_kg,mean_inventory_kg,mean_shortage_kg,mean_HTT_in_kg,mean_HTT_out_kg
1,1,10000,5.85,62.9636159481,0,0,0
1,2,10000,3.9,53.8975789324,0,0,0
1,3,10000,2.34,27.4039088452,0,0,0
1,4,10000,2.925,35.4271137856,0,0,0
2,1,10000,5.85,68.3481453996,0,0,0
2,2,10000,3.9,57.4870199262,0,0,0
2,3,10000,2.34,29.347459651,0,0,0
2,4,10000,2.925,38.0913802552,0,0,0
3,1,10000,5.85,73.7326748512,0,0,0
3,2,10000,3.9,61.07646092,0,0,0
3,3,10000,2.34,31.489235054,0,0,0
3,4,10000,2.925,40.7556467249,0,0,0
4,1,10000,5.85,79.1172043028,0,0,0
4,2,10000,3.9,64.3553429076,0,0,0
4,3,10000,2.34,33.6310104569,0,0,0
4,4,10000,2.925,43.4199131946,0,0,0
5,1,10000,5.85,84.036263206,0,0,0
5,2,10000,3.9,67.0131068827,0,0,0
5,3,10000,2.34,35.7727858598,0,0,0
5,4,10000,2.925,45.8234461339,0,0,0
6,1,10000,5.85,88.0243810124,0,0,0
6,2,10000,3.9,67.8820509821,0,0,0
6,3,10000,2.34,37.7163366656,0,0,0
6,4,10000,2.925,47.7055120126,0,0,0
7,1,10000,5.85,89.5548143231,0,0,0
7,2,10000,3.9,67.9932311063,0,0,0
7,3,10000,2.34,39.2634382773,0,0,0
7,4,10000,2.925,48.5446437699,0,0,0
8,1,10000,5.85,90.0053559616,0,0,0
8,2,10000,0,64.9621752057,0,0,0
8,3,10000,0,37.6776415006,0,0,0
8,4,10000,2.925,48.8623084666,0,0,0
9,1,8922,0.484649200875,86.3164670223,0,0.14602854904,0
9,2,8922,0.257464694015,63.58093521,0,0,0.0859096587108
9,3,8922,0.154478816409,36.0672698917,0,0,0.0601188903294
9,4,8922,0.882220914593,47.6586611386,0,0,0
10,1,8922,0.386197041022,84.3753113213,0,0,0
10,2,8922,0.257464694015,62.5961638791,0,0,0
10,3,8922,0.154478816409,34.8579634802,0,0,0
10,4,8922,0.193098520511,46.5480920074,0,0,0
11,1,8922,0.386197041022,83.0047444668,0,0.105118298175,0
11,2,8922,0.257464694015,61.6113925483,0,0,0
11,3,8922,0.154478816409,34.0549582309,0,0,0.105118298175
11,4,8922,0.193098520511,45.6982564066,0,0,0
12,1,8922,0.386197041022,81.5377913471,0,0.00873203291301,0
12,2,8922,0.257464694015,60.4713417144,0,0,0
12,3,8922,0.154478816409,33.4078066261,0,0,0.00873203291301
12,4,8922,0.193098520511,44.6606926639,0,0,0
13,1,8922,0.386197041022,79.7237264882,0,0.127090842134,0
13,2,8922,0.257464694015,59.0517877748,0,0,0
13,3,8922,0.154478816409,32.642296212,0,0,0.127090842134
13,4,8922,0.193098520511,43.3154633555,0,0,0
14,1,8922,0.386197041022,77.3949582495,0,0.0778580107135,0
14,2,8922,0.257464694015,57.2750239045,0,0,0.0777068252154
14,3,8922,0.154478816409,31.8055008575,0,0,0.000151185498158
14,4,8922,0.193098520511,41.6625684812,0,0,0
15,1,8922,0.386197041022,74.534699823,0,0.011838371338,0
15,2,8922,0.257464694015,55.036759129,0,0,0.0112574198324
15,3,8922,0.154478816409,30.7700511398,0,0,0.000580951505596
15,4,8922,0.193098520511,39.7020080412,0,0,0
16,1,8922,0.386197041022,71.2186043157,0,0.0214718389032,0
16,2,8922,0.257464694015,52.1886337609,0,0,0
16,3,8922,0.154478816409,29.5154859377,0,0,0.0214718389032
16,4,8922,0.193098520511,37.8092383191,0,0,0
17,1,7905,0.804517470443,68.4492774525,0.0643186479319,1.02408613903,0.0688605494724
17,2,7905,0.481024667932,49.3741999913,0.0240432779002,0.0458958432288,0.815385477849
17,3,7905,0.285197418785,27.84819751,0.0136412625952,0.308199178478,0.809185063189
17,4,7905,0.361878557875,36.1023160383,0.024690349216,0.348061514442,0.032811584665
18,1,7905,0.72375711575,64.7322952104,0.0614385402135,0.0384625378069,0.0162667053224
18,2,7905,0.480531309298,47.9802997602,0.0160288519335,0.00393271758087,0.0310390726197
18,3,7905,0.268189753321,25.6698328277,0.021314472805,0.00993855517954,0
18,4,7905,0.361878557875,34.1359733091,0.0234085185985,0.00616511074242,0.0111931433677
19,1,7905,0.716356736243,62.4906131819,0.0405527633543,0.0216676000475,0.00400997445026
19,2,7905,0.455863377609,47.1944420531,0.010685901289,0,0.0101709611024
19,3,7905,0.254189736197,23.703448163,0.0191830255245,0.0119368907789,0.0216676000475
19,4,7905,0.360722555856,32.9503707448,0.0158320170221,0.00224404477383,0
20,1,7905,0.714136622391,61.3998674193,0.0254374796853,0.0449331409156,0.0133708118985
20,2,7905,0.432356964002,46.7503459463,0.00801442596674,0.0619203736928,0.0147108519051
20,3,7905,0.116747725817,22.2606761021,0.012788683683,2.63013489466e-05,0.0856502936077
20,4,7905,0.352258064516,32.3803394518,0.00949921021323,0.0237910485305,0.0169389070766
21,1,7905,0.714676586699,60.7353719978,0.019078109764,0,0.00183847280503
21,2,7905,0.434627683949,46.568446837,0.00534295064449,0,0.000751731382843
21,3,7905,0.0572287231016,21.337897833,0.00852578912202,0.00259020418787,0
21,4,7905,0.355313410295,32.0387967378,0.00712440765993,0,0
22,1,7905,0.71933169389,60.5700629906,0.0127187398427,0.0358276835511,0.00224602764578
22,2,7905,0.477482037487,46.7111083672,0.00267147532225,0,0.0269329764872
22,3,7905,0.122008969156,20.8367668285,0.00511547347321,0.00224602764578,0.0358276835511
22,4,7905,0.361828480355,31.9629874452,0.00474960510662,0.0269329764872,0
23,1,7905,3.10352799162,63.2827197853,0.00635936992134,0.0967324345182,0.0284924529422
23,2,7905,0.480832055261,46.8314808205,0.00267147532225,0.00918789228947,0.06175996331
23,3,7905,0.164396048399,20.5805995226,0.00341031564881,0.0122675547147,0.0397920305081
23,4,7905,1.77720113852,33.4939502881,0.00263866950368,0.011856565238,0
24,1,7905,5.46146265859,68.4488638473,0.00635936992134,0.195660384532,0.0318678026612
24,2,7905,2.39147597955,48.4295408657,0.00534295064449,0.0212168124266,0.198857684961
24,3,7905,1.90369593046,22.1913066353,0.0017051578244,0.0417201543398,0.138189532796
24,4,7905,2.73990710432,36.0860802007,0.00263866950368,0.11031766912,0
25,1,5854,5.35350276012,75.2927581014,0.0478669747424,1.50771487066,0.132688135969
25,2,5854,1.78909512002,49.9807970733,0.00801066107583,0.178801930713,1.73984640889
25,3,5854,1.66193061886,22.4474280035,0.00494376343948,0.139919204552,1.61651484784
25,4,5854,2.68866159891,40.3720985332,0.024942052782,1.68408840484,0.0214750180725
26,1,5854,5.3383274866,80.2065995121,0.0218169733901,0.0431133229075,0.0239458238021
26,2,5854,1.78154748786,51.4183113915,0.00811676254703,0.00703435136306,0.0486252773216
26,3,5854,1.84066328601,23.8538699374,0.00979453404005,0.00646321535337,0.0540299073518
26,4,5854,2.72409130747,42.9184066166,0.0129601874146,0.0699901188516,0
27,1,5854,5.34679626756,85.1579548531,0.0230004475968,0.0627429274189,0.0157137531872
27,2,5854,1.81430704711,52.8897563214,0.00808912548854,0.000182771737386,0.0405750082613
27,3,5854,1.70454162132,25.2854285675,0.00504534761974,0.0134259801087,0.0932297217777
27,4,5854,2.68733034218,45.4311311919,0.0129609595707,0.0731668039613,0
28,1,5854,5.34684270682,90.1320986119,0.0229793284062,0.100350359962,0.0305580879247
28,2,5854,1.87701572946,54.1440315623,0.0156770094142,0.00278865292958,0.0200881384471
28,3,5854,1.547933827,26.4955402075,0.00502186619225,0.0033617137853,0.147981169909
28,4,5854,2.68762208154,47.9630672389,0.0129208261784,0.0921266696037,0
29,1,5854,4.75605734835,94.0170586131,0.048361507,0.0194578395576,0.00797559686689
29,2,5854,1.14014599445,54.0009703535,0.0301043029833,0.0015070347604,0.0725825162047
29,3,5854,1.01184953876,27.3289287713,0.00504534761974,0.033666002534,0.0189477280865
29,4,5854,2.60913603657,50.1208975389,0.0252863597811,0.044874964306,0
30,1,5854,3.6160305076,96.1103193162,0.0975721991719,0.304911835735,0.0633716458204
30,2,5854,0.712466049095,51.7288412377,0.074329661843,0.0124899588076,0.0403588848967
30,3,5854,0.729607213402,27.3807297474,0.00996644664595,0.0239141587288,0.315237648489
30,4,5854,2.23300230602,51.4380519845,0.0494340349404,0.0793186916081,0.00166646567326
31,1,5854,2.70684207356,94.7970932827,0.218980589347,0.0886339437936,0.00811595092463
31,2,5854,0.709230218228,48.6893458919,0.0888011175418,0.0180465092543,0.0667533150261
31,3,5854,0.414913647028,26.9246679023,0.0189933998648,0.00652793351259,0.103598437156
31,4,5854,1.72808226301,51.24023449,0.0947091686067,0.0662436840178,0.000984367471023
32,1,5854,1.49269967937,91.2443020048,0.234118028717,0.190840364817,0.0709909893033
32,2,5854,0.68752989409,46.0744551882,0.0724576076103,0.0134694948864,0.357291799737
32,3,5854,0.392841757996,25.8246505314,0.0376222258075,0.218114684425,0.162799262453
32,4,5854,0.869229514198,49.7765229838,0.105736775584,0.171362590357,0.00270508299266
33,1,2581,2.13560790933,97.1072914065,0.196233759857,1.34926555178,0.330224553813
33,2,2581,0.877797102563,49.0874640987,0.0547479069454,0.261482256451,2.17411686551
33,3,2581,0.590824798337,26.5102579154,0.0589844421073,0.942362418564,0.864609685748
33,4,2581,1.16114948717,52.8765703837,0.0885311563654,0.978977145829,0.163136267554
34,1,2581,1.38589323058,96.36917614,0.115367778272,0.108593228854,0.0206167621981
34,2,2581,0.837117396358,48.6306067546,0.0453191767748,0.00379282581096,0.100850718225
34,3,2581,0.504075040445,25.677990075,0.0492478232524,0.0314513874553,0.0532568635914
34,4,2581,0.75947339163,52.4241422108,0.0608791852664,0.054154945126,0.0232680432317
35,1,2581,1.29600382524,95.9420473077,0.0929584995275,0.0876847385933,0.0418937019501
35,2,2581,0.832584269663,48.1217626137,0.0456167121566,0.00958537607553,0.154394473871
35,3,2581,0.475335018055,25.3869504245,0.0302091177676,0.113727968909,0.0579459878244
35,4,2581,0.652708188804,52.1263032187,0.0491508603557,0.0631908178018,0.0199547377344
36,1,2581,1.26124326439,95.4430847067,0.093436575925,0.0561653076113,0.0479255552771
36,2,2581,0.802003148954,47.4115865362,0.0513701516579,0.0122192320798,0.178253082324
36,3,2581,0.458179404651,25.1819739158,0.0286546145331,0.14495756567,0.0438697052205
36,4,2581,0.596798834624,51.6065709469,0.0574249193002,0.0662045349117,0.00949829745204
37,1,2581,1.23962803714,94.4858789669,0.116715611086,0.0616355972794,0.0478322433146
37,2,2581,0.776049499345,46.5289351259,0.0594659875467,0.00848197480444,0.0496302383688
37,3,2581,0.450329213728,24.8298118691,0.0291899370012,0.0199853456401,0.0587681546463
