group,metric,base,b0001,delta_b0001_minus_base,base_n,b0001_n
all,mean_K_req_kg,0.521536581069,0.819673916676,0.298137335607,10000,10000
all,q95_K_req_kg,0,0,0,10000,10000
all,q99_K_req_kg,19.1835129161,24.8843139488,5.70080103277,10000,10000
all,max_K_req_kg,71.5722110211,133.417745143,61.8455341214,10000,10000
all,count_K_req_gt80_kg,0,17,17,10000,10000
all,count_K_req_gt160_kg,0,0,0,10000,10000
all,coverage_K_req_le160_rate,1,1,0,10000,10000
positive_target,mean_K_req_kg,4.64413696411,7.29896631056,2.65482934646,1123,1123
positive_target,q95_K_req_kg,29.2014173209,43.0509294478,13.8495121269,1123,1123
positive_target,q99_K_req_kg,52.2810936455,83.5168088353,31.2357151897,1123,1123
positive_target,max_K_req_kg,71.5722110211,133.417745143,61.8455341214,1123,1123
positive_target,count_K_req_gt80_kg,0,17,17,1123,1123
positive_target,count_K_req_gt160_kg,0,0,0,1123,1123
positive_target,coverage_K_req_le160_rate,1,1,0,1123,1123
sitewise_failure,mean_K_req_kg,11.026143363,16.1036132942,5.07746993125,473,509
sitewise_failure,q95_K_req_kg,39.9038012572,69.157080178,29.2532789208,473,509
sitewise_failure,q99_K_req_kg,57.583836351,102.955474217,45.3716378663,473,509
sitewise_failure,max_K_req_kg,71.5722110211,133.417745143,61.8455341214,473,509
sitewise_failure,count_K_req_gt80_kg,0,17,17,473,509
sitewise_failure,count_K_req_gt160_kg,0,0,0,473,509
sitewise_failure,coverage_K_req_le160_rate,1,1,0,473,509
PURE_LOCATION,mean_K_req_kg,14.4028348256,21.4066523867,7.0038175611,203,237
PURE_LOCATION,q95_K_req_kg,48.2330776968,82.5417697689,34.3086920721,203,237
PURE_LOCATION,q99_K_req_kg,54.8322920745,128.781820785,73.9495287102,203,237
PURE_LOCATION,max_K_req_kg,60.6412843767,133.417745143,72.7764607658,203,237
PURE_LOCATION,count_K_req_gt80_kg,0,14,14,203,237
PURE_LOCATION,count_K_req_gt160_kg,0,0,0,203,237
PURE_LOCATION,coverage_K_req_le160_rate,1,1,0,203,237
PURE_QUANTITY,mean_K_req_kg,3.16432379358e-14,1.69782316861e-14,-1.46650062497e-14,118,95
PURE_QUANTITY,q95_K_req_kg,8.52651282912e-14,8.73967564985e-14,2.13162820728e-15,118,95
PURE_QUANTITY,q99_K_req_kg,1.12478915071e-13,1.00328634289e-13,-1.21502807815e-14,118,95
PURE_QUANTITY,max_K_req_kg,1.80477854883e-12,1.13686837722e-13,-1.69109171111e-12,118,95
PURE_QUANTITY,count_K_req_gt80_kg,0,0,0,118,95
PURE_QUANTITY,count_K_req_gt160_kg,0,0,0,118,95
PURE_QUANTITY,coverage_K_req_le160_rate,1,1,0,118,95
MIXED,mean_K_req_kg,15.076252244,17.646116108,2.56986386396,152,177
MIXED,q95_K_req_kg,41.3017326292,55.943750811,14.6420181818,152,177
MIXED,q99_K_req_kg,67.9488305641,82.8416610038,14.8928304397,152,177
MIXED,max_K_req_kg,71.5722110211,83.5168088353,11.9445978142,152,177
MIXED,count_K_req_gt80_kg,0,3,3,152,177
MIXED,count_K_req_gt160_kg,0,0,0,152,177
MIXED,coverage_K_req_le160_rate,1,1,0,152,177
difficult4,mean_K_req_kg,16.8600730504,22.2911523919,5.43107934145,245,245
difficult4,q95_K_req_kg,50.5910021559,76.8426288468,26.2516266908,245,245
difficult4,q99_K_req_kg,64.7937306841,124.106211022,59.3124803378,245,245
difficult4,max_K_req_kg,71.5722110211,133.417745143,61.8455341214,245,245
difficult4,count_K_req_gt80_kg,0,11,11,245,245
difficult4,count_K_req_gt160_kg,0,0,0,245,245
difficult4,coverage_K_req_le160_rate,1,1,0,245,245
extreme1,mean_K_req_kg,1.58490182094,2.20341738474,0.618515563807,62,62
extreme1,q95_K_req_kg,7.02152177511,17.6379642966,10.6164425215,62,62
extreme1,q99_K_req_kg,28.0652316844,22.3505219729,-5.71470971151,62,62
extreme1,max_K_req_kg,31.4554133478,23.1107071201,-8.34470622777,62,62
extreme1,count_K_req_gt80_kg,0,0,0,62,62
extreme1,count_K_req_gt160_kg,0,0,0,62,62
extreme1,coverage_K_req_le160_rate,1,1,0,62,62
