policy,group,capacity_label,capacity_kg,n_paths,mean_k_req_kg,mean_rebalanced_kg,mean_remaining_site_gap_kg,mean_remaining_terminal_penalty_yuan,total_remaining_terminal_penalty_yuan,capacity_binding_path_count,capacity_binding_rate,additional_rebalanced_vs_previous_kg_per_path,additional_penalty_reduction_vs_previous_yuan_per_path,remaining_site_gap_q95_kg
Base,all,40,40,10000,0.521536581069,0.491504181194,1.66732397195,1667.32397195,16673239.7195,24,0.0024,,,0
Base,all,80,80,10000,0.521536581069,0.521536581069,1.63729157208,1637.29157208,16372915.7208,0,0,0.0300323998747,30.0323998747,0
Base,all,160,160,10000,0.521536581069,0.521536581069,1.63729157208,1637.29157208,16372915.7208,0,0,0,0,0
Base,all,inf,,10000,0.521536581069,0.521536581069,1.63729157208,1637.29157208,16372915.7208,0,0,0,0,0
Base,positive_target,40,40,1123,4.64413696411,4.37670686727,14.8470522881,14847.0522881,16673239.7195,24,0.0213713268032,,,101.112264945
Base,positive_target,80,80,1123,4.64413696411,4.64413696411,14.5796221912,14579.6221912,16372915.7208,0,0,0.267430096836,267.430096836,101.112264945
Base,positive_target,160,160,1123,4.64413696411,4.64413696411,14.5796221912,14579.6221912,16372915.7208,0,0,0,0,101.112264945
Base,positive_target,inf,,1123,4.64413696411,4.64413696411,14.5796221912,14579.6221912,16372915.7208,0,0,0,0,101.112264945
Base,sitewise_failure,40,40,473,11.026143363,10.3912089047,35.2499782653,35249.9782653,16673239.7195,24,0.0507399577167,,,142.689529453
Base,sitewise_failure,80,80,473,11.026143363,11.026143363,34.6150438071,34615.0438071,16372915.7208,0,0,0.634934458239,634.934458239,142.689529453
Base,sitewise_failure,160,160,473,11.026143363,11.026143363,34.6150438071,34615.0438071,16372915.7208,0,0,0,0,142.689529453
Base,sitewise_failure,inf,,473,11.026143363,11.026143363,34.6150438071,34615.0438071,16372915.7208,0,0,0,0,142.689529453
Base,PURE_LOCATION,40,40,203,14.4028348256,13.6231465763,0.779688249342,779.688249342,158276.714616,16,0.0788177339901,,,8.23307769679
Base,PURE_LOCATION,80,80,203,14.4028348256,14.4028348256,0,0,0,0,0,0.779688249342,779.688249342,0
Base,PURE_LOCATION,160,160,203,14.4028348256,14.4028348256,0,0,0,0,0,0,0,0
Base,PURE_LOCATION,inf,,203,14.4028348256,14.4028348256,0,0,0,0,0,0,0,0
Base,PURE_QUANTITY,40,40,118,3.16432379358e-14,3.16432379358e-14,88.9719315728,88971.9315728,10498687.9256,0,0,,,173.141184491
Base,PURE_QUANTITY,80,80,118,3.16432379358e-14,3.16432379358e-14,88.9719315728,88971.9315728,10498687.9256,0,0,0,0,173.141184491
Base,PURE_QUANTITY,160,160,118,3.16432379358e-14,3.16432379358e-14,88.9719315728,88971.9315728,10498687.9256,0,0,0,0,173.141184491
Base,PURE_QUANTITY,inf,,118,3.16432379358e-14,3.16432379358e-14,88.9719315728,88971.9315728,10498687.9256,0,0,0,0,173.141184491
Base,MIXED,40,40,152,15.076252244,14.1417306379,39.5807571006,39580.7571006,6016275.07929,8,0.0526315789474,,,97.4009632158
Base,MIXED,80,80,152,15.076252244,15.076252244,38.6462354945,38646.2354945,5874227.79516,0,0,0.934521606123,934.521606123,97.4009632158
Base,MIXED,160,160,152,15.076252244,15.076252244,38.6462354945,38646.2354945,5874227.79516,0,0,0,0,97.4009632158
Base,MIXED,inf,,152,15.076252244,15.076252244,38.6462354945,38646.2354945,5874227.79516,0,0,0,0,97.4009632158
Base,difficult4,40,40,245,16.8600730504,15.6342608106,32.2063180301,32206.3180301,7890547.91736,24,0.0979591836735,,,87.4182503594
Base,difficult4,80,80,245,16.8600730504,16.8600730504,30.9805057903,30980.5057903,7590223.91862,0,0,1.22581223978,1225.81223978,87.4182503594
Base,difficult4,160,160,245,16.8600730504,16.8600730504,30.9805057903,30980.5057903,7590223.91862,0,0,0,0,87.4182503594
Base,difficult4,inf,,245,16.8600730504,16.8600730504,30.9805057903,30980.5057903,7590223.91862,0,0,0,0,87.4182503594
Base,extreme1,40,40,62,1.58490182094,1.58490182094,138.135109157,138135.109157,8564376.76774,0,0,,,191.072795631
Base,extreme1,80,80,62,1.58490182094,1.58490182094,138.135109157,138135.109157,8564376.76774,0,0,0,0,191.072795631
Base,extreme1,160,160,62,1.58490182094,1.58490182094,138.135109157,138135.109157,8564376.76774,0,0,0,0,191.072795631
Base,extreme1,inf,,62,1.58490182094,1.58490182094,138.135109157,138135.109157,8564376.76774,0,0,0,0,191.072795631
B0001,all,40,40,10000,0.819673916676,0.640420242358,1.70022886955,1700.22886955,17002288.6955,61,0.0061,,,0
B0001,all,80,80,10000,0.819673916676,0.786699695593,1.55394941632,1553.94941632,15539494.1632,17,0.0017,0.146279453236,146.279453236,0
B0001,all,160,160,10000,0.819673916676,0.819673916676,1.52097519524,1520.97519524,15209751.9524,0,0,0.0329742210831,32.9742210831,0
B0001,all,inf,,10000,0.819673916676,0.819673916676,1.52097519524,1520.97519524,15209751.9524,0,0,0,0,0
B0001,positive_target,40,40,1123,7.29896631056,5.70276262117,15.1400611714,15140.0611714,17002288.6955,61,0.0543187889581,,,96.0473777054
B0001,positive_target,80,80,1123,7.29896631056,7.00534012104,13.8374836716,13837.4836716,15539494.1632,17,0.0151380231523,1.30257749987,1302.57749987,96.0473777054
B0001,positive_target,160,160,1123,7.29896631056,7.29896631056,13.5438574821,13543.8574821,15209751.9524,0,0,0.29362618952,293.62618952,96.0473777054
B0001,positive_target,inf,,1123,7.29896631056,7.29896631056,13.5438574821,13543.8574821,15209751.9524,0,0,0,0,96.0473777054
B0001,sitewise_failure,40,40,509,16.1036132942,12.5819301053,33.403317673,33403.317673,17002288.6955,61,0.119842829077,,,137.884563338
B0001,sitewise_failure,80,80,509,16.1036132942,15.4557896973,30.5294580809,30529.4580809,15539494.1632,17,0.0333988212181,2.87385959205,2873.85959205,137.884563338
B0001,sitewise_failure,160,160,509,16.1036132942,16.1036132942,29.881634484,29881.634484,15209751.9524,0,0,0.647823596918,647.823596918,137.884563338
B0001,sitewise_failure,inf,,509,16.1036132942,16.1036132942,29.881634484,29881.634484,15209751.9524,0,0,0,0,137.884563338
B0001,PURE_LOCATION,40,40,237,21.4066523867,15.3183145699,6.08833781686,6088.33781686,1442936.0626,41,0.172995780591,,,42.5417697689
B0001,PURE_LOCATION,80,80,237,21.4066523867,20.0561032866,1.35054910015,1350.54910015,320080.136735,14,0.0590717299578,4.73778871672,4737.78871672,2.5417697689
B0001,PURE_LOCATION,160,160,237,21.4066523867,21.4066523867,0,0,0,0,0,1.35054910015,1350.54910015,0
B0001,PURE_LOCATION,inf,,237,21.4066523867,21.4066523867,0,0,0,0,0,0,0,0
B0001,PURE_QUANTITY,40,40,95,1.69782316861e-14,1.69782316861e-14,85.9232150617,85923.2150617,8162705.43086,0,0,,,166.112786953
B0001,PURE_QUANTITY,80,80,95,1.69782316861e-14,1.69782316861e-14,85.9232150617,85923.2150617,8162705.43086,0,0,0,0,166.112786953
B0001,PURE_QUANTITY,160,160,95,1.69782316861e-14,1.69782316861e-14,85.9232150617,85923.2150617,8162705.43086,0,0,0,0,166.112786953
B0001,PURE_QUANTITY,inf,,95,1.69782316861e-14,1.69782316861e-14,85.9232150617,85923.2150617,8162705.43086,0,0,0,0,166.112786953
B0001,MIXED,40,40,177,17.646116108,15.6709710199,41.7889672434,41788.9672434,7396647.20208,20,0.112994350282,,,115.123223614
B0001,MIXED,80,80,177,17.646116108,17.5915281187,39.8684101445,39868.4101445,7056708.59558,3,0.0169491525424,1.92055709884,1920.55709884,115.123223614
B0001,MIXED,160,160,177,17.646116108,17.646116108,39.8138221553,39813.8221553,7047046.52149,0,0,0.054587989243,54.587989243,115.123223614
B0001,MIXED,inf,,177,17.646116108,17.646116108,39.8138221553,39813.8221553,7047046.52149,0,0,0,0,115.123223614
B0001,difficult4,40,40,245,22.2911523919,16.9459525833,33.4582205276,33458.2205276,8197264.02926,46,0.187755102041,,,81.4112903379
B0001,difficult4,80,80,245,22.2911523919,21.3418426243,29.0623304865,29062.3304865,7120270.9692,11,0.0448979591837,4.39589004108,4395.89004108,80.4348814266
B0001,difficult4,160,160,245,22.2911523919,22.2911523919,28.113020719,28113.020719,6887690.07615,0,0,0.94930976752,949.30976752,80.4348814266
B0001,difficult4,inf,,245,22.2911523919,22.2911523919,28.113020719,28113.020719,6887690.07615,0,0,0,0,80.4348814266
B0001,extreme1,40,40,62,2.20341738474,2.20341738474,130.212059001,130212.059001,8073147.65808,0,0,,,183.900198812
B0001,extreme1,80,80,62,2.20341738474,2.20341738474,130.212059001,130212.059001,8073147.65808,0,0,0,0,183.900198812
B0001,extreme1,160,160,62,2.20341738474,2.20341738474,130.212059001,130212.059001,8073147.65808,0,0,0,0,183.900198812
B0001,extreme1,inf,,62,2.20341738474,2.20341738474,130.212059001,130212.059001,8073147.65808,0,0,0,0,183.900198812
