policy,group,n_paths,median_kg,q75_kg,q90_kg,q95_kg,q99_kg,mean_kg,max_kg,count_gt20_kg,rate_gt20_kg,count_gt40_kg,rate_gt40_kg,count_gt80_kg,rate_gt80_kg,count_gt120_kg,rate_gt120_kg,count_gt160_kg,rate_gt160_kg,count_le160_kg,coverage160_rate
Base,all,10000,0,0,0,0,19.1835129161,0.521536581069,71.5722110211,93,0.0093,24,0.0024,0,0,0,0,0,0,10000,1
Base,positive_target,1123,0,2.47387254836,16.7428239151,29.2014173209,52.2810936455,4.64413696411,71.5722110211,93,0.0828138913624,24,0.0213713268032,0,0,0,0,0,0,1123,1
Base,sitewise_failure,473,5.51726025871,15.8505697536,31.1827067321,39.9038012572,57.583836351,11.026143363,71.5722110211,93,0.196617336152,24,0.0507399577167,0,0,0,0,0,0,473,1
Base,PURE_LOCATION,203,10.4544590985,20.4311154696,37.3953966509,48.2330776968,54.8322920745,14.4028348256,60.6412843767,53,0.261083743842,16,0.0788177339901,0,0,0,0,0,0,203,1
Base,PURE_QUANTITY,118,0,2.48689957516e-14,7.1054273576e-14,8.52651282912e-14,1.12478915071e-13,3.16432379358e-14,1.80477854883e-12,0,0,0,0,0,0,0,0,0,0,118,1
Base,MIXED,152,10.6272705014,21.9470751714,32.5700272159,41.3017326292,67.9488305641,15.076252244,71.5722110211,40,0.263157894737,8,0.0526315789474,0,0,0,0,0,0,152,1
Base,difficult4,245,12.6507560043,26.8452842743,39.1421561156,50.5910021559,64.7937306841,16.8600730504,71.5722110211,91,0.371428571429,24,0.0979591836735,0,0,0,0,0,0,245,1
Base,extreme1,62,7.1054273576e-15,6.75015598972e-14,4.04203842898,7.02152177511,28.0652316844,1.58490182094,31.4554133478,2,0.0322580645161,0,0,0,0,0,0,0,0,62,1
B0001,all,10000,0,0,0,0,24.8843139488,0.819673916676,133.417745143,129,0.0129,61,0.0061,17,0.0017,4,0.0004,0,0,10000,1
B0001,positive_target,1123,0,5.62399661353,22.4332876451,43.0509294478,83.5168088353,7.29896631056,133.417745143,129,0.114870881567,61,0.0543187889581,17,0.0151380231523,4,0.00356188780053,0,0,1123,1
B0001,sitewise_failure,509,7.33035800512,20.3174234978,48.5369078656,69.157080178,102.955474217,16.1036132942,133.417745143,129,0.253438113949,61,0.119842829077,17,0.0333988212181,4,0.00785854616896,0,0,509,1
B0001,PURE_LOCATION,237,11.4991990752,24.8558551449,64.2653739518,82.5417697689,128.781820785,21.4066523867,133.417745143,76,0.320675105485,41,0.172995780591,14,0.0590717299578,4,0.0168776371308,0,0,237,1
B0001,PURE_QUANTITY,95,0,2.84217094304e-14,6.53699316899e-14,8.73967564985e-14,1.00328634289e-13,1.69782316861e-14,1.13686837722e-13,0,0,0,0,0,0,0,0,0,0,95,1
B0001,MIXED,177,12.7358919702,23.7568109595,41.6108514416,55.943750811,82.8416610038,17.646116108,83.5168088353,53,0.299435028249,20,0.112994350282,3,0.0169491525424,0,0,0,0,177,1
B0001,difficult4,245,14.2934253342,30.1808858056,60.6891901496,76.8426288468,124.106211022,22.2911523919,133.417745143,86,0.351020408163,46,0.187755102041,11,0.0448979591837,3,0.0122448979592,0,0,245,1
B0001,extreme1,62,2.84217094304e-14,0.276334966124,5.38140057483,17.6379642966,22.3505219729,2.20341738474,23.1107071201,3,0.0483870967742,0,0,0,0,0,0,0,0,62,1
