policy,arm,penalty,path_id,state_sequence,termination_type,termination_stage,termination_state,operating_stage_count,reached_stage7,physical_dissipation_a1,lf8_absorbing,reported_objective,actual_operating_cost,holding_cost,production_cost,electricity_cost,production_om_cost,ordinary_shortage_total,ordinary_shortage_any,ordinary_shortage_cost,total_H2_production,total_HTT,HTT_cost,terminal_inventory_total,inventory_site1,inventory_site2,inventory_site3,inventory_site4,terminal_state_id,terminal_a,terminal_loc,target_site1,target_site2,target_site3,target_site4,target_total,gap_site1,gap_site2,gap_site3,gap_site4,terminal_site_gap,terminal_total_quantity_shortfall,terminal_spatial_component,terminal_gap_any,terminal_gap_class,surplus_site1,surplus_site2,surplus_site3,surplus_site4,terminal_penalty_cost,final_a,final_loc,final_lf,D_site_kg,S_site_kg,Q_total_kg,K_req_kg,K_req_formula_minus_equiv_kg,positive_target,sitewise_failure,failure_type,tail_group
Base,Arm-A,1000,1,81-91-110-87-96-48-56-56,STAGE7_TERMINAL_CHECK,4,87,3,1,0,0,49450.3677426,49450.3677426,28.0020182805,49422.3657243,49352.2857243,70.08,0,0,0,113.88,0,0,136.518409272,49.8445570449,41.6081379386,18.6421334423,26.4235808462,87,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,49.8445570449,41.6081379386,18.6421334423,26.4235808462,0,2,4,7,0,136.518409272,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,2,81-42-51-20-30-39-16-32,PHYSICAL_DISSIPATION_A1,2,42,1,0,1,0,9797.55821741,9797.55821741,12.0753740567,9785.48284335,9715.40284335,70.08,0,0,0,113.88,0,0,241.507481134,90.0053559616,64.9621752057,37.6776415006,48.8623084666,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,90.0053559616,64.9621752057,37.6776415006,48.8623084666,0,1,6,2,0,241.507481134,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,3,81-67-69-110-111-112-72-8,STAGE7_TERMINAL_CHECK,5,111,4,1,0,0,57581.3669077,57581.3669077,34.8663923372,57541.9085677,57459.5885677,82.32,0,0,0,133.77,0.617513454709,4.59194767083,117.397481134,46.7053559616,28.344661751,17.6351549553,24.7123084666,111,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,46.7053559616,28.344661751,17.6351549553,24.7123084666,0,2,7,7,0,117.397481134,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,4,81-66-99-85-96-80-80-96,LF8_ABSORBING,5,96,4,0,0,1,58872.3337215,58872.3337215,38.794603322,58833.5391182,58705.4455121,128.09360606,0,0,0,208.152109848,0,0,191.779590982,82.0874658095,32.8621752057,28.7176415006,48.1123084666,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,82.0874658095,32.8621752057,28.7176415006,48.1123084666,0,2,5,8,0,191.779590982,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,5,81-36-22-7-32-48-56-56,PHYSICAL_DISSIPATION_A1,2,36,1,0,1,0,9797.55821741,9797.55821741,12.0753740567,9785.48284335,9715.40284335,70.08,0,0,0,113.88,0,0,241.507481134,90.0053559616,64.9621752057,37.6776415006,48.8623084666,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,90.0053559616,64.9621752057,37.6776415006,48.8623084666,0,1,5,4,0,241.507481134,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,6,81-98-93-111-104-56-56-40,STAGE7_TERMINAL_CHECK,4,111,3,1,0,0,49667.9269648,49667.9269648,28.5577682805,49628.7057244,49551.7857243,76.92,0,0,0,124.995,1.38627250897,10.6634721909,147.633409272,55.6945570449,40.2218654297,22.3684059513,29.3485808462,111,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,55.6945570449,40.2218654297,22.3684059513,29.3485808462,0,2,7,7,0,147.633409272,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,7,81-74-99-108-109-54-55-40,PHYSICAL_DISSIPATION_A1,6,54,5,0,1,0,77908.1337808,77908.1337808,44.9895942173,77863.1441866,77736.0792482,127.064938408,0,0,0,206.480524913,0,0,130.615000117,54.5709504553,24.5008024546,19.6429194459,31.9003277609,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,54.5709504553,24.5008024546,19.6429194459,31.9003277609,0,1,7,6,0,130.615000117,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,8,81-90-75-92-109-111-112-112,STAGE7_TERMINAL_CHECK,6,111,5,1,0,0,78378.5387034,78378.5387034,47.445946484,78331.092757,78190.3768777,140.715879302,0,0,0,228.663303866,0,0,152.79777907,65.1824378844,33.8037901125,21.9112233117,31.9003277609,111,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,65.1824378844,33.8037901125,21.9112233117,31.9003277609,0,2,7,7,0,152.79777907,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,9,81-98-163-222-159-152-168-152,STAGE7_TERMINAL_CHECK,5,159,4,1,0,0,69879.3255706,69879.3255706,51.4702094457,63874.2793524,63659.7144697,214.564882679,22.4004734629,1,4480.09469258,348.667934353,36.9937698849,1473.48131616,354.69588895,170.410974758,72.416123348,28.6178578261,83.2509330179,159,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,170.410974758,72.416123348,28.6178578261,83.2509330179,0,3,6,7,0,354.69588895,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,10,81-42-12-5-30-15-24-48,PHYSICAL_DISSIPATION_A1,2,42,1,0,1,0,9797.55821741,9797.55821741,12.0753740567,9785.48284335,9715.40284335,70.08,0,0,0,113.88,0,0,241.507481134,90.0053559616,64.9621752057,37.6776415006,48.8623084666,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,90.0053559616,64.9621752057,37.6776415006,48.8623084666,0,1,6,2,0,241.507481134,0,0,0,False,False,NO_GAP,not_stage7_tail
