relative_path,extension,b0001_size_bytes,base_size_bytes,b0001_sha256,base_sha256,exists_in_b0001,exists_in_base,same_sha_if_both_exist,runtime_role,required_by,classification,action
run_b0001_stage89q_penalty1000_fresh_3h.m,m,12487,,ed234655aed58f2bea7781c8111dd7779a2c0ff9fb86b7a427419dfe2c72e040,,YES,NO,N/A,TRAINING_LAUNCHER,training entry,PROGRAM_SOURCE,RETAIN_BASE_TRAINING_HELPER
run_candidate_formal_h2.m,m,63093,,0497dbad5e7bd66aab72efa2de4bfcfd68fb809897ad9822dbd4e0f41e5df13d,,YES,NO,N/A,TRAINING_LAUNCHER,training entry,PROGRAM_SOURCE,RETAIN_BASE_TRAINING_HELPER
run_candidate_smoke_h2.m,m,30373,,b7df65486be344c1eac7fed898b65c7fecf10d5969228689da7005ae0db93126,,YES,NO,N/A,TRAINING_LAUNCHER,training entry,PROGRAM_SOURCE,RETAIN_BASE_TRAINING_HELPER
run_candidate_training_h2.m,m,,6846,,4f3166b3bf3b3abaa10fcd9c0248ad79dec8f3a8dcc33fe0908c5c57d1af37b5,NO,YES,N/A,TRAINING_LAUNCHER,training entry,PROGRAM_SOURCE,RETAIN_BASE_TRAINING_HELPER
utils/create_oos_paths.m,m,,1147,,5ba325de973c76242d511860d427931c091d4f95629e1aae116dc410ede4776b,NO,YES,N/A,TRAINING_HELPER,mc_sample/termination_check,PROGRAM_SOURCE,RETAIN_BASE_TRAINING_HELPER
utils/mc_sample.m,m,,761,,f75b68972510067143f49f24b1e497f6b6720ec898f0fd4345d6f099ab6eb2a9,NO,YES,N/A,TRAINING_HELPER,mc_sample/termination_check,PROGRAM_SOURCE,RETAIN_BASE_TRAINING_HELPER
utils/termination_check.m,m,,858,,4898087fc9be724d8e4dafc4e1cf2cd617e63d7d62750c776bfed834cafb0525,NO,YES,N/A,TRAINING_HELPER,mc_sample/termination_check,PROGRAM_SOURCE,RETAIN_BASE_TRAINING_HELPER
