policy,stage,active_path_count,averaging_definition,mean_beginning_total_inventory_kg,CI95_low_beginning_total_inventory_kg,CI95_high_beginning_total_inventory_kg,mean_ending_total_inventory_kg,std_ending_total_inventory_kg,SE_ending_total_inventory_kg,CI95_low_ending_total_inventory_kg,CI95_high_ending_total_inventory_kg,site1_mean_ending_inventory_kg,site1_CI95_low_ending_inventory_kg,site1_CI95_high_ending_inventory_kg,site2_mean_ending_inventory_kg,site2_CI95_low_ending_inventory_kg,site2_CI95_high_ending_inventory_kg,site3_mean_ending_inventory_kg,site3_CI95_low_ending_inventory_kg,site3_CI95_high_ending_inventory_kg,site4_mean_ending_inventory_kg,site4_CI95_low_ending_inventory_kg,site4_CI95_high_ending_inventory_kg
Stage89N,1,10000,CONDITIONAL_ON_ACTIVE_PATHS,166.638409272,166.638409272,166.638409272,237.607481134,5.68462612449e-14,5.68462612449e-16,237.607481134,237.607481134,90.0053559616,90.0053559616,90.0053559616,61.0621752057,61.0621752057,61.0621752057,37.6776415006,37.6776415006,37.6776415006,48.8623084666,48.8623084666,48.8623084666
Stage89N,2,8922,CONDITIONAL_ON_ACTIVE_PATHS,237.607481134,237.607481134,237.607481134,186.97324377,28.6593249996,0.303413463474,186.378553381,187.567934158,72.157412942,71.7783012737,72.5365246102,47.0429450694,46.9284993305,47.1573908084,27.7621214567,27.6343794121,27.8898635013,40.0107643015,39.7330236071,40.288504996
Stage89N,3,7905,CONDITIONAL_ON_ACTIVE_PATHS,187.957146063,187.289797886,188.624494241,171.126215586,57.170207777,0.643011638125,169.865912775,172.386518397,72.4460427607,71.4830078746,73.4090776467,36.1159245948,35.7788924185,36.452956771,22.3649470286,22.0906197594,22.6392742977,40.1993012018,39.6952288428,40.7033735608
Stage89N,4,5854,CONDITIONAL_ON_ACTIVE_PATHS,174.77228504,173.235447731,176.309122349,201.615542441,81.6825349906,1.0675859471,199.523073985,203.708010898,90.1578620355,88.7777691656,91.5379549054,35.2419743545,34.5949540052,35.8889947038,25.9687728254,25.6745222468,26.263023404,50.2469332258,49.5041586648,50.9897077869
Stage89N,5,2581,CONDITIONAL_ON_ACTIVE_PATHS,218.771511874,215.67028538,221.872738368,184.630144799,107.112406243,2.1083648803,180.497749634,188.762539965,88.5967258026,85.934560495,91.2588911103,29.8187727503,28.6314770604,31.0060684402,19.3610475206,18.954972503,19.7671225381,46.853598726,45.5921075655,48.1150898864
Stage89N,6,474,CONDITIONAL_ON_ACTIVE_PATHS,203.92907677,193.861130184,213.997023355,198.709548128,124.780894898,5.73137632153,187.476050538,209.943045718,100.143760973,93.2197981322,107.067723814,32.4634020406,28.8736681248,36.0531359565,16.3185795627,15.3845376837,17.2526214417,49.7838055512,46.6762366794,52.8913744231
