policy,component,reality_scope,N,mean,std,SE,CI_low,CI_high
Stage89N,electricity_grid_cost_yuan,MODELED_ACTUAL_OPERATING_COMPONENT,10000,55211.7625543,23292.8045457,232.928045457,54755.2235852,55668.3015234
Stage89N,production_om_cost_yuan,MODELED_ACTUAL_OPERATING_COMPONENT,10000,114.464717022,57.273358144,0.57273358144,113.342159202,115.587274841
Stage89N,production_electricity_cost_yuan,MODELED_ACTUAL_OPERATING_COMPONENT,10000,55326.2272713,23331.5235511,233.315235511,54868.9294097,55783.5251329
Stage89N,ordinary_shortage_cost_yuan,MODELED_ACTUAL_OPERATING_COMPONENT,10000,308.364760273,1543.39568683,15.4339568683,278.114204812,338.615315735
Stage89N,htt_cost_yuan,MODELED_ACTUAL_OPERATING_COMPONENT,10000,512.11849104,1333.4040043,13.334040043,485.983772556,538.253209525
Stage89N,holding_other_operating_cost_yuan,MODELED_ACTUAL_OPERATING_COMPONENT,10000,35.7398947073,15.8697717216,0.158697717216,35.4288471815,36.050942233
Stage89N,other_unclassified_actual_operating_cost_yuan,MODELED_ACTUAL_OPERATING_COMPONENT,10000,-4.19144434716e-12,8.20748817711e-11,8.20748817711e-13,-5.80011202987e-12,-2.58277666444e-12
Stage89N,actual_operating_cost_yuan,MODELED_ACTUAL_OPERATING_COMPONENT,10000,56182.4504173,24241.1196731,242.411196731,55707.3244717,56657.5763629
Stage89N,terminal_gap_soft_target_penalty_yuan,SOFT_TARGET_INCENTIVE_NOT_REAL_EXPENDITURE,10000,5583.02689412,25022.173906,250.22173906,5092.59228557,6073.46150268
Stage89N,reported_objective_yuan,REPORTED_OBJECTIVE_INCLUDES_SOFT_TARGET,10000,61765.4773114,39105.7165985,391.057165985,60999.0052661,62531.9493568
