record_type,terminal_a,terminal_loc,early_arrival_after_stage,late_arrival_after_stage,early_path_count,late_path_count,descriptive_only,early_mean_cumulative_production_kg,early_CI95_low_cumulative_production_kg,early_CI95_high_cumulative_production_kg,early_mean_ending_inventory_kg,early_CI95_low_ending_inventory_kg,early_CI95_high_ending_inventory_kg,early_mean_htt_kg,early_CI95_low_htt_kg,early_CI95_high_htt_kg,early_mean_ordinary_shortage_kg,early_CI95_low_ordinary_shortage_kg,early_CI95_high_ordinary_shortage_kg,early_mean_terminal_gap_kg,early_CI95_low_terminal_gap_kg,early_CI95_high_terminal_gap_kg,late_mean_cumulative_production_kg,late_minus_early_mean_cumulative_production_kg,late_mean_ending_inventory_kg,late_minus_early_mean_ending_inventory_kg,late_mean_htt_kg,late_minus_early_mean_htt_kg,late_mean_ordinary_shortage_kg,late_minus_early_mean_ordinary_shortage_kg,late_mean_terminal_gap_kg,late_minus_early_mean_terminal_gap_kg
ARRIVAL_GROUP,2,5,6,,44,,NO,256.310032041,233.134822131,279.48524195,134.948441313,111.773231403,158.123651222,29.7817421432,18.2215576092,41.3419266771,0,0,0,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,6,2,,5,,YES,111.735,108.2952,115.1748,179.869475204,176.429675204,183.309275204,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,6,3,,104,,NO,124.53036559,121.39013004,127.67060114,147.168774862,144.028539312,150.309010412,9.76480301595,7.27143873222,12.2581672997,0,0,0,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,6,4,,214,,NO,176.288659109,168.98488408,183.592434138,160.112917276,152.775152835,167.450681717,13.1282729968,9.51430956355,16.7422364301,0.196777032941,-0.116128047995,0.509682113877,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,6,5,,169,,NO,204.190735701,197.351824243,211.029647159,128.866642821,121.903725246,135.829560396,13.9958462585,10.3799750313,17.6117174857,0.541431916452,-0.151451652572,1.23431548548,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,6,6,,35,,NO,250.258024027,231.089828325,269.426219729,128.896433299,109.728237597,148.064629001,21.3389510234,9.67576625106,33.0021357958,0,0,0,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,7,2,,15,,YES,110.175,109.7928,110.5572,178.309475204,177.927275204,178.691675204,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,7,3,,237,,NO,121.066813623,118.501868881,123.631758366,143.897189418,141.182810198,146.611568639,6.25664746522,4.59011566553,7.9231792649,0.191966522919,-0.184287862002,0.568220907839,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,7,4,,522,,NO,161.814722445,157.944258982,165.685185908,145.538105578,141.64207987,149.434131285,7.86395035123,6.08724903989,9.64065166257,0.0959019981462,-0.037617523437,0.229421519729,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,7,5,,349,,NO,196.019123413,191.028595277,201.009651548,120.243177624,115.238964161,125.247391087,7.99992223018,5.79364777796,10.2061966824,0.0895790073306,-0.0859958470374,0.265153861699,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,2,7,6,,87,,NO,244.75896726,231.973712626,257.544221894,123.693179345,110.724403893,136.661954797,18.7295920288,12.1592599148,25.2999241428,0.295802812676,-0.145815497465,0.737421122816,0,0,0,,,,,,,,,,
ARRIVAL_GROUP,3,1,3,,9,,YES,232.48063592,174.112076386,290.849195453,259.534280357,201.04025159,318.028309124,57.6721448702,36.6188720164,78.7254177241,4.4152351649,-2.29444802808,11.1249183579,13.0618520576,9.06405880795,17.0596453072,,,,,,,,,,
ARRIVAL_GROUP,3,1,4,,35,,NO,286.077454673,257.466780921,314.688128425,277.500852033,248.677535902,306.324168163,62.080028472,49.7437536161,74.4163033279,7.79591622488,3.92823595147,11.6635964983,7.4218671243,4.95009465748,9.89363959112,,,,,,,,,,
ARRIVAL_GROUP,3,1,5,,19,,YES,325.417263956,286.399265721,364.435262192,254.747660738,214.349938121,295.145383356,63.3739355802,42.0042787871,84.7435923734,5.1959215784,0.427838043673,9.96400511313,12.5054662417,8.38753496795,16.6233975154,,,,,,,,,,
ARRIVAL_GROUP,3,1,6,,7,,YES,376.549486428,283.823906382,469.275066473,260.71105796,166.746590394,354.675525526,69.2966868776,29.9037614958,108.689612259,5.52316226051,0.921422117435,10.1249024036,16.8858441013,9.40766677873,24.3640214238,,,,,,,,,,
ARRIVAL_GROUP,3,2,2,,1,,YES,109.98,109.98,109.98,178.114475204,178.114475204,178.114475204,0,0,0,0,0,0,36.8147946731,36.8147946731,36.8147946731,,,,,,,,,,
