policy,stage,loc,path_count,information_timing,sample_scope,descriptive_only,mean_production_kg,CI95_low_production_kg,CI95_high_production_kg,mean_ending_inventory_kg,CI95_low_ending_inventory_kg,CI95_high_ending_inventory_kg,mean_ordinary_shortage_kg,CI95_low_ordinary_shortage_kg,CI95_high_ordinary_shortage_kg,mean_htt_kg,CI95_low_htt_kg,CI95_high_htt_kg,site1_mean_ending_inventory_kg,site2_mean_ending_inventory_kg,site3_mean_ending_inventory_kg,site4_mean_ending_inventory_kg,state_variable,weighted_mean_slope_kg_per_state_level,rank_correlation_of_group_means,state_group_count,adjacent_increase_count_gt_1kg,adjacent_decrease_count_lt_minus_1kg,adjacent_comparison_count
Stage89N,2,1,862,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,11.6825812065,9.71097773058,13.6541846824,189.79705641,187.825452934,191.768659886,0,0,0,4.90035696747,3.69984323475,6.10087070019,74.7093330535,46.9407163077,26.5788149376,41.5681921115,loc,-0.781991412361,-0.892857142857,7,1,2,6
Stage89N,2,2,1963,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,10.5071523179,9.2314963871,11.7828082487,188.621627522,187.345971591,189.897283452,0,0,0,3.74425911604,3.1037664651,4.38475176698,71.0793585733,45.6335488901,28.8585704265,43.0501496317,loc,-0.781991412361,-0.892857142857,7,1,2,6
Stage89N,2,3,1473,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,10.3082586558,8.73659240722,11.8799249044,188.42273386,186.851067611,189.994400108,0,0,0,2.68917436807,2.08950399563,3.28884474052,71.381807112,48.3905281399,27.5532392297,41.097159378,loc,-0.781991412361,-0.892857142857,7,1,2,6
Stage89N,2,4,125,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,9.50352,3.82950279757,15.1775372024,187.617995204,181.943978001,193.292012406,0,0,0,3.22618797087,1.05155393888,5.40082200285,71.61758124,48.6336289862,27.0344126014,40.3323723762,loc,-0.781991412361,-0.892857142857,7,1,2,6
Stage89N,2,5,1381,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,5.95366757279,4.62913725255,7.27819789302,184.068142777,182.743612456,185.392673097,0,0,0,2.24003700036,1.58546212793,2.8946118728,71.5326990379,47.1134711809,27.8452469369,37.5767256208,loc,-0.781991412361,-0.892857142857,7,1,2,6
Stage89N,2,6,1748,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,7.66791905933,6.33913363947,8.99670447918,185.782394263,184.453608843,187.111179683,0,0,0,2.92567985188,2.2619204366,3.58943926715,72.67737674,47.2953628198,27.6343639781,38.1752907252,loc,-0.781991412361,-0.892857142857,7,1,2,6
Stage89N,2,7,1370,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,7.55070489871,6.03942208939,9.06198770802,185.665180102,184.153897293,187.176462912,0,0,0,3.50039935003,2.68929897867,4.3114997214,72.9459130314,47.1395273705,27.3058089045,38.273930796,loc,-0.781991412361,-0.892857142857,7,1,2,6
Stage89N,3,1,591,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,33.2852583327,30.8184751976,35.7520414677,180.106491936,175.106219351,185.106764522,0.871523501516,0.466318216462,1.27672878657,21.5761232515,19.9249542329,23.2272922701,73.3358323366,25.6666033556,34.9402220935,46.1638341509,loc,-2.23004001839,-0.892857142857,7,0,2,6
Stage89N,3,2,1173,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,33.7920216396,32.0377538673,35.546289412,176.963590161,173.801609866,180.125570455,0.822710194882,0.533489708997,1.11193068077,16.2567288674,14.8283784529,17.685079282,74.5196067051,31.3854108023,27.1465847058,43.9119879476,loc,-2.23004001839,-0.892857142857,7,0,2,6
Stage89N,3,3,1227,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,33.3463731462,31.5367600631,35.1559862293,177.208061716,173.955942336,180.460181095,0.490876218572,0.313225348682,0.668527088462,8.36013793519,7.15469003301,9.56558583737,74.8370095983,38.7946654288,20.0270717457,43.5493149429,loc,-2.23004001839,-0.892857142857,7,0,2,6
Stage89N,3,4,1344,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,27.4057508639,25.8565738533,28.9549278746,169.675504251,166.837724509,172.513283993,0.211370913881,0.102692468301,0.32004935946,9.5887325329,8.49526478144,10.6822002844,70.2986002833,36.3796311606,23.4107633181,39.5865094891,loc,-2.23004001839,-0.892857142857,7,0,2,6
Stage89N,3,5,1004,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,27.2419121409,25.3004285795,29.1833957023,170.715027594,167.144279915,174.285775272,0.352658678684,0.177500521705,0.527816835663,11.2972551394,9.84823425099,12.7462760278,70.5255102244,36.9995697465,22.8849103836,40.3050372393,loc,-2.23004001839,-0.892857142857,7,0,2,6
Stage89N,3,6,636,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,27.1434099285,24.3059448605,29.9808749965,169.914421113,165.165448475,174.66339375,0.342912612607,0.10485423273,0.580970992483,9.35053801081,7.19377651536,11.5072995063,71.8367273242,40.0758682335,17.3354658699,40.6663596849,loc,-2.23004001839,-0.892857142857,7,0,2,6
Stage89N,3,7,1930,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,21.5022459388,20.013132187,22.9913596907,162.585428623,160.082704798,165.088152448,0.252256848973,0.136234777417,0.368278920528,7.8142993389,6.69292673247,8.93567194534,72.0885451014,38.539500251,17.7529543492,34.2044289213,loc,-2.23004001839,-0.892857142857,7,0,2,6
