section,group,metric,Stage89H_N,Stage89H_mean,Stage89N_N,Stage89N_mean,difference_N_minus_H,percent_change,paired_N,paired_difference_mean_N_minus_H,paired_difference_CI95_low,paired_difference_CI95_high
PRODUCTION_BY_STAGE,Stage1,production_kg,10000,120.12,10000,109.98,-10.14,-8.44155844156,10000,-10.14,-10.14,-10.14
INVENTORY_BY_STAGE,Stage1,ending_inventory_kg,10000,247.747481134,10000,237.607481134,-10.14,-4.09287713181,10000,-10.14,-10.14,-10.14
PRODUCTION_BY_STAGE,Stage2,production_kg,8922,102.795976683,8922,8.8587685659,-93.9372081167,-91.382183572,8922,-93.9372081167,-94.5043130544,-93.370103179
INVENTORY_BY_STAGE,Stage2,ending_inventory_kg,8922,293.177422301,8922,186.97324377,-106.204178531,-36.2252241996,8922,-106.204178531,-106.649895351,-105.758461711
PRODUCTION_BY_STAGE,Stage3,production_kg,7905,56.762269988,7905,28.2318002828,-28.5304697052,-50.263087983,7905,-28.5304697052,-28.8842164015,-28.176723009
INVENTORY_BY_STAGE,Stage3,ending_inventory_kg,7905,307.92777376,7905,171.126215586,-136.801558174,-44.4265083672,7905,-136.801558174,-137.464974431,-136.138141918
PRODUCTION_BY_STAGE,Stage4,production_kg,5854,95.426785121,5854,64.6835801025,-30.7432050185,-32.2165364572,5854,-30.7432050185,-31.3597386884,-30.1266713485
INVENTORY_BY_STAGE,Stage4,ending_inventory_kg,5854,371.509143404,5854,201.615542441,-169.893600963,-45.7306647708,5854,-169.893600963,-170.922132248,-168.865069677
PRODUCTION_BY_STAGE,Stage5,production_kg,2581,32.3878326122,2581,23.7375380168,-8.65029459545,-26.7084701191,2581,-8.65029459545,-9.39745321549,-7.90313597541
INVENTORY_BY_STAGE,Stage5,ending_inventory_kg,2581,359.045499595,2581,184.630144799,-174.415354796,-48.5775075839,2581,-174.415354796,-176.032988969,-172.797720622
PRODUCTION_BY_STAGE,Stage6,production_kg,474,36.9062810452,474,38.2216744343,1.31539338919,3.56414505048,474,1.31539338919,-0.873860984373,3.50464776275
INVENTORY_BY_STAGE,Stage6,ending_inventory_kg,474,368.26826684,474,198.709548128,-169.558718712,-46.0421746808,474,-169.558718712,-173.424292105,-165.69314532
OBSERVED_INTENSITY,Stage2_a2,production_kg,8333,101.571465734,8333,1.26575663027,-100.305709104,-98.7538265584,,,,
OBSERVED_INTENSITY,Stage2_a3,production_kg,589,120.12,589,116.282484117,-3.83751588295,-3.19473516729,,,,
OBSERVED_INTENSITY,Stage3_a2,production_kg,6927,48.7390428625,6927,16.4625567429,-32.2764861197,-66.2230610697,,,,
OBSERVED_INTENSITY,Stage3_a3,production_kg,820,113.439898231,820,111.032035479,-2.40786275229,-2.12258895665,,,,
OBSERVED_INTENSITY,Stage3_a4,production_kg,158,114.365049348,158,114.493554334,0.128504986242,0.112363862015,,,,
OBSERVED_INTENSITY,Stage4_a2,production_kg,4781,91.2841946604,4781,53.6442145837,-37.6399800766,-41.2338414297,,,,
OBSERVED_INTENSITY,Stage4_a3,production_kg,772,112.532050592,772,114.412344724,1.88029413274,1.67089653379,,,,
OBSERVED_INTENSITY,Stage4_a4,production_kg,268,117.200768778,268,112.595223248,-4.60554552958,-3.9296205798,,,,
OBSERVED_INTENSITY,Stage4_a5,production_kg,33,118.609585994,33,111.601152656,-7.00843333863,-5.90882539542,,,,
OBSERVED_INTENSITY,Stage5_a2,production_kg,1989,14.3878853049,1989,2.91702774996,-11.4708575549,-79.7258062033,,,,
OBSERVED_INTENSITY,Stage5_a3,production_kg,365,90.5917844471,365,98.211289555,7.61950510785,8.41081247527,,,,
OBSERVED_INTENSITY,Stage5_a4,production_kg,170,96.1014216844,170,83.2017679517,-12.8996537327,-13.4229582733,,,,
OBSERVED_INTENSITY,Stage5_a5,production_kg,57,97.7587559869,57,96.0209857422,-1.73777024471,-1.77761084127,,,,
OBSERVED_INTENSITY,Stage6_a2,production_kg,338,21.4719983424,338,21.5048753533,0.0328770108825,0.153115748046,,,,
OBSERVED_INTENSITY,Stage6_a3,production_kg,75,66.1499167736,75,89.5391933714,23.3892765978,35.3579834089,,,,
OBSERVED_INTENSITY,Stage6_a4,production_kg,39,81.4711511578,39,57.0862818789,-24.3848692789,-29.9306796729,,,,
OBSERVED_INTENSITY,Stage6_a5,production_kg,22,95.3374146588,22,86.6646052877,-8.67280937107,-9.09696303608,,,,
TERMINATION_TIMING,S1->A1,cumulative_production_kg,1078,120.12,1078,109.98,-10.14,-8.44155844156,,,,
TERMINATION_TIMING,S2->A1,cumulative_production_kg,937,221.653179434,937,111.053852721,-110.599326713,-49.897469098,,,,
TERMINATION_TIMING,S3->A1,cumulative_production_kg,767,270.426817426,767,128.888157311,-141.538660114,-52.3389882193,,,,
TERMINATION_TIMING,S4->A1,cumulative_production_kg,485,368.980775318,485,188.055964221,-180.924811098,-49.0336687437,,,,
TERMINATION_TIMING,S5->A1,cumulative_production_kg,197,399.200524487,197,212.492677056,-186.707847431,-46.7704414144,,,,
TERMINATION_TIMING,S6->A1,cumulative_production_kg,33,445.496575771,33,271.91133495,-173.585240821,-38.9644388445,,,,
TERMINATION_TIMING,S3->LF8,cumulative_production_kg,135,268.648520011,135,146.343228572,-122.305291439,-45.526136319,,,,
TERMINATION_TIMING,S4->LF8,cumulative_production_kg,175,384.361547225,175,213.410894514,-170.950652711,-44.4765231967,,,,
TERMINATION_TIMING,S5->LF8,cumulative_production_kg,69,437.980579435,69,262.586090049,-175.394489385,-40.0461795844,,,,
TERMINATION_TIMING,S2->STAGE7,cumulative_production_kg,80,199.3996875,80,112.79775,-86.6019375,-43.4313306033,,,,
TERMINATION_TIMING,S3->STAGE7,cumulative_production_kg,1149,265.715502089,1149,142.300688206,-123.414813883,-46.4462227131,,,,
TERMINATION_TIMING,S4->STAGE7,cumulative_production_kg,2613,368.15541938,2613,204.733372523,-163.422046857,-44.38941769,,,,
TERMINATION_TIMING,S5->STAGE7,cumulative_production_kg,1841,424.031004164,1841,257.070250951,-166.960753213,-39.374656941,,,,
TERMINATION_TIMING,S6->STAGE7,cumulative_production_kg,441,481.245668257,441,318.715721324,-162.529946932,-33.7727604949,,,,
PRIMARY_OOS,ALL,actual_operating_cost_yuan,10000,62094.587547,10000,56182.4504173,-5912.13712965,-9.52117948313,,,,
PRIMARY_OOS,ALL,total_h2_production_kg,10000,322.67664215,10000,186.00516516,-136.67147699,-42.3555532496,,,,
PRIMARY_OOS,ALL,ordinary_shortage_kg,10000,6.14034501744,10000,1.54182380137,-4.59852121607,-74.8902741297,,,,
PRIMARY_OOS,ALL,terminal_gap_kg,6124,10.3707753188,6124,9.11663437969,-1.25414093911,-12.093029697,,,,
PRIMARY_OOS,ALL,total_htt_kg,10000,24.8327916558,10000,22.511338232,-2.32145342378,-9.34833850322,,,,
PRIMARY_OOS_EVENT,ALL,probability_any_ordinary_shortage,10000,0.1477,10000,0.0534,-0.0943,-63.8456330399,,,,
PRIMARY_OOS_EVENT,ALL,probability_terminal_gap_positive,6124,0.15855649902,6124,0.147942521228,-0.0106139777923,-6.69412976313,,,,
