policy,termination_type,timing_group,last_active_stage,path_count,path_share_initial,descriptive_only,mean_cumulative_production_kg,std_cumulative_production_kg,SE_cumulative_production_kg,CI95_low_cumulative_production_kg,CI95_high_cumulative_production_kg,mean_ending_inventory_kg,std_ending_inventory_kg,SE_ending_inventory_kg,CI95_low_ending_inventory_kg,CI95_high_ending_inventory_kg,mean_ordinary_shortage_kg,std_ordinary_shortage_kg,SE_ordinary_shortage_kg,CI95_low_ordinary_shortage_kg,CI95_high_ordinary_shortage_kg,mean_htt_kg,std_htt_kg,SE_htt_kg,CI95_low_htt_kg,CI95_high_htt_kg,mean_actual_operating_cost_yuan,std_actual_operating_cost_yuan,SE_actual_operating_cost_yuan,CI95_low_actual_operating_cost_yuan,CI95_high_actual_operating_cost_yuan
Stage89N,A1,S1->A1,1,1078,0.1078,NO,109.98,0,0,109.98,109.98,237.607481134,5.68698024403e-14,1.73209751704e-15,237.607481134,237.607481134,0,0,0,0,0,0,0,0,0,0,9704.96321741,3.63966735618e-12,1.1085424109e-13,9704.96321741,9704.96321741
Stage89N,A1,S2->A1,2,937,0.0937,NO,111.053852721,1.52284136549,0.0497490589137,110.956344566,111.151360877,179.188327925,1.52284136549,0.0497490589137,179.09081977,179.285836081,0,0,0,0,0,0,0,0,0,0,28900.042569,54.1174869358,1.76794123593,28896.5774041,28903.5077338
Stage89N,A1,S3->A1,3,767,0.0767,NO,128.888157311,12.9748563507,0.468494909483,127.969907289,129.806407334,151.526566583,12.9748563507,0.468494909483,150.608316561,152.444816606,0,0,0,0,0,5.0219648458,11.8984388413,0.429627725906,4.17989450302,5.86403518857,49850.8487917,605.835750391,21.875461074,49807.972888,49893.7246954
Stage89N,A1,S4->A1,4,485,0.0485,NO,188.055964221,34.8539037392,1.58263424268,184.954001105,191.157927337,171.797508735,35.0438171796,1.59125776778,168.67864351,174.91637396,0.114063379668,1.77440597612,0.0805716248958,-0.0438570051281,0.271983764464,7.78023867616,18.5032516024,0.840189374656,6.13346750183,9.42700985048,58691.7287454,1468.3278474,66.6733330121,58561.0490127,58822.4084781
Stage89N,A1,S5->A1,5,197,0.0197,NO,212.492677056,40.9097976097,2.91470239529,206.779860361,218.20549375,136.852991288,41.8964499869,2.98499846653,131.002394294,142.703588283,0.225839028941,2.28769028107,0.162991183812,-0.0936236913308,0.545301749214,11.7913312502,27.0709837024,1.92872772907,8.01102490126,15.5716375992,78597.5822479,2381.34672513,169.663929164,78265.0409467,78930.1235491
Stage89N,A1,S6->A1,6,33,0.0033,NO,271.91133495,85.1925368172,14.8301171141,242.844305407,300.978364494,150.549744222,85.1925368172,14.8301171141,121.482714679,179.616773766,0,0,0,0,0,27.582576547,41.6241545841,7.24583526113,13.3807394352,41.7844136588,101128.456887,4283.40670071,745.645397965,99666.9919074,102589.921867
Stage89N,LF8,S3->LF8,3,135,0.0135,NO,146.343228572,66.1188429401,5.69060394617,135.189644837,157.496812306,169.765060283,67.5129656593,5.81059092559,158.376302069,181.153818497,0.783422439168,4.44073449182,0.382197571817,0.0343151984073,1.53252967993,24.703539525,35.6440937804,3.06775514671,18.6907394374,30.7163396125,51311.7793196,4053.17590027,348.841839133,50628.0493149,51995.5093243
Stage89N,LF8,S4->LF8,4,175,0.0175,NO,213.410894514,69.6800657063,5.26731786278,203.086951503,223.734837525,198.537739516,72.3936918579,5.47244871845,187.811740028,209.263739005,1.49936386745,6.71242797219,0.507411860225,0.50483662141,2.49389111349,21.1020620265,49.1562067354,3.71585995478,13.8189765151,28.3851475378,60199.1106502,4343.53982387,328.340748105,59555.5627839,60842.6585165
Stage89N,LF8,S5->LF8,5,69,0.0069,NO,262.586090049,91.4696865572,11.0116562477,241.003243804,284.168936295,188.305697096,94.5500103089,11.3824836503,165.996029142,210.615365051,1.58513184331,9.48208135606,1.14150845308,-0.65222472472,3.82248841134,32.9604552316,52.9005598244,6.36847902317,20.4782363462,45.4426741171,81057.4847182,5856.86435365,705.083611622,79675.5208394,82439.448597
Stage89N,STAGE7,S2->STAGE7,2,80,0.008,NO,112.79775,13.5055741868,1.50996909784,109.838210568,115.757289432,180.932225204,13.5055741868,1.50996909784,177.972685772,183.891764636,0,0,0,0,0,0.860236677218,7.69419074799,0.860236677218,-0.825827210129,2.54630056456,28993.2122041,756.037165,84.5275247228,28827.5382556,29158.8861526
