interval_type,section,group,metric,denominator,N,mean,std,SE,CI_low,CI_high,events,probability
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage1_Site2,ending_inventory_kg,ACTIVE_PATHS,10000,61.0621752057,2.13173479668e-14,2.13173479668e-16,61.0621752057,61.0621752057,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage1_Site3,ending_inventory_kg,ACTIVE_PATHS,10000,37.6776415006,7.10578265562e-15,7.10578265562e-17,37.6776415006,37.6776415006,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage1_Site4,ending_inventory_kg,ACTIVE_PATHS,10000,48.8623084666,7.10578265562e-15,7.10578265562e-17,48.8623084666,48.8623084666,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage2,production_kg,ACTIVE_PATHS,8922,8.8587685659,28.6593249996,0.303413463474,8.26407817749,9.45345895431,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage2,cumulative_production_kg,ACTIVE_PATHS,8922,118.838768566,28.6593249996,0.303413463474,118.244078177,119.433458954,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage2,electrolyzer_utilization,ACTIVE_PATHS,8922,0.0737493220604,0.238589119211,0.00252591960934,0.0687985196261,0.0787001244947,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage2_Site1,production_kg,ACTIVE_PATHS,8922,3.14596503026,11.6206749255,0.123026945928,2.90483221624,3.38709784428,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage2_Site2,production_kg,ACTIVE_PATHS,8922,1.95233698223,7.386484518,0.0781999872829,1.79906500716,2.10560895731,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage2_Site3,production_kg,ACTIVE_PATHS,8922,1.08987139536,4.22077990446,0.0446849829644,1.00228882875,1.17745396197,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage2_Site4,production_kg,ACTIVE_PATHS,8922,2.67059515804,5.68441480475,0.0601803421315,2.55264168746,2.78854862861,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage2,beginning_inventory_kg,ACTIVE_PATHS,8922,237.607481134,8.5269907057e-14,9.02744144556e-16,237.607481134,237.607481134,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage2,ending_inventory_kg,ACTIVE_PATHS,8922,186.97324377,28.6593249996,0.303413463474,186.378553381,187.567934158,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage2_Site1,ending_inventory_kg,ACTIVE_PATHS,8922,72.157412942,18.2701532144,0.193424320533,71.7783012737,72.5365246102,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage2_Site2,ending_inventory_kg,ACTIVE_PATHS,8922,47.0429450694,5.51537016835,0.0583906831423,46.9284993305,47.1573908084,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage2_Site3,ending_inventory_kg,ACTIVE_PATHS,8922,27.7621214567,6.15614586143,0.0651745125713,27.6343794121,27.8898635013,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage2_Site4,ending_inventory_kg,ACTIVE_PATHS,8922,40.0107643015,13.3848822573,0.141704435954,39.7330236071,40.288504996,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage3,production_kg,ACTIVE_PATHS,7905,28.2318002828,32.2497691815,0.362723483382,27.5208622554,28.9427383102,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage3,cumulative_production_kg,ACTIVE_PATHS,7905,148.054471142,55.8773272364,0.628470196582,146.822669557,149.286272728,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage3,electrolyzer_utilization,ACTIVE_PATHS,7905,0.235029972384,0.268479596916,0.00301967601883,0.229111407387,0.240948537381,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage3_Site1,production_kg,ACTIVE_PATHS,7905,12.3711919372,13.3118332823,0.149722452622,12.0777359301,12.6646479443,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage3_Site2,production_kg,ACTIVE_PATHS,7905,5.69676177678,9.25076629816,0.104046331517,5.49283096701,5.90069258655,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage3_Site3,production_kg,ACTIVE_PATHS,7905,3.38069027162,3.64417341891,0.0409871856482,3.30035538775,3.46102515549,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage3_Site4,production_kg,ACTIVE_PATHS,7905,6.78315629717,6.48020631412,0.072884955984,6.64030178344,6.9260108109,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage3,beginning_inventory_kg,ACTIVE_PATHS,7905,187.957146063,30.2724342537,0.340483764121,187.289797886,188.624494241,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage3,ending_inventory_kg,ACTIVE_PATHS,7905,171.126215586,57.170207777,0.643011638125,169.865912775,172.386518397,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage3_Site1,ending_inventory_kg,ACTIVE_PATHS,7905,72.4460427607,43.6854572272,0.491344329611,71.4830078746,73.4090776467,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage3_Site2,ending_inventory_kg,ACTIVE_PATHS,7905,36.1159245948,15.288547626,0.171955191975,35.7788924185,36.452956771,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage3_Site3,ending_inventory_kg,ACTIVE_PATHS,7905,22.3649470286,12.444110132,0.139962892424,22.0906197594,22.6392742977,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage3_Site4,ending_inventory_kg,ACTIVE_PATHS,7905,40.1993012018,22.8658710056,0.257179774994,39.6952288428,40.7033735608,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage4,production_kg,ACTIVE_PATHS,5854,64.6835801025,35.4179000012,0.462909878119,63.7762767414,65.5908834637,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage4,cumulative_production_kg,ACTIVE_PATHS,5854,216.418043908,79.0752365278,1.03350870893,214.392366838,218.443720977,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage4,electrolyzer_utilization,ACTIVE_PATHS,5854,0.538491342845,0.294854312364,0.00385372858907,0.53093803481,0.54604465088,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage4_Site1,production_kg,ACTIVE_PATHS,5854,28.2360810679,15.6946301578,0.20512789672,27.8340303903,28.6381317455,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage4_Site2,production_kg,ACTIVE_PATHS,5854,10.112475615,11.5492713191,0.150948299546,9.81661694786,10.4083342821,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage4_Site3,production_kg,ACTIVE_PATHS,5854,9.92426321351,6.29622143044,0.0822912452426,9.76297237284,10.0855540542,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage4_Site4,production_kg,ACTIVE_PATHS,5854,16.4107602062,7.99334021714,0.104472488362,16.205994129,16.6155262834,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage4,beginning_inventory_kg,ACTIVE_PATHS,5854,174.77228504,59.9926689017,0.784100667979,173.235447731,176.309122349,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage4,ending_inventory_kg,ACTIVE_PATHS,5854,201.615542441,81.6825349906,1.0675859471,199.523073985,203.708010898,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage4_Site1,ending_inventory_kg,ACTIVE_PATHS,5854,90.1578620355,53.8739228278,0.704129015249,88.7777691656,91.5379549054,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage4_Site2,ending_inventory_kg,ACTIVE_PATHS,5854,35.2419743545,25.257375882,0.330112423119,34.5949540052,35.8889947038,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage4_Site3,ending_inventory_kg,ACTIVE_PATHS,5854,25.9687728254,11.4864972568,0.150127846229,25.6745222468,26.263023404,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage4_Site4,ending_inventory_kg,ACTIVE_PATHS,5854,50.2469332258,28.9952801386,0.378966612773,49.5041586648,50.9897077869,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage5,production_kg,ACTIVE_PATHS,2581,23.7375380168,42.8574015301,0.843590797895,22.0841000529,25.3909759807,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage5,cumulative_production_kg,ACTIVE_PATHS,2581,257.518583134,102.300562874,2.01365016028,253.57182882,261.465337448,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage5,electrolyzer_utilization,ACTIVE_PATHS,2581,0.197615201605,0.356788224526,0.00702290041538,0.183850316791,0.211380086419,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage5_Site1,production_kg,ACTIVE_PATHS,2581,9.72573493212,17.8493678021,0.351341002686,9.03710656685,10.4143632974,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage5_Site2,production_kg,ACTIVE_PATHS,2581,5.23879846414,11.3143442259,0.222707778176,4.80229121892,5.67530570937,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage5_Site3,production_kg,ACTIVE_PATHS,2581,2.91915664488,6.49076768244,0.127762106257,2.66874291661,3.16957037314,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage5_Site4,production_kg,ACTIVE_PATHS,2581,5.85384797565,9.01264230853,0.1774018453,5.50614035886,6.20155559244,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage5,beginning_inventory_kg,ACTIVE_PATHS,2581,218.771511874,80.384333721,1.58225841514,215.67028538,221.872738368,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage5,ending_inventory_kg,ACTIVE_PATHS,2581,184.630144799,107.112406243,2.1083648803,180.497749634,188.762539965,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage5_Site1,ending_inventory_kg,ACTIVE_PATHS,2581,88.5967258026,69.0037909027,1.35824760595,85.934560495,91.2588911103,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage5_Site2,ending_inventory_kg,ACTIVE_PATHS,2581,29.8187727503,30.7749121702,0.605763107093,28.6314770604,31.0060684402,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage5_Site3,ending_inventory_kg,ACTIVE_PATHS,2581,19.3610475206,10.5255355556,0.207181131394,18.954972503,19.7671225381,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage5_Site4,ending_inventory_kg,ACTIVE_PATHS,2581,46.853598726,32.6980717586,0.643617939017,45.5921075655,48.1150898864,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage6,production_kg,ACTIVE_PATHS,474,38.2216744343,38.5763008206,1.77186817963,34.7488128023,41.6945360664,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage6,cumulative_production_kg,ACTIVE_PATHS,474,315.457188096,118.576765921,5.44641123979,304.782222066,326.132154126,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage6,electrolyzer_utilization,ACTIVE_PATHS,474,0.318195757862,0.321148025479,0.0147508173463,0.289284155863,0.34710735986,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage6_Site1,production_kg,ACTIVE_PATHS,474,16.5002429077,16.6152639737,0.76316434974,15.0044407822,17.9960450332,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage6_Site2,production_kg,ACTIVE_PATHS,474,8.06107923172,10.644210612,0.488904785569,7.10282585201,9.01933261144,,
