iteration,wall_clock_time_s,lower_bound_yuan,forward_sampled_objective_yuan,cut_count,cuts_added,stage1_production_kg,stage1_site1_production_kg,stage1_site2_production_kg,stage1_site3_production_kg,stage1_site4_production_kg,stage1_ending_inventory_kg,stage2_ending_inventory_kg,stage3_ending_inventory_kg
1,39.7244841,7666.68421741,47308.1057426,1051,1051,120.12,46.8,31.2,18.72,23.4,127.627481134,68.1344752038,22.638409272
2,95.9704115,42398.2513894,34060.2608721,2102,1051,0,0,0,0,0,247.747481134,308.374475204,308.374475204
3,150.4845299,53677.9820524,77636.0835316,3153,1051,92.5865840157,40.9115840157,19.5,11.7,20.475,127.627481134,77.7570592583,84.603950427
4,202.5946898,54304.8029814,78122.5226048,4204,1051,98.865,40.95,23.4,14.04,20.475,220.21406515,177.717044927,158.350978996
5,254.3301944,55839.6995847,256983.678194,5255,1051,98.865,40.95,23.4,14.04,20.475,226.492481134,287.119475204,356.200670108
6,306.1206768,55844.1670904,78714.3331766,6306,1051,101.79,40.95,23.4,14.04,23.4,226.492481134,166.999475204,147.633409272
7,349.851363,56015.9602313,9471.51371741,7357,1051,101.79,40.95,23.4,14.04,23.4,229.417481134,229.417481134,229.417481134
8,404.047618,56017.1231313,58273.9149498,8408,1051,109.98,46.8,23.4,16.38,23.4,229.417481134,178.699475204,147.243409272
9,456.732304,56272.229615,9704.96321741,9459,1051,109.98,46.8,23.4,16.38,23.4,237.607481134,237.607481134,237.607481134
10,511.2146397,56272.4836783,9704.96321741,10510,1051,109.98,46.8,23.4,16.38,23.4,237.607481134,237.607481134,237.607481134
