policy,stage,active_path_count,mean_production_kg,mean_ordinary_demand_kg,mean_ordinary_demand_served_kg,mean_ordinary_shortage_kg,mean_gross_htt_kg,mean_system_net_htt_kg,mean_beginning_inventory_kg,mean_ending_inventory_kg,mean_inventory_change_kg,mean_production_minus_served_kg,max_abs_site_balance_residual_kg,inventory_change_explanation,cause_decomposition
Stage89N,1,10000,109.98,39.0109281376,39.0109281376,0,0,0,166.638409272,237.607481135,70.9690718624,70.9690718624,7.81597009336e-14,PRODUCTION_EXCEEDS_ORDINARY_SERVICE; HTT_REALLOCATES_ONLY,FULL_SYSTEM_BALANCE; HTT_SITE_REALLOCATION_ONLY
Stage89N,2,8922,8.8587685659,59.4930059307,59.4930059307,0,3.24385140993,-1.27423041607e-17,237.607481135,186.97324377,-50.6342373648,-50.6342373648,3.97903932026e-13,ORDINARY_SERVICE_EXCEEDS_PRODUCTION; HTT_REALLOCATES_ONLY,FULL_SYSTEM_BALANCE; HTT_SITE_REALLOCATION_ONLY
Stage89N,3,7905,28.2318002828,45.4960659317,45.0627307603,0.433335171407,11.0482936917,1.56866578199e-15,187.957146063,171.126215586,-16.8309304775,-16.8309304775,6.22435436526e-12,ORDINARY_SERVICE_EXCEEDS_PRODUCTION; HTT_REALLOCATES_ONLY,FULL_SYSTEM_BALANCE; HTT_SITE_REALLOCATION_ONLY
Stage89N,4,5854,64.6835801025,39.0109281376,37.8403227013,1.1706054363,11.9867276564,7.28263822098e-17,174.77228504,201.615542441,26.8432574013,26.8432574013,1.02318153949e-12,PRODUCTION_EXCEEDS_ORDINARY_SERVICE; HTT_REALLOCATES_ONLY,FULL_SYSTEM_BALANCE; HTT_SITE_REALLOCATION_ONLY
Stage89N,5,2581,23.7375380168,59.4930059307,57.8789050914,1.61410083928,12.9471107819,-9.82897950898e-16,218.771511874,184.630144799,-34.1413670746,-34.1413670746,9.94759830064e-13,ORDINARY_SERVICE_EXCEEDS_PRODUCTION; HTT_REALLOCATES_ONLY,FULL_SYSTEM_BALANCE; HTT_SITE_REALLOCATION_ONLY
Stage89N,6,474,38.2216744343,45.4960659317,43.4412030764,2.05486285534,11.0721134588,4.64700945328e-16,203.92907677,198.709548128,-5.21952864203,-5.21952864203,8.81072992343e-13,ORDINARY_SERVICE_EXCEEDS_PRODUCTION; HTT_REALLOCATES_ONLY,FULL_SYSTEM_BALANCE; HTT_SITE_REALLOCATION_ONLY
