from_lfw,to_lfw,prob
0,0,0.23
0,1,0.75
0,2,0.02
1,0,0.05
1,1,0.18
1,2,0.75
1,3,0.02
2,1,0.05
2,2,0.2
2,3,0.75
3,2,0.05
3,3,0.95
