from_lfw,row_sum,invalid_mass_added_to_stay,min_delta,max_delta,self_loop_prob
0,1,0.05,0,2,0.23
1,1,0,-1,2,0.18
2,1,0.02,-1,1,0.2
3,1,0.77,-1,0,0.95
