from_loc_id,to_loc_id,prob
-2,-2,0.28125
-2,-1,0.4375
-2,0,0.203125
-2,1,0.078125
-1,-2,0.255813953488372
-1,-1,0.209302325581395
-1,0,0.325581395348837
-1,1,0.151162790697674
-1,2,0.0581395348837209
0,-2,0.104166666666667
0,-1,0.229166666666667
0,0,0.1875
0,1,0.291666666666667
0,2,0.135416666666667
0,3,0.0520833333333333
1,-2,0.04
1,-1,0.1
1,0,0.22
1,1,0.18
1,2,0.28
1,3,0.13
1,4,0.05
2,-1,0.04
2,0,0.1
2,1,0.22
2,2,0.18
2,3,0.28
2,4,0.13
2,5,0.05
3,0,0.04
3,1,0.1
3,2,0.22
3,3,0.18
3,4,0.28
3,5,0.13
3,6,0.05
4,1,0.04
4,2,0.1
4,3,0.22
4,4,0.18
4,5,0.28
4,6,0.13
4,7,0.05
5,2,0.04
5,3,0.1
5,4,0.22
5,5,0.18
5,6,0.28
5,7,0.13
5,8,0.05
6,3,0.04
6,4,0.1
6,5,0.22
6,6,0.18
6,7,0.28
6,8,0.13
6,9,0.05
7,4,0.04
7,5,0.1
7,6,0.22
7,7,0.18
7,8,0.28
7,9,0.13
7,10,0.05
8,5,0.0421052631578947
8,6,0.105263157894737
8,7,0.231578947368421
8,8,0.189473684210526
8,9,0.294736842105263
8,10,0.136842105263158
9,6,0.048780487804878
9,7,0.121951219512195
9,8,0.268292682926829
9,9,0.219512195121951
9,10,0.341463414634146
10,7,0.0740740740740741
10,8,0.185185185185185
10,9,0.407407407407407
10,10,0.333333333333333
