from_a,to_a,prob
1,1,1
2,1,0.142
2,2,0.841
2,3,0.012
2,4,0.005
3,1,0.02
3,2,0.283333333333333
3,3,0.641666666666667
3,4,0.05
3,5,0.005
4,2,0.02
4,3,0.189333333333333
4,4,0.729666666666667
4,5,0.056
4,6,0.005
5,3,0.02
5,4,0.196
5,5,0.778
5,6,0.006
6,4,0.02
6,5,0.6
6,6,0.38
