a,legacy_down,legacy_stay,legacy_up,candidate_down_two,candidate_down,candidate_stay,candidate_up,candidate_up_two,removed_up_mass,down_mass_added,stay_mass_added
1,0,1,0,0,0,1,0,0,0,0,0
2,0.11,0.83,0.06,0,0.142,0.841,0.012,0.005,0.048,0.032,0.011
3,0.15,0.6,0.25,0.02,0.283333333333333,0.641666666666667,0.05,0.005,0.2,0.133333333333333,0.0416666666666671
4,0.04,0.68,0.28,0.02,0.189333333333333,0.729666666666667,0.056,0.005,0.224,0.149333333333333,0.049666666666667
5,0.18,0.79,0.03,0.02,0.196,0.778,0.006,0,0.024,0.016,-0.012
6,0.5,0.5,0,0.02,0.6,0.38,0,0,0,0.1,-0.12
