tail_group,path_count,metric,mean,median,q05,q95
DELTA_WORST1,100,delta_total_objective_yuan,77268.97750839581,73735.837617652,48862.32689240331,116923.38541179211
DELTA_WORST1,100,delta_operating_cost_yuan,-8713.509177775888,-8581.545181178153,-16423.588075861953,1814.0551836257464
DELTA_WORST1,100,delta_production_electricity_cost_yuan,-3890.8735684054705,-4348.9617850905015,-6932.971839283045,-532.0476165971603
DELTA_WORST1,100,delta_holding_cost_yuan,-22.37287050307358,-21.397340964939104,-36.107434218183606,-10.971421539939419
DELTA_WORST1,100,delta_ordinary_shortage_kg,-29.725617492947418,-30.876896655776704,-73.48845767924068,20.281767846733004
DELTA_WORST1,100,delta_ordinary_shortage_cost_yuan,-5945.123498589486,-6175.37933115535,-14697.691535848133,4056.3535693466006
DELTA_WORST1,100,delta_production_kg,-102.19397561734499,-110.0627166553825,-175.73970460940518,-17.331542732184012
DELTA_WORST1,100,delta_htt_kg,48.908391251556644,54.508615233263995,-78.9184633109706,172.76902067991875
DELTA_WORST1,100,delta_htt_cost_yuan,1144.8607597221276,1401.7330745311601,-2758.968345749793,4384.104283683622
DELTA_WORST1,100,delta_terminal_inventory_kg,-131.91959311029225,-132.00909892989498,-189.30366917093693,-77.8710157347585
DELTA_WORST1,100,delta_terminal_gap_kg,85.98248668617171,83.66560885975761,58.455125617364615,123.66027472533995
DELTA_WORST1,100,delta_stage7_terminal_value_yuan,85982.48668617175,83665.60885975811,58455.12561736462,123660.27472533994
DELTA_WORST5,500,delta_total_objective_yuan,23357.267144801677,8823.669831676998,-282.3470000000016,90689.94644829909
DELTA_WORST5,500,delta_operating_cost_yuan,-5588.653100773252,-5987.351314753592,-15065.73936854048,36.26186208268523
DELTA_WORST5,500,delta_production_electricity_cost_yuan,-2524.6583771055225,-2118.4534316366917,-6470.532210601649,-281.84000000000015
DELTA_WORST5,500,delta_holding_cost_yuan,-14.170819915937457,-13.929148251592046,-34.61837803105303,-0.5069999999999997
DELTA_WORST5,500,delta_ordinary_shortage_kg,-18.707645551921388,-8.084162779542737,-63.61888210765427,11.778684207652601
DELTA_WORST5,500,delta_ordinary_shortage_cost_yuan,-3741.529110384279,-1616.832555908557,-12723.776421530842,2355.73684153051
DELTA_WORST5,500,delta_production_kg,-68.04556878961978,-57.995530766462025,-173.2712614724383,-10.14
DELTA_WORST5,500,delta_htt_kg,28.9941615777218,0.0,-71.36348957028589,157.99405877659203
DELTA_WORST5,500,delta_htt_cost_yuan,691.7052066324718,0.0,-2507.4236856278494,4361.825361469028
DELTA_WORST5,500,delta_terminal_inventory_kg,-86.75321434154115,-98.52513779416199,-181.1857831609448,-10.139999999999986
DELTA_WORST5,500,delta_terminal_gap_kg,28.945920245574964,16.9106148659707,0.0,100.07861812212234
DELTA_WORST5,500,delta_stage7_terminal_value_yuan,28945.92024557496,16910.6148659707,0.0,100078.61812212234
DELTA_BEST5,500,delta_total_objective_yuan,-53364.92749418592,-45268.469505103996,-112279.48989634652,-18732.61541378286
DELTA_BEST5,500,delta_operating_cost_yuan,-9150.939792786154,-8344.264685287555,-16539.15671873692,-3458.6962100714745
DELTA_BEST5,500,delta_production_electricity_cost_yuan,-4056.414209459851,-4407.488316126,-7354.691441201523,-281.8400000000038
DELTA_BEST5,500,delta_holding_cost_yuan,-19.240199463102492,-19.444127119753404,-35.503659922886115,-6.52824521324839
DELTA_BEST5,500,delta_ordinary_shortage_kg,-24.846241988135628,-20.3101815835606,-61.04054018978375,0.0
DELTA_BEST5,500,delta_ordinary_shortage_cost_yuan,-4969.248397627121,-4062.036316712115,-12208.108037956765,0.0
DELTA_BEST5,500,delta_production_kg,-109.68070277196479,-113.09999999999998,-207.6918792837896,-10.139999999999986
DELTA_BEST5,500,delta_htt_kg,-7.4937122359830415,-9.553226341651378,-110.03669457594,112.9781200226561
DELTA_BEST5,500,delta_htt_cost_yuan,-106.03698623607642,-150.150482815077,-2755.727588103544,3291.972893717223
DELTA_BEST5,500,delta_terminal_inventory_kg,-134.52694476010052,-133.741512051376,-214.3638022335054,-51.553438792143204
DELTA_BEST5,500,delta_terminal_gap_kg,-44.21398770139979,-36.59344040769322,-103.61101497744073,-8.16715135903789
DELTA_BEST5,500,delta_stage7_terminal_value_yuan,-44213.98770139978,-36593.440407693226,-103611.01497744073,-8167.151359037889
MIDDLE90,9000,delta_total_objective_yuan,-5755.322248106025,-6092.287159441501,-9021.46423350239,-282.3470000000016
MIDDLE90,9000,delta_operating_cost_yuan,-5750.174983306707,-6093.618500134697,-8820.776335686383,-282.3470000000016
MIDDLE90,9000,delta_production_electricity_cost_yuan,-5132.536409855092,-5795.084283082648,-7643.704461333067,-281.84000000000015
