terminal_a,terminal_loc,terminal_state_id,path_count,path_share,metric,Stage89H_mean,Stage89N_mean,paired_difference_mean,paired_difference_ci95_low,paired_difference_ci95_high,descriptive_only
2.0,1.0,63.0,321,0.0321,production_kg,367.03893874616233,190.0747401819833,-176.96419856417884,-181.32360588154148,-172.6047912468162,NO
2.0,1.0,63.0,321,0.0321,stage1_production_kg,120.1200000000001,109.97999999999989,-10.139999999999981,-10.139999999999983,-10.13999999999998,NO
2.0,1.0,63.0,321,0.0321,stage2_6_production_kg,246.91893874616233,80.09474018198347,-166.824198564179,-171.18360588154164,-162.46479124681636,NO
2.0,1.0,63.0,321,0.0321,last_active_stage_production_kg,61.190113891663415,29.268677959383748,-31.921435932279717,-34.55675904982525,-29.28611281473418,NO
2.0,1.0,63.0,321,0.0321,terminal_inventory_kg,339.46907725658684,160.10974402348367,-179.35933323310311,-183.28349404336342,-175.4351724228428,NO
2.0,1.0,63.0,321,0.0321,terminal_target_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,1.0,63.0,321,0.0321,terminal_gap_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,1.0,63.0,321,0.0321,terminal_surplus_kg,339.46907725658684,160.10974402348367,-179.35933323310311,-183.28349404336342,-175.4351724228428,NO
2.0,1.0,63.0,321,0.0321,ordinary_shortage_kg,2.7306719665523804,0.3355372976281776,-2.395134668924203,-3.4221998116975856,-1.36806952615082,NO
2.0,1.0,63.0,321,0.0321,htt_kg,30.210077435296576,20.804987000273872,-9.405090435022696,-12.348346029096675,-6.461834840948718,NO
2.0,1.0,63.0,321,0.0321,operating_cost_yuan,72178.61258978522,65035.09822993072,-7143.51435985452,-7315.902661450519,-6971.126058258521,NO
2.0,1.0,63.0,321,0.0321,total_objective_yuan,72178.61258978522,65035.09822993072,-7143.51435985452,-7315.902661450519,-6971.126058258521,NO
2.0,1.0,63.0,321,0.0321,terminal_inventory_site1_kg,155.0593880950217,66.82285238832232,-88.2365357066995,-90.85194154059546,-85.62112987280354,NO
2.0,1.0,63.0,321,0.0321,terminal_target_site1_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,1.0,63.0,321,0.0321,terminal_gap_site1_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,1.0,63.0,321,0.0321,terminal_surplus_site1_kg,155.0593880950217,66.82285238832232,-88.2365357066995,-90.85194154059546,-85.62112987280354,NO
2.0,1.0,63.0,321,0.0321,site1_cumulative_production_kg,165.98790061415622,81.98824443861177,-83.99965617554444,-86.24658856391211,-81.75272378717678,NO
2.0,1.0,63.0,321,0.0321,site1_last_active_production_kg,31.998206758271152,13.115792837096496,-18.882413921174656,-20.269953312978714,-17.4948745293706,NO
2.0,1.0,63.0,321,0.0321,terminal_inventory_site2_kg,75.7240879002262,21.94534517854567,-53.77874272168053,-56.53063834322306,-51.026847100138,NO
2.0,1.0,63.0,321,0.0321,terminal_target_site2_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,1.0,63.0,321,0.0321,terminal_gap_site2_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,1.0,63.0,321,0.0321,terminal_surplus_site2_kg,75.7240879002262,21.94534517854567,-53.77874272168053,-56.53063834322306,-51.026847100138,NO
2.0,1.0,63.0,321,0.0321,site2_cumulative_production_kg,78.81213861817625,33.65667403567931,-45.15546458249686,-46.669152899972865,-43.64177626502086,NO
2.0,1.0,63.0,321,0.0321,site2_last_active_production_kg,9.381726086078858,2.051779838260031,-7.329946247818815,-8.434409942424091,-6.225482553213538,NO
2.0,1.0,63.0,321,0.0321,terminal_inventory_site3_kg,22.633991163785595,25.240777177884773,2.6067860140991708,0.310105201261059,4.903466826937283,NO
2.0,1.0,63.0,321,0.0321,terminal_target_site3_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,1.0,63.0,321,0.0321,terminal_gap_site3_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,1.0,63.0,321,0.0321,terminal_surplus_site3_kg,22.633991163785595,25.240777177884773,2.6067860140991708,0.310105201261059,4.903466826937283,NO
2.0,1.0,63.0,321,0.0321,site3_cumulative_production_kg,41.695268203362815,26.073074931415125,-15.622193271947763,-16.730766505347678,-14.513620038547849,NO
2.0,1.0,63.0,321,0.0321,site3_last_active_production_kg,4.4680042821386134,2.8062923840661465,-1.6617118980724674,-2.3001639399383014,-1.0232598562066335,NO
2.0,1.0,63.0,321,0.0321,terminal_inventory_site4_kg,86.05161009755334,46.100769278731,-39.95084081882237,-42.94844159611297,-36.95324004153177,NO
2.0,1.0,63.0,321,0.0321,terminal_target_site4_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,1.0,63.0,321,0.0321,terminal_gap_site4_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,1.0,63.0,321,0.0321,terminal_surplus_site4_kg,86.05161009755334,46.100769278731,-39.95084081882237,-42.94844159611297,-36.95324004153177,NO
2.0,1.0,63.0,321,0.0321,site4_cumulative_production_kg,80.543631310467,48.3567467762772,-32.18688453418984,-32.99542844896549,-31.378340619414196,NO
