cohort,cohort_timing,stage,site,local_hour,time_resolution,metric,path_count,Stage89H_mean,Stage89N_mean,paired_difference_mean,paired_difference_ci95_low,paired_difference_ci95_high,descriptive_only
EARLY_A1,S1->A1,1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,1078,46.800000000000686,46.800000000000686,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg,1078,14.839201083277215,14.839201083277215,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,served_demand_kg,1078,14.839201083277215,14.839201083277215,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,shortage_kg,1078,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_in_kg,1078,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_out_kg,1078,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,1078,90.00535596159179,90.00535596159179,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,1078,58.04455704487038,58.04455704487038,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,1078,31.200000000000426,23.400000000000343,-7.800000000000106,-7.800000000000113,-7.8000000000001,NO
EARLY_A1,S1->A1,1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg,1078,12.645962732919077,12.645962732919077,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,served_demand_kg,1078,12.645962732919077,12.645962732919077,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,shortage_kg,1078,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_in_kg,1078,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_out_kg,1078,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,1078,68.86217520570662,61.06217520570508,-7.800000000000106,-7.800000000000113,-7.8000000000001,NO
EARLY_A1,S1->A1,1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,1078,50.308137938625556,50.308137938625556,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,1078,18.719999999999985,16.379999999999747,-2.339999999999998,-2.339999999999998,-2.339999999999998,NO
EARLY_A1,S1->A1,1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg,1078,3.964491941739217,3.964491941739217,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,served_demand_kg,1078,3.964491941739217,3.964491941739217,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,shortage_kg,1078,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_in_kg,1078,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_out_kg,1078,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,1078,40.017641500569894,37.67764150057048,-2.3400000000000043,-2.3400000000000043,-2.3400000000000043,NO
EARLY_A1,S1->A1,1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,1078,25.26213344230928,25.26213344230928,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,1078,23.400000000000343,23.400000000000343,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg,1078,7.561272379628235,7.561272379628235,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,served_demand_kg,1078,7.561272379628235,7.561272379628235,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,shortage_kg,1078,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_in_kg,1078,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_out_kg,1078,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,1078,48.86230846661568,48.86230846661568,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,1078,33.023580846242595,33.023580846242595,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,937,46.80000000000035,46.80000000000035,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg,937,14.83920108327715,14.83920108327715,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,served_demand_kg,937,14.83920108327715,14.83920108327715,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,shortage_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_in_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_out_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,937,90.0053559615918,90.0053559615918,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,937,58.04455704487015,58.04455704487015,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,937,31.200000000000486,23.400000000000176,-7.8000000000001215,-7.8000000000001295,-7.8000000000001135,NO
EARLY_A1,S2->A1,1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg,937,12.645962732919143,12.645962732919143,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,served_demand_kg,937,12.645962732919143,12.645962732919143,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,shortage_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_in_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_out_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,937,68.86217520570642,61.06217520570509,-7.8000000000001215,-7.8000000000001295,-7.8000000000001135,NO
EARLY_A1,S2->A1,1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,937,50.30813793862525,50.30813793862525,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,937,18.71999999999981,16.379999999999676,-2.3399999999999763,-2.3399999999999777,-2.339999999999975,NO
EARLY_A1,S2->A1,1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg,937,3.964491941739198,3.964491941739198,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,served_demand_kg,937,3.964491941739198,3.964491941739198,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,shortage_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_in_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_out_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,937,40.017641500569894,37.67764150057005,-2.339999999999983,-2.3399999999999843,-2.3399999999999817,NO
EARLY_A1,S2->A1,1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,937,25.26213344230928,25.26213344230928,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,937,23.400000000000176,23.400000000000176,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg,937,7.561272379628201,7.561272379628201,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,served_demand_kg,937,7.561272379628201,7.561272379628201,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,shortage_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_in_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_out_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,937,48.86230846661535,48.86230846661535,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,937,33.02358084624234,33.02358084624234,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,937,46.48159018143042,0.03745997865528282,-46.44413020277514,-46.59701659493911,-46.29124381061117,NO
EARLY_A1,S2->A1,2,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg,937,22.472918077183127,22.472918077183127,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,served_demand_kg,937,22.472918077183127,22.472918077183127,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,shortage_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_in_kg,937,0.7341589350838719,0.0,-0.7341589350838719,-0.9808196852190552,-0.4874981849486885,NO
EARLY_A1,S2->A1,2,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_out_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,937,114.7481870009246,67.56989786306417,-47.17828913785906,-47.461919532239364,-46.89465874347876,NO
EARLY_A1,S2->A1,2,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,937,90.0053559615918,90.0053559615918,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,937,22.25146704595443,0.0,-22.25146704595443,-22.740723131966902,-21.76221095994196,NO
EARLY_A1,S2->A1,2,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg,937,14.658385093167556,14.658385093167556,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,served_demand_kg,937,14.658385093167556,14.658385093167556,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,shortage_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_in_kg,937,0.2345885311382544,0.0,-0.2345885311382544,-0.31591936148657646,-0.15325770078993234,NO
EARLY_A1,S2->A1,2,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_out_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,937,76.68984568963097,46.403790112538466,-30.286055577092647,-30.793831415991562,-29.77827973819373,NO
EARLY_A1,S2->A1,2,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,937,68.86217520570642,61.06217520570509,-7.8000000000001215,-7.8000000000001295,-7.8000000000001135,NO
EARLY_A1,S2->A1,2,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,937,9.777843658416579,0.0,-9.777843658416579,-10.142266983230112,-9.413420333603046,NO
EARLY_A1,S2->A1,2,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg,937,9.07472205464099,9.07472205464099,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,served_demand_kg,937,9.07472205464099,9.07472205464099,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,shortage_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_in_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_out_kg,937,0.968747466222128,0.0,-0.968747466222128,-1.2941766076618015,-0.6433183247824547,NO
EARLY_A1,S2->A1,2,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,937,39.75201563812398,28.602919445929505,-11.149096192194435,-11.674186745392822,-10.624005638996048,NO
EARLY_A1,S2->A1,2,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,937,40.017641500569894,37.67764150057005,-2.339999999999983,-2.3399999999999843,-2.3399999999999817,NO
EARLY_A1,S2->A1,2,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,937,23.022278548559377,1.036392742796152,-21.98588580576312,-22.137273588204387,-21.834498023321856,NO
EARLY_A1,S2->A1,2,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg,937,13.286980705718976,13.286980705718976,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,served_demand_kg,937,13.286980705718976,13.286980705718976,0.0,0.0,0.0,NO
