terminal_a,path_count,path_share,metric,Stage89H_mean,Stage89N_mean,paired_difference_mean,paired_difference_ci95_low,paired_difference_ci95_high,descriptive_only
2.0,4687,0.4687,production_kg,349.5354253146667,179.44642378037616,-170.0890015342874,-171.26834577163152,-168.9096572969433,NO
2.0,4687,0.4687,stage1_production_kg,120.11999999999604,109.97999999999317,-10.139999999999544,-10.139999999999556,-10.139999999999532,NO
2.0,4687,0.4687,stage2_6_production_kg,229.41542531466538,69.46642378037778,-159.94900153428694,-161.12834577163105,-158.76965729694282,NO
2.0,4687,0.4687,last_active_stage_production_kg,50.204710075360666,24.38617898383998,-25.81853109152043,-26.509446848476212,-25.12761533456465,NO
2.0,4687,0.4687,terminal_inventory_kg,320.8801238107667,148.99619694115862,-171.8839268696085,-172.9889331004101,-170.7789206388069,NO
2.0,4687,0.4687,terminal_target_kg,5.633863960857157,0.0,-5.633863960857157,-5.867043154518755,-5.40068476719556,NO
2.0,4687,0.4687,terminal_gap_kg,0.01894164237258866,0.0,-0.01894164237258866,-0.02561183605313044,-0.012271448692046879,NO
2.0,4687,0.4687,terminal_surplus_kg,315.2462598499094,148.99619694115862,-166.2500629087515,-167.35701387919315,-165.14311193830983,NO
2.0,4687,0.4687,ordinary_shortage_kg,2.1110382087482105,0.31611287342704153,-1.7949253353211692,-2.035757800055939,-1.5540928705863994,NO
2.0,4687,0.4687,htt_kg,21.040157012282396,13.82703896029835,-7.213118051983958,-7.867071183688158,-6.559164920279758,NO
2.0,4687,0.4687,operating_cost_yuan,71380.21979157478,64797.915740455435,-6582.304051119629,-6630.118164008456,-6534.489938230801,NO
2.0,4687,0.4687,total_objective_yuan,71399.16143394737,64797.915740455435,-6601.245693492219,-6649.893315605018,-6552.598071379421,NO
2.0,4687,0.4687,terminal_inventory_site1_kg,145.5516480475668,62.088733183521214,-83.462914864046,-84.14426213735125,-82.78156759074075,NO
2.0,4687,0.4687,terminal_target_site1_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,4687,0.4687,terminal_gap_site1_kg,0.0,0.0,0.0,0.0,0.0,NO
