source_path,bytes,sha256,role,git_commit
C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\89H-stage85r-single-loc4-stage88-dro-gap1000-10iter-oos10000\run-003\oos\loc4\oos_path_manifest.csv,318828,a186e8d4ac870082d0925a05311ab8f4c5a0b70cb61b6fd06955a48a647b3941,accepted read-only source,NO_CHANGE
C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\89H-stage85r-single-loc4-stage88-dro-gap1000-10iter-oos10000\run-003\oos\loc4\oos_path_summary.csv,3226265,44e9fa38b1b24234c8ab629ab188b44402e77f57309a9810b4947a4ba46ad468,accepted read-only source,NO_CHANGE
C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\89H-stage85r-single-loc4-stage88-dro-gap1000-10iter-oos10000\run-003\oos\loc4\oos_stage_summary.csv,6925260,2e43ca056f8ff5927b68d17ca60339ac2432daadda04aa865e5643d8a9404c20,accepted read-only source,NO_CHANGE
C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\89H-stage85r-single-loc4-stage88-dro-gap1000-10iter-oos10000\run-003\oos\loc4\oos_stage_site_summary.csv,18335356,ae562f3eed1e5d0f9658e84031528a4fce5aea894507d4d1f0df0231bdea27a3,accepted read-only source,NO_CHANGE
C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\89H-stage85r-single-loc4-stage88-dro-gap1000-10iter-oos10000\run-003\oos\loc4\oos_hour_site.csv,209021373,597a9a9ad631da2459905486f025870ec0be5492a4077d478ee6408f28ed563b,accepted read-only source,NO_CHANGE
C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\89H-stage85r-single-loc4-stage88-dro-gap1000-10iter-oos10000\run-003\oos\loc4\oos_metadata.csv,758,8c6b2fd88ff78b1379abd40b49321440df21d428ed4109fa8ca5275da4498220,accepted read-only source,NO_CHANGE
C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\89H-stage85r-single-loc4-stage88-dro-gap1000-10iter-oos10000\run-003\oos\loc4\oos_path_bank.mat,108009,6bf3d1190a402ded052b8d3d08ed369042236e151f562bdd9fd4db7b8ff386c6,accepted read-only source,NO_CHANGE
C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\stage89n-stage89k-adopted-loc4-fresh-8h-retraining\run-003\oos\loc4\oos_path_manifest.csv,318828,a186e8d4ac870082d0925a05311ab8f4c5a0b70cb61b6fd06955a48a647b3941,accepted read-only source,NO_CHANGE
C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\stage89n-stage89k-adopted-loc4-fresh-8h-retraining\run-003\oos\loc4\oos_path_summary.csv,3022384,78d224b6e480b0e08fd1a9d8dafcd8c0af33f2be3e92ca9b01c8495c3c51ca84,accepted read-only source,NO_CHANGE
C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\stage89n-stage89k-adopted-loc4-fresh-8h-retraining\run-003\oos\loc4\oos_stage_summary.csv,6633453,527dca77aba0506ee1b86f5af5a7770b0263f8443685e190c5e3891b08848f78,accepted read-only source,NO_CHANGE
C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\stage89n-stage89k-adopted-loc4-fresh-8h-retraining\run-003\oos\loc4\oos_stage_site_summary.csv,18015657,879e887d3b3e1b1a37c852af14507ff9ddf74735c971fc149791fc3b23299ae5,accepted read-only source,NO_CHANGE
C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\stage89n-stage89k-adopted-loc4-fresh-8h-retraining\run-003\oos\loc4\oos_metadata.csv,728,bb7e18b11ac41efaa267abea63c74a1f996860c4a20f86656e025f5ef62cc251,accepted read-only source,NO_CHANGE
C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\85U-D-p200-wait-and-see-effect-size-audit\run-005\scripts\stage85ud_p200_wait_and_see_effect_size_audit.py,47698,3cf64d8fe927c45d83a968bc1340fff1bae57acf271ca7733e3aa474c66a1bd5,accepted read-only source,NO_CHANGE
