cohort,cohort_timing,stage,local_hour,time_resolution,metric,path_count,Stage89H_mean,Stage89N_mean,paired_difference_mean,paired_difference_ci95_low,paired_difference_ci95_high,descriptive_only
EARLY_A1,S1->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,1078,120.11999999999827,109.97999999999897,-10.139999999999961,-10.139999999999963,-10.13999999999996,NO
EARLY_A1,S1->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,1078,39.010928137562765,39.010928137562765,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,1078,39.010928137562765,39.010928137562765,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,1078,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,1078,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S1->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,1078,247.74748113448592,237.60748113447931,-10.13999999999994,-10.139999999999944,-10.139999999999937,NO
EARLY_A1,S1->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,1078,166.63840927204254,166.63840927204254,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,937,120.11999999999871,109.97999999999942,-10.140000000000043,-10.140000000000047,-10.14000000000004,NO
EARLY_A1,S2->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,937,39.010928137562786,39.010928137562786,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,937,39.010928137562786,39.010928137562786,0.0,0.0,0.0,NO
