component,Stage89H_mean,Stage89N_mean,paired_difference_mean,paired_difference_ci95_low,paired_difference_ci95_high,reality_scope
electricity_grid_cost_yuan,60075.99342816489,55211.762554267785,-4864.230873896348,-4908.2404283173,-4820.221319475397,MODELED_OPERATING_COMPONENT
production_om_cost_yuan,198.57024132327138,114.46471702177341,-84.10552430150078,-84.88173236077294,-83.32931624222861,MODELED_OPERATING_COMPONENT
production_electricity_cost_yuan,60274.56366948714,55326.22727129122,-4948.336398197876,-4993.109217816699,-4903.563578579054,MODELED_OPERATING_COMPONENT
htt_cost_yuan,537.937659274366,512.1184910403801,-25.819168233981777,-42.730073269725764,-8.90826319823779,MODELED_OPERATING_COMPONENT
ordinary_shortage_cost_yuan,1228.0690034873637,308.3647602733619,-919.7042432140003,-974.7256524833678,-864.6828339446328,MODELED_OPERATING_COMPONENT
holding_other_operating_cost_yuan,54.01721471555701,35.739894707272676,-18.277320008284722,-18.49536162375088,-18.059278392818563,MODELED_OPERATING_COMPONENT
terminal_gap_soft_target_penalty_yuan,6351.0628052349275,5583.026894124308,-768.0359111106316,-1073.005057924526,-463.0667642967372,SOFT_TARGET_INCENTIVE_NOT_REAL_EXPENDITURE
actual_operating_cost_yuan,62094.5875469643,56182.45041731101,-5912.13712965402,-5970.8135012947105,-5853.46075801333,MODELED_OPERATING_COMPONENT
reported_objective_yuan,68445.6503521993,61765.47731143465,-6680.173040764664,-6992.019591759845,-6368.326489769483,MODELED_OPERATING_COMPONENT
