terminal_loc,path_count,path_share,metric,Stage89H_mean,Stage89N_mean,paired_difference_mean,paired_difference_ci95_low,paired_difference_ci95_high,descriptive_only
1.0,438,0.0438,production_kg,391.0898748692365,232.174920835646,-158.91495403359036,-164.01474375797102,-153.8151643092097,NO
1.0,438,0.0438,stage1_production_kg,120.12000000000077,109.98000000000077,-10.139999999999986,-10.139999999999988,-10.139999999999985,NO
1.0,438,0.0438,stage2_6_production_kg,270.96987486923666,122.19492083564613,-148.77495403359046,-153.87474375797112,-143.6751643092098,NO
1.0,438,0.0438,last_active_stage_production_kg,69.50025585291583,44.90016868696571,-24.60008716595017,-27.201715199941262,-21.99845913195908,NO
1.0,438,0.0438,terminal_inventory_kg,369.0179416633485,201.4870484889185,-167.53089317443036,-171.53319645201506,-163.52858989684566,NO
1.0,438,0.0438,terminal_target_kg,117.40258217493673,67.37522264396867,-50.02735953096797,-58.06536002180189,-41.989359040134055,NO
1.0,438,0.0438,terminal_gap_kg,17.704333903780327,15.11568522424312,-2.588648679537214,-5.308597239621383,0.1312998805469543,NO
1.0,438,0.0438,terminal_surplus_kg,259.2908508906965,139.6461383846441,-119.64471250605258,-129.64224373088445,-109.64718128122072,NO
1.0,438,0.0438,ordinary_shortage_kg,12.31499902256274,3.699059881722746,-8.615939140839984,-10.395447003626451,-6.836431278053517,NO
1.0,438,0.0438,htt_kg,49.51825226219049,42.39416147404421,-7.124090788146261,-11.07921020113152,-3.1689713751610027,NO
1.0,438,0.0438,operating_cost_yuan,76855.17111019001,69172.63913688359,-7682.531973306493,-7953.545121018096,-7411.518825594889,NO
1.0,438,0.0438,total_objective_yuan,94559.50501397034,84288.32436112665,-10271.180652843705,-13037.666366311016,-7504.694939376393,NO
1.0,438,0.0438,terminal_inventory_site1_kg,169.77913991631624,92.96230709589422,-76.81683282042194,-80.49862319114345,-73.13504244970042,NO
1.0,438,0.0438,terminal_target_site1_kg,51.866587833693465,28.631260888960437,-23.235326944733036,-26.944154797535823,-19.526499091930248,NO
1.0,438,0.0438,terminal_gap_site1_kg,2.6225346300673467,0.9681634659825341,-1.6543711640848124,-2.518163580006747,-0.790578748162878,NO
1.0,438,0.0438,terminal_surplus_site1_kg,120.53508671269002,65.29920967291639,-55.235877039773634,-61.186336475346316,-49.28541760420095,NO
1.0,438,0.0438,site1_cumulative_production_kg,172.92979570099163,98.30417116844475,-74.62562453254668,-77.23986629496004,-72.01138277013332,NO
1.0,438,0.0438,site1_last_active_production_kg,34.04511720347657,18.947822456255764,-15.097294747220916,-16.4695172498454,-13.725072244596433,NO
1.0,438,0.0438,terminal_inventory_site2_kg,80.10100948638532,29.366875196011385,-50.734134290373945,-53.52625288218272,-47.94201569856517,NO
1.0,438,0.0438,terminal_target_site2_kg,18.33253046673687,8.83683919672385,-9.495691270013063,-11.000156446154445,-7.991226093871681,NO
1.0,438,0.0438,terminal_gap_site2_kg,1.7079567389301376,2.022616317352995,0.3146595784228573,-0.47740373368384303,1.1067228905295576,NO
1.0,438,0.0438,terminal_surplus_site2_kg,63.476435758578575,22.55265231664056,-40.92378344193805,-44.15659082003589,-37.69097606384021,NO
1.0,438,0.0438,site2_cumulative_production_kg,86.99490683110099,46.61779911410919,-40.37710771699178,-41.94677323471347,-38.80744219927009,NO
1.0,438,0.0438,site2_last_active_production_kg,12.542656236024118,7.435146875460474,-5.107509360563666,-6.080061650766689,-4.1349570703606435,NO
1.0,438,0.0438,terminal_inventory_site3_kg,25.97308522180843,22.481324945661193,-3.4917602761472613,-5.834067451971681,-1.1494531003228423,NO
1.0,438,0.0438,terminal_target_site3_kg,5.777603628300534,5.561609714163364,-0.21599391413715346,-0.49536508911560523,0.0633772608412983,NO
1.0,438,0.0438,terminal_gap_site3_kg,0.8260824017902691,3.1444763856814726,2.3183939838912058,1.5582774037384446,3.0785105640439667,NO
1.0,438,0.0438,terminal_surplus_site3_kg,21.021563995298177,20.064191617179297,-0.957372378118899,-3.0380173783117783,1.1232726220739806,NO
1.0,438,0.0438,site3_cumulative_production_kg,46.4835867156269,32.2073536842382,-14.276233031388639,-15.237140091096522,-13.315325971680755,NO
1.0,438,0.0438,site3_last_active_production_kg,6.2299864394935325,5.5085944029155804,-0.7213920365779515,-1.274197448473326,-0.168586624682577,NO
1.0,438,0.0438,terminal_inventory_site4_kg,93.16470703883897,56.67654125135145,-36.48816578748739,-40.072329552487986,-32.90400202248679,NO
1.0,438,0.0438,terminal_target_site4_kg,41.42586024620567,24.345512844121004,-17.08034740208466,-19.81765650086725,-14.343038303302066,NO
1.0,438,0.0438,terminal_gap_site4_kg,12.547760132992579,8.980429055226113,-3.567331077766469,-5.86168609066925,-1.2729760648636885,NO
1.0,438,0.0438,terminal_surplus_site4_kg,64.28660692562578,41.31145746245656,-22.97514946316917,-26.842334120946614,-19.107964805391727,NO
