figure,source_csv,description,bytes,sha256
figure01_cohort_composition.png,path_cohort_counts.csv,Cohort counts,37128,49d0665dc0b5b0ac39f58931e957dad173f38ebbe2c819dedbdeafd4db508fbe
figure02_early_a1_production.png,early_a1_residual_inventory.csv,A1 pre-dissipation production,68076,32d07e88379690c0d61fb3cacea17048b3aa52e14c54e2329613dc18c8d380e8
figure03_early_a1_residual_inventory.png,early_a1_residual_inventory.csv,Residual preventive inventory,42875,fabf929a95f7b9d495a16f332c2381c35a4e9359c7042479ec2598ade36a7af4
figure04_stage7_arrival.png,stage7_arrival_timing_analysis.csv,Stage7 arrival timing,71486,c791358a1c729003d2b4146733a9f079cd5c7c76f4fbbb82e51d30c7cd4401a4
figure05_stage7_intensity.png,stage7_by_final_intensity.csv,Stage7 intensity response,93290,2d6e4de622f658a8c4aebc1af902fcab8d27aabf0e97b92c991be4d63dffebc5
figure06_shared_prefix.png,shared_prefix_post_divergence_response.csv,Canonical PCR-WES pairs,67054,7896fcf79167462c115c28051a9cf1c83d113700228ac57a39089c2aebef14cc
figure07_pcr_wes.png,pcr_wes_comparison.csv,PCR/WES medians,50463,ca2465caf9cbab745b4c2d4422337ce4a69da14aecf91becb98a2c6b097b7bac
figure08_loc_response.png,shared_prefix_loc_response.csv,Spatial response,53758,f49528a331aae5b6eac753c673f583c0cd2bbb3cfea414da0539a0137346051a
figure09_delta_cost.png,paired_path_delta_master.csv,Paired cost differences,31679,7d5b30a001e42147d82d6d957d51e36195da744f15c84d7ea0cd4552e6e7cfa5
figure10_tail_paths.png,representative_path_selection.csv; cohort_policy_paired_difference.csv,Mechanical tail representatives,92815,b084a1f78f634d6b44e0dbc444f8c4e7bb426f7ccffcb76231145ed62bfd118a
