a0,loc0,lfw0,risk_proxy,weighted_q95,weighted_q99,weighted_q995,empirical_mass_sum,observed_unique_path_count,sample_rows,weighting_mode
2,1,0,grid_max_wind_mps,20.7972926228444,28.5462838645292,36.8591512423487,1,5525,15000,frequency/15000
2,1,0,grid_cumulative_excess_mps,0,65.8892634927125,224.944308396354,1,5525,15000,frequency/15000
2,1,0,road_max_wind_mps,20.7972926228444,28.5462838645292,36.8591512423487,1,5525,15000,frequency/15000
2,1,0,road_cumulative_excess_mps,0,0,73.751345462181,1,5525,15000,frequency/15000
2,1,0,grid_longest_consecutive_exceedance_windows,0,1,2,1,5525,15000,frequency/15000
2,1,0,road_longest_consecutive_exceedance_windows,0,0,1,1,5525,15000,frequency/15000
2,2,0,grid_max_wind_mps,20.7972926228444,29.0474711013738,36.8591512423487,1,5648,15000,frequency/15000
2,2,0,grid_cumulative_excess_mps,0,70.1583738195259,227.197185452373,1,5648,15000,frequency/15000
2,2,0,road_max_wind_mps,20.7972926228444,29.0474711013738,36.8591512423487,1,5648,15000,frequency/15000
2,2,0,road_cumulative_excess_mps,0,0,91.9788453184708,1,5648,15000,frequency/15000
2,2,0,grid_longest_consecutive_exceedance_windows,0,1,2,1,5648,15000,frequency/15000
2,2,0,road_longest_consecutive_exceedance_windows,0,0,1,1,5648,15000,frequency/15000
2,3,0,grid_max_wind_mps,20.7972926228444,28.5344422458497,36.4392492003936,1,5807,15000,frequency/15000
2,3,0,grid_cumulative_excess_mps,0,48.8118107908476,190.53433822127,1,5807,15000,frequency/15000
2,3,0,road_max_wind_mps,20.7972926228444,28.5344422458497,36.4392492003936,1,5807,15000,frequency/15000
2,3,0,road_cumulative_excess_mps,0,0,72.2726358761838,1,5807,15000,frequency/15000
2,3,0,grid_longest_consecutive_exceedance_windows,0,2,2,1,5807,15000,frequency/15000
2,3,0,road_longest_consecutive_exceedance_windows,0,0,1,1,5807,15000,frequency/15000
2,4,0,grid_max_wind_mps,20.7972926228444,28.5462838645292,36.8591512423487,1,5856,15000,frequency/15000
2,4,0,grid_cumulative_excess_mps,0,55.2360288204296,238.89638277077,1,5856,15000,frequency/15000
2,4,0,road_max_wind_mps,20.7972926228444,28.5462838645292,36.8591512423487,1,5856,15000,frequency/15000
2,4,0,road_cumulative_excess_mps,0,0,115.17283170553,1,5856,15000,frequency/15000
2,4,0,grid_longest_consecutive_exceedance_windows,0,1,2,1,5856,15000,frequency/15000
2,4,0,road_longest_consecutive_exceedance_windows,0,0,1,1,5856,15000,frequency/15000
2,5,0,grid_max_wind_mps,20.7886654540691,28.4181071776039,33.9667155812271,1,5782,15000,frequency/15000
2,5,0,grid_cumulative_excess_mps,0,40.219141010148,105.122094472432,1,5782,15000,frequency/15000
2,5,0,road_max_wind_mps,20.7886654540691,28.4181071776039,33.9667155812271,1,5782,15000,frequency/15000
2,5,0,road_cumulative_excess_mps,0,0,18.2274998562898,1,5782,15000,frequency/15000
2,5,0,grid_longest_consecutive_exceedance_windows,0,1,2,1,5782,15000,frequency/15000
