a,loc,lfw,x_coord,y_coord,Vmax_mps,grid_max_wind_mps,grid_excess_sum_mps,road_max_wind_mps,road_excess_sum_mps,Rmax_ref,wind_decay_B
1,-2,0,-101,-89.9999703886,0,0,0,0,0,40,0.6
2,-2,0,-101,-89.9999703886,20.8,10.7530008592873,0,10.7530008592873,0,40,0.6
3,-2,0,-101,-89.9999703886,28.55,14.7595276217622,0,14.7595276217622,0,40,0.6
4,-2,0,-101,-89.9999703886,37.05,19.1537827806055,0,19.1537827806055,0,40,0.6
5,-2,0,-101,-89.9999703886,46.2,23.8840692163016,0,23.8840692163016,0,40,0.6
6,-2,0,-101,-89.9999703886,55.5,28.6919013312714,52.4093678648876,28.6919013312714,0,40,0.6
1,-1,0,-84,-89.9999703886,0,0,0,0,0,40,0.6
2,-1,0,-84,-89.9999703886,20.8,11.2084717209527,0,11.2084717209527,0,40,0.6
3,-1,0,-84,-89.9999703886,28.55,15.3847051746731,0,15.3847051746731,0,40,0.6
4,-1,0,-84,-89.9999703886,37.05,19.965090252947,0,19.965090252947,0,40,0.6
5,-1,0,-84,-89.9999703886,46.2,24.8957400725008,0,24.8957400725008,0,40,0.6
6,-1,0,-84,-89.9999703886,55.5,29.9072202169652,87.8758006673957,29.9072202169652,0,40,0.6
1,0,0,-67,-89.9999703886,0,0,0,0,0,40,0.6
2,0,0,-67,-89.9999703886,20.8,11.5772996195231,0,11.5772996195231,0,40,0.6
3,0,0,-67,-89.9999703886,28.55,15.890956929682,0,15.890956929682,0,40,0.6
4,0,0,-67,-89.9999703886,37.05,20.6220649472756,0,20.6220649472756,0,40,0.6
5,0,0,-67,-89.9999703886,46.2,25.7149635779793,0.956030518028857,25.7149635779793,0,40,0.6
6,0,0,-67,-89.9999703886,55.5,30.8913523501699,119.465565301426,30.8913523501699,1.21341328464505,40,0.6
1,1,0,-50,-89.9999703886,0,0,0,0,0,40,0.6
2,1,0,-50,-89.9999703886,20.8,11.8044638289534,0,11.8044638289534,0,40,0.6
3,1,0,-50,-89.9999703886,28.55,16.2027616498374,0,16.2027616498374,0,40,0.6
4,1,0,-50,-89.9999703886,37.05,21.0267011953232,0,21.0267011953232,0,40,0.6
5,1,0,-50,-89.9999703886,46.2,26.2195302354637,4.57634441572342,26.2195302354637,0,40,0.6
6,1,0,-50,-89.9999703886,55.5,31.4974876205246,143.823683173342,31.4974876205246,7.32138837246946,40,0.6
1,2,0,-33,-89.9999703886,0,0,0,0,0,40,0.6
2,2,0,-33,-89.9999703886,20.8,11.9117250260261,0,11.9117250260261,0,40,0.6
3,2,0,-33,-89.9999703886,28.55,16.3499879563964,0,16.3499879563964,0,40,0.6
4,2,0,-33,-89.9999703886,37.05,21.217760202609,0,21.217760202609,0,40,0.6
5,2,0,-33,-89.9999703886,46.2,26.4577738558849,8.71472742913763,26.4577738558849,0,40,0.6
6,2,0,-33,-89.9999703886,55.5,31.7836893723293,157.712081305936,31.7836893723293,14.2093191065057,40,0.6
1,3,0,-17,-89.9999703886,0,0,0,0,0,40,0.6
2,3,0,-17,-89.9999703886,20.8,12.0032632189915,0,12.0032632189915,0,40,0.6
3,3,0,-17,-89.9999703886,28.55,16.4756329279907,0,16.4756329279907,0,40,0.6
4,3,0,-17,-89.9999703886,37.05,21.3808126088286,0,21.3808126088286,0,40,0.6
5,3,0,-17,-89.9999703886,46.2,26.6610942652599,9.97570271781416,26.6610942652599,0,40,0.6
6,3,0,-17,-89.9999703886,55.5,32.027937916059,159.488810310694,32.027937916059,16.3153744593687,40,0.6
1,4,0,0,-89.9999703886,0,0,0,0,0,40,0.6
2,4,0,0,-89.9999703886,20.8,11.902015243787,0,11.902015243787,0,40,0.6
3,4,0,0,-89.9999703886,28.55,16.3366603466403,0,16.3366603466403,0,40,0.6
4,4,0,0,-89.9999703886,37.05,21.2004646529955,0,21.2004646529955,0,40,0.6
5,4,0,0,-89.9999703886,46.2,26.4362069357191,6.55447452136849,26.4362069357191,0,40,0.6
6,4,0,0,-89.9999703886,55.5,31.7577810591431,149.154951975924,31.7577810591431,10.7041255488392,40,0.6
1,5,0,17,-89.9999703886,0,0,0,0,0,40,0.6
2,5,0,17,-89.9999703886,20.8,11.6173716063276,0,11.6173716063276,0,40,0.6
3,5,0,17,-89.9999703886,28.55,15.9459595846468,0,15.9459595846468,0,40,0.6
4,5,0,17,-89.9999703886,37.05,20.693443173771,0,20.693443173771,0,40,0.6
5,5,0,17,-89.9999703886,46.2,25.803969625593,2.295877962207,25.803969625593,0,40,0.6
6,5,0,17,-89.9999703886,55.5,30.998275199576,127.576350405388,30.998275199576,3.59696227809504,40,0.6
1,6,0,33,-89.9999703886,0,0,0,0,0,40,0.6
2,6,0,33,-89.9999703886,20.8,11.2281066218692,0,11.2281066218692,0,40,0.6
3,6,0,33,-89.9999703886,28.55,15.4116559641521,0,15.4116559641521,0,40,0.6
4,6,0,33,-89.9999703886,37.05,20.0000649202044,0,20.0000649202044,0,40,0.6
5,6,0,33,-89.9999703886,46.2,24.9393522081902,0,24.9393522081902,0,40,0.6
6,6,0,33,-89.9999703886,55.5,29.9596114189297,99.7184597126226,29.9596114189297,0,40,0.6
1,7,0,50,-89.9999703886,0,0,0,0,0,40,0.6
2,7,0,50,-89.9999703886,20.8,10.7418857305704,0,10.7418857305704,0,40,0.6
3,7,0,50,-89.9999703886,28.55,14.7442710388359,0,14.7442710388359,0,40,0.6
4,7,0,50,-89.9999703886,37.05,19.1339839575786,0,19.1339839575786,0,40,0.6
