shortage_site_combination,count,fraction_of_shortfall_paths
Site1+Site2+Site3+Site4,105,0.221987315011
Site4,61,0.128964059197
Site3,55,0.116279069767
Site1+Site4,54,0.114164904863
Site2+Site3,40,0.0845665961945
Site1+Site3+Site4,37,0.0782241014799
Site3+Site4,32,0.0676532769556
Site2,20,0.0422832980973
Site1,14,0.0295983086681
Site1+Site2+Site3,12,0.0253699788584
Site2+Site3+Site4,12,0.0253699788584
Site1+Site2+Site4,12,0.0253699788584
Site1+Site3,11,0.0232558139535
Site2+Site4,5,0.0105708245243
Site1+Site2,3,0.00634249471459
