record_type,group,site,N,shortage_occurrence,shortage_if_positive_kg,shortage_q95_if_positive_kg,surplus_occurrence,surplus_mean_if_positive_kg,surplus_q95_if_positive_kg,surplus_site,deficit_site,path_count,total_potential_match_kg,total_actual_same_direction_HTT_kg,actual_flow_fraction_of_final_potential,identity_max_abs_residual_kg,identity_pass
site_summary,all_shortfall,1,473,0.524312896406,23.1747855132,63.7592378661,0.437632135307,25.9388527969,71.9564950372,,,,,,,,
site_summary,all_shortfall,2,473,0.441860465116,25.3293029398,82.777744336,0.545454545455,26.9535111167,73.4614667442,,,,,,,,
site_summary,all_shortfall,3,473,0.642706131078,8.42165290736,28.840976838,0.323467230444,6.72749353939,21.9450307449,,,,,,,,
site_summary,all_shortfall,4,473,0.672304439746,25.1161255531,73.960108757,0.315010570825,23.0487686213,64.6819226347,,,,,,,,
site_summary,pure_quantity,1,118,0.974576271186,27.8812930316,67.2172937578,0,,,,,,,,,,
site_summary,pure_quantity,2,118,0.966101694915,27.2998930359,83.5586651581,0,,,,,,,,,,
site_summary,pure_quantity,3,118,0.940677966102,9.53821132316,37.3440471864,0,,,,,,,,,,
site_summary,pure_quantity,4,118,0.949152542373,27.8697318214,76.6350794008,0,,,,,,,,,,
site_summary,pure_location,1,203,0.221674876847,6.87660757337,16.5011680998,0.753694581281,31.2054604257,76.2706408767,,,,,,,,
site_summary,pure_location,2,203,0.187192118227,14.3303232866,37.3953966509,0.812807881773,34.8041288009,77.4396373553,,,,,,,,
site_summary,pure_location,3,203,0.502463054187,6.08596973172,19.8984473162,0.497536945813,8.54046835112,25.5681391366,,,,,,,,
site_summary,pure_location,4,203,0.448275862069,15.923153091,49.8292900609,0.551724137931,27.8180990299,68.7849001434,,,,,,,,
site_summary,mixed,1,152,0.578947368421,25.3585314529,62.9978493002,0.355263157895,11.0167978488,32.136965209,,,,,,,,
site_summary,mixed,2,152,0.375,28.7207758498,75.9105779472,0.611842105263,13.0249958706,29.7019268785,,,,,,,,
site_summary,mixed,3,152,0.598684210526,9.67771554211,34.1940790654,0.342105263158,3.20613861661,11.7270854513,,,,,,,,
site_summary,mixed,4,152,0.756578947368,29.7087915707,71.7796115312,0.243421052632,8.61187657356,29.1261555934,,,,,,,,
surplus_to_deficit_OD_summary,,,,,,,,,,1,2,33,449.137978213,100.295144496,0.223305864482,,
surplus_to_deficit_OD_summary,,,,,,,,,,1,3,83,502.112808909,62.03600368,0.123549932564,,
surplus_to_deficit_OD_summary,,,,,,,,,,1,4,71,763.728650787,318.053204686,0.416447915576,,
surplus_to_deficit_OD_summary,,,,,,,,,,2,1,41,276.775647939,183.221340467,0.66198504757,,
surplus_to_deficit_OD_summary,,,,,,,,,,2,3,82,403.373627473,97.5655969429,0.241874010341,,
surplus_to_deficit_OD_summary,,,,,,,,,,2,4,90,1263.58827509,718.966728796,0.568988129258,,
surplus_to_deficit_OD_summary,,,,,,,,,,3,1,27,89.7952789222,290.722845248,3.23761837746,,
surplus_to_deficit_OD_summary,,,,,,,,,,3,2,18,91.0986505693,4.77506467772,0.0524164150388,,
surplus_to_deficit_OD_summary,,,,,,,,,,3,4,70,457.463606474,220.205992875,0.481362866377,,
surplus_to_deficit_OD_summary,,,,,,,,,,4,1,28,130.409785049,22.7774461851,0.174660560759,,
surplus_to_deficit_OD_summary,,,,,,,,,,4,2,37,465.028565806,12.0739876003,0.0259639697175,,
surplus_to_deficit_OD_summary,,,,,,,,,,4,3,81,405.618382556,0,0,,
identity_QA,,,473,,,,,,,,,,,,,8.45545855555e-13,True
