complexity_label,initial_state_id,all_unordered_pair_count,spearman_dnew_dT,spearman_dnew_dloss_profile,distance_low_1pct_cut,distance_middle_45pct_cut,distance_middle_55pct_cut,distance_high_99pct_cut,d_T_high_99pct_cut,d_loss_profile_high_99pct_cut,lowest_distance_pair_count_with_ties,decision_false_near_count,loss_false_near_count,combined_false_near_count,combined_false_near_share_all_pairs,combined_false_near_share_low_distance,zero_distance_pair_count,zero_distance_max_d_T,zero_distance_max_d_loss_profile
simple,7,1999000,0.999998249822936,0.999997875212693,0,0,0,0.0823687752353284,0.0913727736045242,111283.855658293,1971105,0,0,0,0,0,1971105,0,0
medium,18,1999000,0.875976829889829,0.919299612085854,0,0.207127338818766,0.25546878861994,0.817751033615868,0.75928047342381,1215939.77579576,231263,0,0,0,0,0,231263,2.62900812231237e-15,2.27373675443232e-13
complex,30,1999000,0.420219825190936,0.770860065479126,0.0527702140326489,0.319926383294854,0.360814509149161,0.877874677577898,0.728936530033822,1215939.77579576,19990,0,0,0,0,0,996,0,2.27373675443232e-13
