T_library_id,source_type,source_labels,initial_state_id,scenario_index,path_id,rho,distance_label,T1,T2,T3,T4,source_record_count
36,DETERMINISTIC_RANDOM_FEASIBLE,seed_20263801_draw_6,0,6,0,NaN,not_applicable,108.423264439235,128.530190433476,32.8212696489444,58.4972650064226,1
37,DETERMINISTIC_RANDOM_FEASIBLE,seed_20263801_draw_7,0,7,0,NaN,not_applicable,202.1463546596,77.0198960395395,29.8402040586581,139.182502584781,1
38,DETERMINISTIC_RANDOM_FEASIBLE,seed_20263801_draw_8,0,8,0,NaN,not_applicable,75.6727292175042,175.488086183539,36.5623987744666,20.8524501899708,1
39,DETERMINISTIC_RANDOM_FEASIBLE,seed_20263801_draw_9,0,9,0,NaN,not_applicable,113.500274185066,106.393646607749,36.5944826704844,64.354575705287,1
40,DETERMINISTIC_RANDOM_FEASIBLE,seed_20263801_draw_10,0,10,0,NaN,not_applicable,264.120888575074,96.6549864720671,7.21611675025577,31.8242423135531,1
41,DETERMINISTIC_RANDOM_FEASIBLE,seed_20263801_draw_11,0,11,0,NaN,not_applicable,114.857153919221,62.3903049752839,2.33378367144398,21.5728466081497,1
42,DETERMINISTIC_RANDOM_FEASIBLE,seed_20263801_draw_12,0,12,0,NaN,not_applicable,95.0525386241977,143.851842976798,40.7603683074118,115.992579410292,1
43,DETERMINISTIC_RANDOM_FEASIBLE,seed_20263801_draw_13,0,13,0,NaN,not_applicable,186.913740648675,49.7284837580436,4.93467620974003,132.544610395466,1
44,DETERMINISTIC_RANDOM_FEASIBLE,seed_20263801_draw_14,0,14,0,NaN,not_applicable,38.9324141609203,110.321432023449,58.4736755872905,102.093800180527,1
45,DETERMINISTIC_RANDOM_FEASIBLE,seed_20263801_draw_15,0,15,0,NaN,not_applicable,98.2163028401997,62.682477933181,0.351199850293205,72.2599234121723,1
46,DETERMINISTIC_RANDOM_FEASIBLE,seed_20263801_draw_16,0,16,0,NaN,not_applicable,259.44124807442,198.546308591786,49.1864170546368,125.194646877967,1
