complexity_label,initial_state_id,a0,loc0,lfw0,R,rho,total_objective,terminal_cost,lambda_rho_cost,alpha_mean_cost,robust_dual_loss,mean_service_cost,mean_shortage_penalty,mean_scenario_loss,other_objective_cost,objective_reconstruction_abs_error,T1,T2,T3,T4,T_total,lambda,lower_bound_site1,lower_bound_site2,lower_bound_site3,lower_bound_site4,upper_bound_site1,upper_bound_site2,upper_bound_site3,upper_bound_site4,upper_bound_count,capacity_margin_min_kg,max_independent_violation,iterations,final_active_constraints,step3n_objective_abs_error,step3n_TerminalLOH_max_abs_error
simple,7,2,7,0,2000,0,767.392773688212,498.049804980498,0,269.342968707714,269.342968707714,5.86207516381402,263.4808935439,269.342968707714,1.70530256582424e-13,0,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,249.024902490249,952492.888528894,0,0,0,0,0,0,0,0,0,32.7185445817309,2.5465851649642e-11,2,3999,0,1.4210854715202e-14
simple,7,2,7,0,2000,0.02,16840.813159309,547.105444238983,16073.233184368,220.474530702069,16293.70771507,6.04927641665383,214.425254285415,220.474530702069,5.11590769747272e-13,0,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,273.552722119491,803661.659218398,0,0,0,0,0,0,0,0,0,30.2838433552379,2.5465851649642e-11,3,5989,7.27595761418343e-12,4.2632564145606e-14
medium,18,4,4,0,2000,0,19751.6220658457,1200,0,18551.6220658457,18551.6220658457,1042.58025257345,17509.0418132722,18551.6220658457,0,0,240,160,80,120,600,7756972.28001401,0,0,0,0,1,1,1,1,4,0,0,3,4001,1.81898940354586e-11,0
medium,18,4,4,0,2000,0.02,77239.3357246591,1011.8016449647,43144.734675034,33082.7994046604,76227.5340796944,1088.44253566049,31263.8294987535,33082.7994046604,-5.0931703299284e-11,0,204.234292192948,112.088995684526,69.8001816169686,119.777352987907,505.900822482349,2157236.7337517,0,0,0,0,0,0,0,0,0,0.222647012093063,5.82076609134674e-11,4,4174,4.36557456851006e-11,4.68958205601666e-13
complex,30,6,2,0,2000,0,186610.352916509,1200,0,185410.352916509,185410.352916509,3132.66369304073,182277.689223467,185410.352916509,0,0,240,160,80,120,600,34577853.6055292,0,0,0,0,1,1,1,1,4,0,0,3,4038,5.23868948221207e-10,0
complex,30,6,2,0,2000,0.02,330021.692887522,1200,98758.8635803979,230062.829307124,328821.692887522,3182.66853324506,211014.914802587,230062.829307124,-5.82076609134674e-11,0,240,160,80,120,600,4937943.17901989,0,0,0,0,1,1,1,1,4,0,1.16415321826935e-10,4,4568,8.73114913702011e-10,0
